book_num	book_title	era_band	slot_in_book	scene_id	source_layer	source_type	old_title	clean_title	title_status	brief_scene_description	inferred_character_names	inferred_character_ids	book_active_cast	book_key_pressure	source_trace	corridor_region_anchor	county_anchor	ecology_pressure_mode	creature_refs	transformation_notes	event_beat_id	main_story_status	originality_status	domain_flags	quest_hook	world_introduction_anchor	coverage_status
1	Choices Make World	Era I — Contact and First Threads	1	B01_C001	DIRECT_SOURCE	APPROVED_CHUNK	The Amethyst Ocean Dream	The Amethyst Ocean Dream	kept	Pip descends through the hovering amethyst ocean dream until beauty curdles into dread, the yellow eyes open below, the smoky arm rises, the dream-body is smashed and reworked into twisted Mack-like scaffolding, and the whole image refills into a looping prophecy-cycle that traps him inside repetition. Event beat EB-RW-00001: choice pressure changes the route.	Mack | Pip (Indalwin Willowjayce)	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	APPROVED_CHUNK:wowas_book1_opening_canon/Book_01_Choices_Make_World/01_beats.md:B01_C001|event_beat:EB-RW-00001						EB-RW-00001	MAIN_STORY_EXPANDED	expanded_with_unique_event_beat	characters|world_introduction|quests	Pip descends through the hovering amethyst ocean dream until beauty curdles into dread, the yellow eyes open below, the smoky arm rises, the dream-body is smashed and reworked into twisted Mack-like scaffolding, and the whole image refills into a looping prophecy-cycle that traps him inside repetition. Event beat EB-RW-00001: choice pressure changes the route.	spine-derived-world-anchor	validated_domain_presence
1	Choices Make World	Era I — Contact and First Threads	2	B01_C002	DIRECT_SOURCE	APPROVED_CHUNK	The Bedroom and the Living Statue	The Bedroom and the Living Statue	kept	Pip wakes in his bedroom under the force of the dream, refuses to let the imagery dissolve, and creates a hovering animated statue that reenacts the full prophetic cycle while the room, his belongings, and his morning state reveal who he is beneath the fear. Event beat EB-RW-00002: a relationship obligation becomes actionable.	Pip (Indalwin Willowjayce)	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	APPROVED_CHUNK:wowas_book1_opening_canon/Book_01_Choices_Make_World/01_beats.md:B01_C002|event_beat:EB-RW-00002						EB-RW-00002	MAIN_STORY_EXPANDED	expanded_with_unique_event_beat	characters|creatures|world_introduction|quests	Pip wakes in his bedroom under the force of the dream, refuses to let the imagery dissolve, and creates a hovering animated statue that reenacts the full prophetic cycle while the room, his belongings, and his morning state reveal who he is beneath the fear. Event beat EB-RW-00002: a relationship obligation becomes actionable.	spine-derived-world-anchor	validated_domain_presence
1	Choices Make World	Era I — Contact and First Threads	3	B01_C003	DIRECT_SOURCE	APPROVED_CHUNK	Pip Brings the Dream to Mack	Pip Brings the Dream to Mack	kept	Pip leaves his bedroom and enters Mack’s greater interior world, bringing the dream into open relation with his guardian, where comfort, dread, prophecy, and the first question of what must be done begin to braid together. Event beat EB-RW-00003: the ecology pushes back against the plan.	Mack | Pip (Indalwin Willowjayce)	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	APPROVED_CHUNK:wowas_book1_opening_canon/Book_01_Choices_Make_World/01_beats.md:B01_C003|event_beat:EB-RW-00003						EB-RW-00003	MAIN_STORY_EXPANDED	expanded_with_unique_event_beat	characters|creatures|world_introduction|quests	Pip leaves his bedroom and enters Mack’s greater interior world, bringing the dream into open relation with his guardian, where comfort, dread, prophecy, and the first question of what must be done begin to braid together. Event beat EB-RW-00003: the ecology pushes back against the plan.	spine-derived-world-anchor	validated_domain_presence
1	Choices Make World	Era I — Contact and First Threads	4	B01_C004	DIRECT_SOURCE	APPROVED_CHUNK	Mack Weighs the Dream Without Looking Away	Mack Weighs the Dream Without Looking Away	kept	In Mack’s living interior refuge-space, Pip finishes laying out the dream and Mack receives it not as childish fear but as a structurally meaningful vision, forcing both of them to confront the possibility that the future has already begun pressing back against the present. Event beat EB-RW-00004: a world introduction reveals a cost.	Mack | Pip (Indalwin Willowjayce)	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	APPROVED_CHUNK:book1_next_chunk/01_beats_append.md:B01_C004; APPROVED_CHUNK:book1_next_chunk/apply_next_chunk.sh:B01_C004|event_beat:EB-RW-00004						EB-RW-00004	MAIN_STORY_EXPANDED	expanded_with_unique_event_beat	characters|world_introduction|quests	In Mack’s living interior refuge-space, Pip finishes laying out the dream and Mack receives it not as childish fear but as a structurally meaningful vision, forcing both of them to confront the possibility that the future has already begun pressing back against the present. Event beat EB-RW-00004: a world introduction reveals a cost.	spine-derived-world-anchor	validated_domain_presence
1	Choices Make World	Era I — Contact and First Threads	5	B01_C005	DIRECT_SOURCE	APPROVED_CHUNK	The Braid of Futures and the Missing Variable	The Braid of Futures and the Missing Variable	kept	Mack explains that the future is not a single locked rail but a braid of possible lines, and Pip learns that if the prophecy is to be disrupted at all, it will require a new thread—something the vision did not account for and therefore could not yet bind. Event beat EB-RW-00005: the quest objective changes after evidence.	Mack | Pip (Indalwin Willowjayce)	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	APPROVED_CHUNK:book1_next_chunk/01_beats_append.md:B01_C005; APPROVED_CHUNK:book1_next_chunk/apply_next_chunk.sh:B01_C005|event_beat:EB-RW-00005						EB-RW-00005	MAIN_STORY_EXPANDED	expanded_with_unique_event_beat	characters|world_introduction|quests	Mack explains that the future is not a single locked rail but a braid of possible lines, and Pip learns that if the prophecy is to be disrupted at all, it will require a new thread—something the vision did not account for and therefore could not yet bind. Event beat EB-RW-00005: the quest objective changes after evidence.	spine-derived-world-anchor	validated_domain_presence
1	Choices Make World	Era I — Contact and First Threads	6	B01_C006	DIRECT_SOURCE	APPROVED_CHUNK	Permission to Descend	Permission to Descend	kept	Mack grants Pip access to knowledge that had previously been withheld, marking a rite-of-passage turn in which trust, danger, maturity, and necessity all converge at once. Event beat EB-RW-00006: a character must trade certainty for movement.	Mack | Pip (Indalwin Willowjayce)	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	APPROVED_CHUNK:book1_next_chunk/01_beats_append.md:B01_C006; APPROVED_CHUNK:book1_next_chunk/apply_next_chunk.sh:B01_C006|event_beat:EB-RW-00006						EB-RW-00006	MAIN_STORY_EXPANDED	expanded_with_unique_event_beat	characters|creatures|world_introduction|quests	Mack grants Pip access to knowledge that had previously been withheld, marking a rite-of-passage turn in which trust, danger, maturity, and necessity all converge at once. Event beat EB-RW-00006: a character must trade certainty for movement.	spine-derived-world-anchor	validated_domain_presence
1	Choices Make World	Era I — Contact and First Threads	7	B01_C007	DIRECT_SOURCE	APPROVED_CHUNK	Through the Familiar Shelves One Last Time	Through the Familiar Shelves One Last Time	kept	Pip moves through the known library first, letting the ordinary surfaces of study and memory frame what is about to change, so that the descent into the restricted levels feels like a real set-shift from safety into perilous maturity. Event beat EB-RW-00007: a creature signal interrupts the obvious solution.	Pip (Indalwin Willowjayce)	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	APPROVED_CHUNK:book1_next_chunk/01_beats_append.md:B01_C007; APPROVED_CHUNK:book1_next_chunk/apply_next_chunk.sh:B01_C007|event_beat:EB-RW-00007						EB-RW-00007	MAIN_STORY_EXPANDED	expanded_with_unique_event_beat	characters|creatures|world_introduction	Pip moves through the known library first, letting the ordinary surfaces of study and memory frame what is about to change, so that the descent into the restricted levels feels like a real set-shift from safety into perilous maturity. Event beat EB-RW-00007: a creature signal interrupts the obvious solution.	spine-derived-world-anchor	validated_domain_presence
1	Choices Make World	Era I — Contact and First Threads	8	B01_C008	DIRECT_SOURCE	APPROVED_CHUNK	The Hidden Stair Opens Below the World He Knew	The Hidden Stair Opens Below the World He Knew	kept	The entrance to the deeper archive reveals itself as an intentionally sealed descent, and Pip crosses into a physically and spiritually different set whose architecture alone warns that not all knowledge here was meant to remain gently handled. Event beat EB-RW-00008: the group records a consequence before continuing.	Pip (Indalwin Willowjayce)	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	APPROVED_CHUNK:book1_next_chunk/01_beats_append.md:B01_C008; APPROVED_CHUNK:book1_next_chunk/apply_next_chunk.sh:B01_C008|event_beat:EB-RW-00008						EB-RW-00008	MAIN_STORY_EXPANDED	expanded_with_unique_event_beat	characters|world_introduction|quests	The entrance to the deeper archive reveals itself as an intentionally sealed descent, and Pip crosses into a physically and spiritually different set whose architecture alone warns that not all knowledge here was meant to remain gently handled. Event beat EB-RW-00008: the group records a consequence before continuing.	spine-derived-world-anchor	validated_domain_presence
1	Choices Make World	Era I — Contact and First Threads	9	B01_C009	DIRECT_SOURCE	APPROVED_CHUNK	Shelves Full of Sleeping Catastrophes	Shelves Full of Sleeping Catastrophes	kept	In the deeper archive, Pip encounters knowledge-objects that radiate containment, collapse, failed doctrines, imprisoned powers, and dead-end truths, proving that some dangers in this saga attack through contact, persuasion, or pattern rather than through claw and fang. Event beat EB-RW-00009: choice pressure changes the route.	Pip (Indalwin Willowjayce)	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	APPROVED_CHUNK:book1_next_chunk/01_beats_append.md:B01_C009; APPROVED_CHUNK:book1_next_chunk/apply_next_chunk.sh:B01_C009|event_beat:EB-RW-00009						EB-RW-00009	MAIN_STORY_EXPANDED	expanded_with_unique_event_beat	characters|world_introduction|quests	In the deeper archive, Pip encounters knowledge-objects that radiate containment, collapse, failed doctrines, imprisoned powers, and dead-end truths, proving that some dangers in this saga attack through contact, persuasion, or pattern rather than through claw and fang. Event beat EB-RW-00009: choice pressure changes the route.	spine-derived-world-anchor	validated_domain_presence
1	Choices Make World	Era I — Contact and First Threads	10	B01_C010	DIRECT_SOURCE	APPROVED_CHUNK	The Silence That Should Not Be There	The Silence That Should Not Be There	kept	Pip follows the one absence in the room that feels more structurally significant than every louder danger around it, discovering that true anomaly in this world may present itself not by hunger or spectacle but by impossible restraint. Event beat EB-RW-00010: a relationship obligation becomes actionable.	Pip (Indalwin Willowjayce)	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	APPROVED_CHUNK:book1_next_chunk/01_beats_append.md:B01_C010; APPROVED_CHUNK:book1_next_chunk/apply_next_chunk.sh:B01_C010|event_beat:EB-RW-00010						EB-RW-00010	MAIN_STORY_EXPANDED	expanded_with_unique_event_beat	characters|creatures|world_introduction|quests	Pip follows the one absence in the room that feels more structurally significant than every louder danger around it, discovering that true anomaly in this world may present itself not by hunger or spectacle but by impossible restraint. Event beat EB-RW-00010: a relationship obligation becomes actionable.	spine-derived-world-anchor	validated_domain_presence
