serial	domain	name	source_refs	term_hits	interaction_layers	generator_status	status
WDM-ARTIFACT-a9e0b0c9a7c9	artifact	the Aortic Labyrinth here as	canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	artifact	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-f74bf53dc118	artifact	its own beat	canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	artifact	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-1084c9afa05e	artifact	source	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	artifact	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-7bccd9385346	artifact	"support
Manuscript body support"	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	artifact	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-67f478df4394	artifact	B01	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	artifact|blue light|diary	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-514abab08bf7	artifact	The	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt|canon/canonical_story_tree/books/Book_02_The_Diary_And_The_Blue_Light/book_content.txt|canon/canonical_story_tree/books/Book_03_The_First_Thread/book_content.txt|canon/canonical_story_tree/books/Book_24_Born_To_Die/book_content.txt	artifact|blue light|cello|diary	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-691f3b027439	artifact	Heart	canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	artifact	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-c90f17934c48	artifact	Chronometer	canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	artifact	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-4e2e439e31f9	artifact	The Heart-Chronometer	canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	artifact	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-bad0a7523964	artifact	function	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt|canon/canonical_story_tree/books/Book_02_The_Diary_And_The_Blue_Light/book_content.txt|canon/canonical_story_tree/books/Book_03_The_First_Thread/book_content.txt	artifact|blue light|diary	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-91794b667665	artifact	artifact objective	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	artifact	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-c162e7610389	artifact	restoration target	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt	artifact	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
WDM-ARTIFACT-cfcca2e0b245	artifact	local	canon/canonical_story_tree/all_25_books_latest_full_cycle.txt|canon/canonical_story_tree/books/Book_01_Choices_Make_World/book_content.txt|canon/canonical_story_tree/books/Book_02_The_Diary_And_The_Blue_Light/book_content.txt|canon/canonical_story_tree/books/Book_03_The_First_Thread/book_content.txt|canon/canonical_story_tree/books/Book_25_Death_Is_Rebirth/book_content.txt	artifact|blue light|cello|diary	timeline|relationships|scenes|quests|world	implemented_reference_map	reference_extracted_pending_domain_review
