corridor_order	story_corridor	state	county	anchor_city	role_in_story	landscape	myth_register	microbiology_register	source_media_register_1	source_media_register_2	source_media_register_3	pressure_theme	survivor_density_note
1	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	major biome / urban thunder-glass origin pressure / later return corridor	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	red-river devil / coyote sermon / prairie ghost-light	actinomycete rain-bloom, gut mutualism, asphalt biofilm	Roseanne	Erza Scarlet	Metallica	working-class endurance, armored love, thunderous aftermath force	one of the denser remaining urban survivor clusters; trade and rumor flows outward
2	westward_solution_run	Oklahoma	Canadian County	El Reno	prairie transition county west of OKC / wind and silo pressure	wheat flats, torn silos, rail sidings, tornado scars	dust saint / wheat angel / rail widow	grain mold drift, spore storms, root-fungal barter	Sam Gamgee	Bad Santa	Lindsey Stirling	stubborn practical care, irreverent survival humor, kinetic string weather	scattered farm clusters and storm-cellar communes
3	rocky_mountain_abduction_band	Colorado	Larimer County	Fort Collins / Front Range	front-range approach before higher abduction territory	foothill granite, lodgepole stands, wind-carved passes	mountain lion omen / dead-road rider / thunderbird fracture	pine rust, lichen dust, iron bacteria in alpine seep	Drizzt Do'Urden	Jason Voorhees	Sara Evans	wilderness precision, relentless arrival, open-hearted lift against dread	few defended settlements; more watchfires than towns
4	rocky_mountain_abduction_band	Colorado	Summit County	High Rockies	rippers first appear and abduct Pip	high snowfields, scree bowls, glacial lakes, lift towers gone dead	jackalope war-ghost / avalanche mouth / sky burial crow	snow algae, cryophilic biofilm, mineral-hot spring mats	Natsu	Freddy Krueger	Apocalyptica	explosive heat, dream-predation, percussive string catastrophe	almost no permanent civilian holdfasts; mostly hunt-lines and loss markers
5	oregon_intuition_coast_return	Oregon	Polk County	Independence	major biome / pursuit target / valley refuge and cultivated wonder pressure	river bottoms, orchards, oak savanna, wet pasture, old campus bones	willamette river wife / orchard haint / blue dog warning	mycorrhizal root web, cider yeast bloom, pond biofilm	Tasslehoff Burrfoot	Menolly	Michael Jackson	restless curiosity, music-born survival, impossible soul-broadcast grace	quiet but meaningful survivor lattice; many stories passed through it
6	oregon_intuition_coast_return	Oregon	Lincoln County	Oregon Coast	ocean-touch county where Pip is ripped into deep water	black surf, agate beaches, fog pines, slick basalt, tide caves	sea-witch warning / whale-road dead / drowned cathedral	salt biofilm, kelp rot bloom, luminous brine threads	The Little Mermaid shadow register	Lacuna Coil	Lindsey Stirling	oceanic lure, gothic split-beauty, razor-clean transition force	low population, high omen density; intuition points people here for reasons they do not understand
7	brochure_trace_inland	Idaho	Ada County	Boise corridor	ruined pit-stop brochure discovery zone proving the cave image	interstate cutbanks, sage lots, dry river edge, suburban ruin pockets	jackrabbit preacher / road siren / brochure ghost	dust extremophiles, alkali crust films, fuel-slick bacterial mats	Hermione Granger	Joey Tribbiani	Metallica	pattern-recognition, earnest appetite for life, blunt-force drive	roadside salvage communities, sign-readers, and brochure hoarders
8	brochure_trace_inland	Idaho	Bannock County	high desert / lava corridor	Idaho continuation county for intuition and highway ruin passage	lava plains, drygrass ridges, rail spines, culvert camps	horned rabbit warning / fire-snake under the basalt / freight phantom	cryptobiotic crust, lava-tube slime, iron-chelating bacteria	Asta	Professor McGonagall	Apocalyptica	grit, metamorphosis logic, violent string propulsion	small mobile bands; road ruins are more stable than towns
9	brochure_trace_inland	Idaho	Bonneville County	Snake River / falls corridor	Idaho proof-to-pursuit handoff county	cold river cuts, basalt falls, reed beds, shuttered overlooks	water panther / sainted trout / canyon choir	cold-current biofilm, mineral seeps, sulfur edge mats	Menolly	Jason Stackhouse	Sarah Evans	music as belonging, body-forward sincerity, open-throated country rise	fishing monasteries and cave-mouthed camps persist here
10	onondaga_shell_arc	Missouri	Phelps County	Rolla	major biome / cave-state entry and institutional waypoint	karst ridges, sinkholes, oak-hickory forest, highway cuts, quarry scars	ozark cave haint / hill mother / lantern wolf	cave biofilm, guano bacteria, calcite slime threads	Drizzt Do'Urden	Elle Woods	Michael Jackson	underground precision, bright disarming intelligence, electric broadcast	stubborn cave-edge settlements and knowledge caches survive here
11	onondaga_shell_arc	Missouri	Crawford County	Onondaga Cave State Park	cave dream realization / dragon-shell eruption / siege corridor	stone lily-pad caverns, giant chambers, spring water, moonmilk walls, dark river veins	under-river dragon / cave broadcaster / horned saint of light	moonmilk bacterium, cave-lake bloom, fungal drip logic	Lacuna Coil	Lindsey Stirling	Metallica	gothic beauty, cutting transitions, crushing symphonic force	almost no civilians remain in the open; most life clings to cave logic or dies to ripper pressure
12	southbound_return_to_okc	Oklahoma	Cleveland County	Norman corridor	southern return buffer before Oklahoma City concentration	red creekbeds, campus bones, mesquite lots, storm-gnawed suburbs	weather child / red-handed coyote / pond saint	warm-water algae, road-ditch biofilm, mold-fog in brick	Kimmy Gibbler	Natsu	Sara Evans	chaotic loyalty, fiery protection, sincere emotional uplift	thin suburban strings feeding into the OKC core
