serial	character_id	book_num	event_id	event_type	event_text	linked_scene_serial	status
MAP-TIMELINE-5650d803fc4c	WC00001	B01	TL-WC00001-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-da8695f6970b	WC00002	B01	TL-WC00002-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-834571829a1d	WC00003	B01	TL-WC00003-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-c8c9e2f47dcf	WC00004	B01	TL-WC00004-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-fc43f500c935	WC00005	B01	TL-WC00005-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-3b57e43f75f9	WC00006	B01	TL-WC00006-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-ce6436f183cb	WC00007	B01	TL-WC00007-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-5971181a5a6e	WC00008	B01	TL-WC00008-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-23c1e5cf6891	WC00009	B01	TL-WC00009-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-7d970aac22d2	WC00010	B01	TL-WC00010-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-21ac0f64eb80	WC00011	B01	TL-WC00011-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-7e703a232e7e	WC00012	B01	TL-WC00012-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-1e5f015c4ad3	WC00013	B01	TL-WC00013-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-d17c12f73f46	WC00014	B01	TL-WC00014-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-c8d81489b438	WC00015	B01	TL-WC00015-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-7286805a7785	WC00016	B01	TL-WC00016-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-534cdf98315f	WC00017	B01	TL-WC00017-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-8b23ac3eceee	WC00018	B01	TL-WC00018-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-5c974e045261	WC00019	B01	TL-WC00019-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-777d4b7735f0	WC00020	B01	TL-WC00020-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-40f46f8aa1fa	WC00021	B01	TL-WC00021-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
MAP-TIMELINE-0976ad41673c	WC00022	B01	TL-WC00022-INTRO	character_introduction	averaged_background_story_orbit_aesthetic_origin_distance	MAP-SCENE-0e25362cc531	generated_linked
