scene_id	book_num	book_title	era_band	slot_in_book	source_layer	source_type	old_title	clean_title	title_status	brief_scene_description	inferred_character_names	inferred_character_ids	book_active_cast	book_key_pressure	source_trace	corridor_region_anchor	county_anchor	ecology_pressure_mode	creature_refs	transformation_notes	authority_class
B01_000	1	Choices Make World	Era I — Contact and First Threads	49	DIRECT_SOURCE	PLACED_FILE	The Shattered Song Prophecy	The Shattered Song Prophecy	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_000__The_Shattered_Song_Prophecy.md:B01_000; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_000__The_Shattered_Song_Prophecy.md:B01_000; GLOBAL_BEAT:08_global_beat_index.tsv:B01_000; COMPILECAT:Whispers_Of_Willow_And_Stone_COMPILEcat.txt:B01_000						accepted_tier1_or_2
B01_001	1	Choices Make World	Era I — Contact and First Threads	50	DIRECT_SOURCE	PLACED_FILE	The Fifteenth Birthday	The Fifteenth Birthday	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_001__The_Fifteenth_Birthday.md:B01_001; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_001__The_Fifteenth_Birthday.md:B01_001; GLOBAL_BEAT:08_global_beat_index.tsv:B01_001						accepted_tier1_or_2
B01_002	1	Choices Make World	Era I — Contact and First Threads	51	DIRECT_SOURCE	PLACED_FILE	Mack And The Oasis	Mack And The Oasis	kept		Mack	wowas::mack_willow_father	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_002__Mack_And_The_Oasis.md:B01_002; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_002__Mack_And_The_Oasis.md:B01_002; GLOBAL_BEAT:08_global_beat_index.tsv:B01_002						accepted_tier1_or_2
B01_002A	1	Choices Make World	Era I — Contact and First Threads	52	DIRECT_SOURCE	PLACED_FILE	The Quicksilver Test	The Quicksilver Test	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_002A__The_Quicksilver_Test.md:B01_002A; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_002A__The_Quicksilver_Test.md:B01_002A; GLOBAL_BEAT:08_global_beat_index.tsv:B01_002A; COMPILECAT:Whispers_Of_Willow_And_Stone_COMPILEcat.txt:B01_002A						accepted_tier1_or_2
B01_003	1	Choices Make World	Era I — Contact and First Threads	53	DIRECT_SOURCE	PLACED_FILE	The Restricted Section	The Restricted Section	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_003__The_Restricted_Section.md:B01_003; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_003__The_Restricted_Section.md:B01_003; GLOBAL_BEAT:08_global_beat_index.tsv:B01_003						accepted_tier1_or_2
B01_003A	1	Choices Make World	Era I — Contact and First Threads	54	DIRECT_SOURCE	PLACED_FILE	The Travellers Codex	The Travellers Codex	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_003A__The_Travellers_Codex.md:B01_003A; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_003A__The_Travellers_Codex.md:B01_003A; GLOBAL_BEAT:08_global_beat_index.tsv:B01_003A; COMPILECAT:Whispers_Of_Willow_And_Stone_COMPILEcat.txt:B01_003A						accepted_tier1_or_2
B01_004A	1	Choices Make World	Era I — Contact and First Threads	55	DIRECT_SOURCE	PLACED_FILE	Find The Wound That Does Not Heal	Find The Wound That Does Not Heal	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_004A__Find_The_Wound_That_Does_Not_Heal.md:B01_004A; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_004A__Find_The_Wound_That_Does_Not_Heal.md:B01_004A; GLOBAL_BEAT:08_global_beat_index.tsv:B01_004A; COMPILECAT:Whispers_Of_Willow_And_Stone_COMPILEcat.txt:B01_004A						accepted_tier1_or_2
B01_004	1	Choices Make World	Era I — Contact and First Threads	56	DIRECT_SOURCE	PLACED_FILE	The Blank Diary And Blue Light	The Blank Diary And Blue Light	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_004__The_Blank_Diary_And_Blue_Light.md:B01_004; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_004__The_Blank_Diary_And_Blue_Light.md:B01_004; GLOBAL_BEAT:08_global_beat_index.tsv:B01_004						accepted_tier1_or_2
B01_005	1	Choices Make World	Era I — Contact and First Threads	57	DIRECT_SOURCE	PLACED_FILE	Xethrolund The First True Thread	Xethrolund The First True Thread	kept		Xethrolund	wowas::xethrolund_papi	Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_005__Xethrolund_The_First_True_Thread.md:B01_005; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_005__Xethrolund_The_First_True_Thread.md:B01_005; GLOBAL_BEAT:08_global_beat_index.tsv:B01_005						accepted_tier1_or_2
B01_006	1	Choices Make World	Era I — Contact and First Threads	58	DIRECT_SOURCE	PLACED_FILE	The Slow Dehumanization	The Slow Dehumanization	kept				Pip (Indalwin Willowjayce) | Mack | Xethrolund | Solvaenkyr | Dervish	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs. | Solvaenkyr: first refusal of help. Pattern established.	PLACED_FILE:books/Book_01_Choices_Make_World/placed/B01_006__The_Slow_Dehumanization.md:B01_006; PLACED_FILE:books/Book_01_The_Fifteenth_Birthday/placed/B01_006__The_Slow_Dehumanization.md:B01_006; GLOBAL_BEAT:08_global_beat_index.tsv:B01_006						accepted_tier1_or_2
