book_num	book_title	desert_cell_id	population_function	character_anchor	wildlife_anchor	source_inspiration	pressure	route_or_place	memorable_event	use_individually
1	Choices Make World	WD01_00001	guide	Mack	Aeranoraen4610	Drizzt Do'Urden	salt road caravan etiquette	ash dune market	salt road caravan etiquette at ash dune market forces guide to matter	yes
1	Choices Make World	WD01_00002	wildlife handler	Pip	Aeranoraen4654	Gromph Baenre	buried glass river crossing	heat-hum shrine	buried glass river crossing at heat-hum shrine forces wildlife handler to matter	yes
1	Choices Make World	WD01_00003	lost-child finder	Xethrolund	Aeranoraen4682	Hermione Granger	predator shadow with no visible body	night well camp	predator shadow with no visible body at night well camp forces lost-child finder to matter	yes
1	Choices Make World	WD01_00004	route judge	Solvaenkyr	Aeranoraen4705	Menolly	desert market debt ritual	red sand switchback	desert market debt ritual at red sand switchback forces route judge to matter	yes
1	Choices Make World	WD01_00005	border singer	Daisy May	Aeranoraen4820	F'nor	dry well that still sings underground	buried gate trail	dry well that still sings underground at buried gate trail forces border singer to matter	yes
1	Choices Make World	WD01_00006	guide	canonical_id	Aeranoraen4961	Erza Scarlet	ashstorm shelter negotiation	salt-glass road	ashstorm shelter negotiation at salt-glass road forces guide to matter	yes
2	The Diary and the Blue Light	WD02_00007	water witness	Pip	Aeranoramaraeliven4465	Charmy	buried glass river crossing	red sand switchback	buried glass river crossing at red sand switchback forces water witness to matter	yes
2	The Diary and the Blue Light	WD02_00008	desert healer	Xethrolund	Aeranoramaraeliven4862	Natsu Dragneel	predator shadow with no visible body	buried gate trail	predator shadow with no visible body at buried gate trail forces desert healer to matter	yes
2	The Diary and the Blue Light	WD02_00009	storm listener	Majiskii	Aeranoramaraeliven580	Noelle Silva	desert market debt ritual	salt-glass road	desert market debt ritual at salt-glass road forces storm listener to matter	yes
2	The Diary and the Blue Light	WD02_00010	camp cook	Mack	Aeranoramaraen1208	Ares	dry well that still sings underground	bone orchard edge	dry well that still sings underground at bone orchard edge forces camp cook to matter	yes
2	The Diary and the Blue Light	WD02_00011	trader	Daisy May + Majiskii formally entrusted at floating market	Aeranoramararel810	Professor McGonagall	ashstorm shelter negotiation	dry river underpass	ashstorm shelter negotiation at dry river underpass forces trader to matter	yes
