book	start_line	lines	bytes	scene_heading_count	file
Book_01_Choices_Make_World	24817166	2850	102498	44	/mnt/data/wowas_scene_cycle_latest_full/books/Book_01_Choices_Make_World/book_content.txt
Book_02_The_Diary_And_The_Blue_Light	24820016	1738	64938	34	/mnt/data/wowas_scene_cycle_latest_full/books/Book_02_The_Diary_And_The_Blue_Light/book_content.txt
Book_03_The_First_Thread	24821754	2073	77495	24	/mnt/data/wowas_scene_cycle_latest_full/books/Book_03_The_First_Thread/book_content.txt
Book_04_Crocodile_Smile	24823827	792	35363	16	/mnt/data/wowas_scene_cycle_latest_full/books/Book_04_Crocodile_Smile/book_content.txt
Book_05_Runes_And_Wound	24824619	305	13478	21	/mnt/data/wowas_scene_cycle_latest_full/books/Book_05_Runes_And_Wound/book_content.txt
Book_06_The_Refusal_And_The_Wound	24824924	278	14553	18	/mnt/data/wowas_scene_cycle_latest_full/books/Book_06_The_Refusal_And_The_Wound/book_content.txt
Book_07_The_Rift_Widens	24825202	247	14411	14	/mnt/data/wowas_scene_cycle_latest_full/books/Book_07_The_Rift_Widens/book_content.txt
Book_08_The_Trap_Tightens	24825449	4	31	0	/mnt/data/wowas_scene_cycle_latest_full/books/Book_08_The_Trap_Tightens/book_content.txt
Book_09_The_Diamond_Breaks	24825453	141	8511	7	/mnt/data/wowas_scene_cycle_latest_full/books/Book_09_The_Diamond_Breaks/book_content.txt
Book_10_Mack_Falls	24825594	263	16749	14	/mnt/data/wowas_scene_cycle_latest_full/books/Book_10_Mack_Falls/book_content.txt
Book_11_The_Portal_Opens	24825857	251	13263	15	/mnt/data/wowas_scene_cycle_latest_full/books/Book_11_The_Portal_Opens/book_content.txt
Book_12_Stasis	24826108	233	13159	13	/mnt/data/wowas_scene_cycle_latest_full/books/Book_12_Stasis/book_content.txt
Book_13_The_Afterwake	24826341	247	13697	14	/mnt/data/wowas_scene_cycle_latest_full/books/Book_13_The_Afterwake/book_content.txt
Book_14_The_Long_Reorientation	24826588	265	14753	18	/mnt/data/wowas_scene_cycle_latest_full/books/Book_14_The_Long_Reorientation/book_content.txt
Book_15_Suffocating_In_Silence	24826853	252	14361	16	/mnt/data/wowas_scene_cycle_latest_full/books/Book_15_Suffocating_In_Silence/book_content.txt
Book_16_The_Deepening_World	24827105	253	14006	16	/mnt/data/wowas_scene_cycle_latest_full/books/Book_16_The_Deepening_World/book_content.txt
Book_17_Black_Heart_Scar	24827358	252	14486	16	/mnt/data/wowas_scene_cycle_latest_full/books/Book_17_Black_Heart_Scar/book_content.txt
Book_18_Strange_Gravity	24827610	252	14720	16	/mnt/data/wowas_scene_cycle_latest_full/books/Book_18_Strange_Gravity/book_content.txt
Book_19_The_Cracking_Core	24827862	252	14700	16	/mnt/data/wowas_scene_cycle_latest_full/books/Book_19_The_Cracking_Core/book_content.txt
Book_20_The_Beforemath	24828114	623	28134	16	/mnt/data/wowas_scene_cycle_latest_full/books/Book_20_The_Beforemath/book_content.txt
Book_21_The_Final_Descent	24828737	618	27393	16	/mnt/data/wowas_scene_cycle_latest_full/books/Book_21_The_Final_Descent/book_content.txt
Book_22_The_Last_Open_Gate	24829355	605	26441	16	/mnt/data/wowas_scene_cycle_latest_full/books/Book_22_The_Last_Open_Gate/book_content.txt
Book_23_The_Final_Resonance	24829960	606	26958	16	/mnt/data/wowas_scene_cycle_latest_full/books/Book_23_The_Final_Resonance/book_content.txt
Book_24_Born_To_Die	24830566	604	27073	16	/mnt/data/wowas_scene_cycle_latest_full/books/Book_24_Born_To_Die/book_content.txt
Book_25_Death_Is_Rebirth	24831170	556	27254	17	/mnt/data/wowas_scene_cycle_latest_full/books/Book_25_Death_Is_Rebirth/book_content.txt
