canonical_character_id	character_id	name	world_role	functional_role	book_anchor	region	house_pressure	background_function	timeline_phases	assigned_scene_count	assigned_scene_ids	relationship_layers	world_state_policy	provenance_status
VAR-CANON-fd2931eec7a6	WC00001	Aerfiracoriadria1	background_actor	orchard guard	B01	diamond breakland	Mack-ground	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B01_C001|B01_C002|B01_C003|B01_C004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-3b6cbf63adb1	WC00002	Ashagalenindraiel2	background_actor	sonomancy listener	B02	black-heart ridge	Dervish-glass	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B02_L001|B02_L002|B02_L003|B02_L004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-2764fe655665	WC00003	Aermaelorcoriadion3	supporting_actor	tunnel witness	B03	ash river	Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B03_L001|B03_L002|B03_L003|B03_L004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-1e38a22791d0	WC00004	Aerdalencoriaion4	background_actor	threshold mason	B04	morrow market	Null-Heart	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B04_L001|B04_L002|B04_L003|B04_L004	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-d5264cfbbc77	WC00005	Aerdalenhollowiel5	background_actor	bookbinder	B05	root vale	Iron-Song	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B05_001A|B05_001|B05_002|B05_003	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-f26216ac331c	WC00006	Brenhalorashion6	background_actor	bridge keeper	B06	ripper tunnel	Wren-Ash	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B06_OP0001|B06_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-444c5463a1b2	WC00007	Aerdalenaen7	background_actor	market singer	B07	cello field	Thorn-Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B07_OP0001	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-5b7440666e84	WC00008	Aerdalenael8	supporting_actor	glass forge worker	B08	blue-light road	Marso-len	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B08_OP0001|B08_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-bfee28b6714f	WC00009	Aermaelorcinderel9	background_actor	ripper survivor	B09	xeth glyph yard	Rolzen-line	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B09_OP0001|B09_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-9794ab2fc4c4	WC00010	Ashagalenelle10	background_actor	map seller	B10	stone fen	Kyreal-pack	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B10_OP0001|B10_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-320e8d9b8add	WC00011	Ashaeliondalenen11	background_actor	cellar cook	B11	pocket sanctuary	Xethrolund-glyph	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B11_OP0001|B11_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-02a7bed53e33	WC00012	Aeranorcoriaaria12	background_actor	triage helper	B12	glass orchard	Pip-no-path	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B12_OP0001|B12_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-6e32c48338a8	WC00013	Aerdalendria13	supporting_actor	faction runner	B13	neith edge	Mack-ground	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B13_OP0001|B13_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-d24176c5848d	WC00014	Aerdalenen14	background_actor	wolf-road scout	B14	willow-stone county	Dervish-glass	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B14_OP0001|B14_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-1316fd9c0703	WC00015	Aerdalencoriaaelael15	background_actor	glyph apprentice	B15	last open gate	Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B15_OP0001|B15_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-84072e0487c4	WC00016	Aerdalenion16	background_actor	corridor child	B16	diamond breakland	Null-Heart	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B16_OP0001|B16_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-7acf06a023e1	WC00017	Aerdalenmireaen17	background_actor	field healer	B17	black-heart ridge	Iron-Song	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B17_OP0001|B17_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-e267149ad13a	WC00018	Aerfiraianavel18	supporting_actor	cavern farmer	B18	ash river	Wren-Ash	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B18_OP0001|B18_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-7d063521d065	WC00019	Aerdalenavel19	background_actor	garden watcher	B19	morrow market	Thorn-Vayne	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B19_OP0001|B19_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-6879903639c9	WC00020	Aerdaleniel20	background_actor	stone archivist	B20	root vale	Marso-len	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B20_OP0001|B20_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-74a9e484e28f	WC00021	Aeranoramarriverion21	background_actor	orchard guard	B21	ripper tunnel	Rolzen-line	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B21_OP0001|B21_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-276e63184774	WC00022	Ashaelionen22	background_actor	sonomancy listener	B22	cello field	Kyreal-pack	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B22_OP0001|B22_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
VAR-CANON-dcc852d26134	WC00023	Aerdalenelle23	supporting_actor	tunnel witness	B23	blue-light road	Xethrolund-glyph	averaged_background_story_orbit_aesthetic_origin_distance	development|introduction|relationship_consequence|return_or_resolution	4	B23_OP0001|B23_OP0002	ally|rival|kin|mentor|dependent|faction|creature|location|world_system	background_actor_remains_coherent_until_promoted	complete_world_role_map
