projection_serial	canonical_character_id	character_id	default_attention_tier	promotion_triggers	demotion_triggers	max_reader_cast_weight	variant_dimensions	identity_mutation	timeline_mutation	consent_required	age_gate_required	reader_load_policy	reversible
VAR-PROJECTION-955cee1971ca	VAR-CANON-fd2931eec7a6	WC00001	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-339d875f8968	VAR-CANON-3b6cbf63adb1	WC00002	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-66e79f36aca4	VAR-CANON-2764fe655665	WC00003	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-8541adff5024	VAR-CANON-1e38a22791d0	WC00004	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-f87aae9e2f9b	VAR-CANON-d5264cfbbc77	WC00005	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-6aebd994695d	VAR-CANON-f26216ac331c	WC00006	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-8ee474fc2320	VAR-CANON-444c5463a1b2	WC00007	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-bda4d6a17593	VAR-CANON-5b7440666e84	WC00008	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-7c9f05590f72	VAR-CANON-bfee28b6714f	WC00009	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
VAR-PROJECTION-d6e94c68e7dc	VAR-CANON-9794ab2fc4c4	WC00010	background	user_favorite|explicit_mention|repeated_interaction|direct_relationship|active_quest|user_preference_match	scene_capacity|user_dismissal|arc_complete|no_recent_relevance	1	appearance|voice|role_emphasis|relationship_proximity	forbidden	forbidden	true	true	promote_one_or_two; keep_background_in_world_map	true
