dynamic_id	from_character	to_character	relation_type	polarity	orbit_scope	first_book	last_book	active_books	pressure_translation	wonder_fear_effect	source_basis	prose_policy
orbit:00001	Daisy May	Majiskii	pack_lineage	healing	books_2_25	1	25		Majiskii is Daisy May’s daughter and moves as part of Pip’s loyal dog-constellation.	wonder_from_wreckage	canon_fix_manual	metadata only; no generated prose
orbit:00002	Dervish	Mack	lattice_avatar_support	mythic	books_1_25	1	25		The Dervish acts as lattice-avatar and threshold-support, bearing resurrection ground at the end.	wonder_from_wreckage	canon_fix_manual	metadata only; no generated prose
orbit:00003	Indalwin Willowjayce	Mack	guardian_anchor	protective	series_spine	1	25		Mack raised/protected Indalwin; baseline safety/music of Oasis.	wonder_from_wreckage	character_lattice.json	metadata only; no generated prose
orbit:00004	Indalwin Willowjayce	Rylos (Rylos Vayne Johnson)	trust_bond_to_betrayal	corrosive	series_spine	1	25		Rylos builds deep trust during crisis/defense then harvests/siphons; mirror-betrayal axis.	fear_through_deformation	character_lattice.json	metadata only; no generated prose
orbit:00005	Indalwin Willowjayce	Solvaenkyr	attempted_reciprocal_support	healing	series_spine	1	25		Indalwin offers help; classmate refuses. This refusal becomes a collapse vector and seeds dehumanization arc.	wonder_from_wreckage	character_lattice.json	metadata only; no generated prose
orbit:00006	Indalwin Willowjayce	Ursula	biological_parent	mythic	series_spine	1	25		Ursula is biological mother; karmic deity; wish-power origin.	wonder_from_wreckage	character_lattice.json	metadata only; no generated prose
orbit:00007	Indalwin Willowjayce	Xethrolund	distant_counsel_to_soulmate	healing	series_spine	1	25		Telepathic contact via diary/blank book; stabilizing clarity; later earned partner.	wonder_from_wreckage	character_lattice.json	metadata only; no generated prose
orbit:00008	Mack	Dervish	book_copresence	mixed	book_co_presence	1	24	B01,B24	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00009	Mack	Solvaenkyr	book_copresence	mixed	book_co_presence	1	9	B01,B06,B09	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00010	Mack	Xethrolund	book_copresence	mixed	book_co_presence	1	10	B01,B02,B05,B09,B10	Characters share active-page pressure in the same book and can influence world texture together.	unstable_mixed_field	02_CHARACTER_PLACEMENT_BY_BOOK.md	metadata only; no generated prose
orbit:00011	Pip (Indalwin Willowjayce)	Daisy May	healthy_loyal_bond	protective	books_2_25	1	25		Daisy May is Pip’s first uncomplicated loyalty and physical ground. Never sacrificed.	wonder_from_wreckage	canon_fix_manual	metadata only; no generated prose
