control_surface	entity_or_scene	losing_source	losing_value	winning_source	winning_value	resolution_reason	negative_excluded	needs_followup
character_lock	Pip age	older engine character file	15	06_CHARACTER_REGISTRY.json + user canon locks	25	Latest canon lock and repeated thread correction supersede old branch age entry.	yes	no
character_lock	Daisy/Majiskii identity	merged dog record	Daisy May Majiskii as one Great Dane	timeline windows + user correction + registry	Daisy May and Majiskii are separate Great Danes	Broader timeline and direct user correction overrule merged wrong-branch record.	yes	no
character_lock	Rolzen spelling	older branch variants	Rosen / Rosen-like drift	registry + user correction	Rolzen	Explicit canon lock says ROLZEN (not Rosen).	yes	no
relationship_lock	Rylos naming surface	older branch label	Boojay primary	registry + later thread correction	Rylos primary, Boojay legacy alias only	Use Rylos as operative canon name while retaining Boojay as source/alias trace.	yes	no
capture_lock	Initial captivity shape	loose pair-capture readings	Pip and Rolzen captured together from outset	user correction + locked recovery arc	Only Pip is captured first; Rolzen is discovered in captivity	Direct user correction resolves drift and preserves diamond-cell healing origin.	yes	no
timeline_lock	Portal duration	collapsed or shortened variants	less than 400 years / vague stasis	canon locks + saved thread memory	400 years	Repeated canon lock and user emphasis make this non-negotiable.	yes	no
magic_lock	Xeth magic form	generic spellcasting readings	loose wizard spellcasting	registry + saved lock	glyph-compiled / deterministic NSQ execution	Explicit canon lock controls implementation.	yes	no
arc_lock	Rylos moral arc	redemption-framed variants	redemption	registry + thread lock	accountability never redemption	Newer explicit canon lock wins.	yes	no
scene_lock	Blood Cello blackout placement	end-of-book readings	blackout as ending	thread lock from recursive conversation	blackout is midpoint	Later direct correction controls scene architecture.	yes	no
scene_lock	Blood Cello cognition	speech/planning renderings	Pip explaining while playing	thread lock from recursive conversation	Pip is almost entirely narrowed into playing, not planning	Later thread correction supersedes interpretation drift.	yes	no
ecology_lock	Creature generation method	simple monster insertion	generic imported monsters	user correction April 18	American flora/fauna + myths + microbiology merged with 2-4 source traits from at least 2 media	New ecology law replaces loose creature generation.	yes	no
source_policy	Negative/quarantined material	vector-contaminated / blacklisted rows	applied into canon	current user instruction	do not apply negatives	Explicit exclusion rule.	yes	no
