profile_id	name	status	score	book_range	recommended_use	canonical_notes
CHAR_PIP	Pip / Indalwin Willowjayce	active	43	B01-B25	prime_core_anchor	Adult centerline anchor: sonomancy, mercy, impossible path-forging, humility, private practice, world-reading, relationship pressure, shadow-intelligence, and Unbrictionable path logic. Do not flatten into spectacle or teen branch.
CHAR_MACK	Mack	active	43	B01-B25	prime_core_anchor	Geological father/root anchor: sacrifice, zombie/tree horror, hot ice core, 40Hz to 42Hz, world-remaking, protective/destructive momentum. Never uses human language.
CHAR_XETHROLUND	Xethrolund / P.A.P.I.	active	42	B01-B25	prime_core_anchor	Archive/glyph anchor: blue light, diary/stasis frequency, glyph-compiled magic, quantum teaching, mind-risk, emotional denial contradicted by action.
CHAR_RYLOS	Rylos / Boojay / Rylos Vayne Johnson	active	38	B01-B25	core_accountability_anchor	Core collapse/love/accountability anchor. High scene value and high contamination risk. Preserve transmutation identity, Ares war-beauty, late betrayal timing, and accountability without redemption.
CHAR_ROLZEN	Rolzen	active	43	B14-B25	prime_later_core_anchor	Later-core anchor: huge body-forward love, force/boom crystal gravity-juggle combat, quick personality return, slow body healing, food/presence, Flux teaching, and Pip/Rolzen interdependence.
CHAR_DAISY_MAY	Daisy May	active	39	B01-B25	animal_core_anchor	Wordless emotional proof, route law, stasis/frozen-hand truth, and household axis. Never speaks. Never sacrificed.
CHAR_MAJISKII	Majiskii	active	39	B07-B25	animal_core_anchor	Sudden egg-room arrival, calm lazy unexpected power, daughter-presence, Null-is-Everything reception, and wordless family truth.
CHAR_NEITH	Neith	active	39	B01-B25	architect_villain_anchor	Foundational architect villain, Rylos mother, Diamond creator/trap-maker. Do not soften early. Blood Cello pivot is genuine and complete.
CHAR_URSULA	Ursula	active	39	B01-B25	cosmic_mother_anchor	Amethyst geode around planetary ice core, Pip's mother, cosmic maternal pressure, crystal gift, creation-song corridor. Early use subtle; later explicit cosmology.
CHAR_DERVISH	Dervish	active	36	B01-B25	cosmic_correction_anchor	Cosmic/lattice avatar and correction force. Glass-shard/ether-glass body, musical hyper-emotional glass-string voice, 'all is life' law, world-remaking support.
CHAR_KYREAL	Kyreal	active	40	B01-B25	school_friend_quantum_unlock	Bipedal wolf sword-user, school benchmark strongest after Pip. Later leads Drawn search, freezes, collapses into sliced remains when Pip touches him, triggering Pip's first quantum kill-before-tears scene.
CHAR_VAEDRIC	Vaedric Maldor Obstineth / Cockatrice	active	36	B08-B25	cockatrice_wizard_antagonist	Older manipulator of Rylos, altar self-blood void opener, later single ripper return, final mortal blow to Rylos. Direct intent toward Pip uncertain at first encounter.
CHAR_SOLVAENKYR	Solvaenkyr / FaithFixer	active	38	B06-B15	refusal_wraith_arc_anchor	Refusal/wound pressure character. Intelligent wraith endpoint is rapid threshold, not gradual. Appearances test help, dependency, and refusal without shaming dependency itself.
CHAR_WRENATH	Wrenath Vel'Thane Still-Water	active	40	B08-B25	archive_diplomat_anchor	Tactile diplomacy, Eyeless/Floating City culture, Santa-hat/crown reading, archive continuity, witness to uncaptured stories.
CHAR_CORVETH	Corveth Ash'Koral Dark-Current	active	39	B14-B25	morally_dark_faction_anchor	Ash-Born survival pressure and Thorn reckoning. Tactical ruthlessness plus real protective cost. Not generic villain; respect and guilt must both remain.
CHAR_SORRA	Sorra Marso'Len Thorn-Grace	active	39	B13-B25	healer_ethics_anchor	Adult medical ethics anchor. Productive tension with Pip; limits him for good reasons. Strong triage and returned-person authority.
CHAR_PETHRAN	Pethran	active	39	B13-B25	worldbirth_architect_anchor	Architecture/survivability anchor. Use with Elven/Renath to turn world-remaking into functioning civic space.
CHAR_FERITHA	Feritha	active	38	B13-B25	cross_faction_medical_anchor	Cross-faction adult intake/medical authority. Field execution counterpart to Sorra's ethical policy pressure.
CHAR_CAERA	Caera	active	35	B13-B25	edge_negotiator_anchor	Off-ledger negotiator. Morally tense but not corrupt by default. Use for impossible resources and ethically risky channels.
CHAR_CALIX	Ferryman Calix the Grey	active	42	B14-B25	liminal_crossing_anchor	Near-core encounter utility: uncrossable routes, truth-price, threshold law, death/rebirth, desert/gate crossings.
CHAR_THRESH	Healer Thresh Nightbloom	active	40	B14-B22	dimensional_medicine_anchor	Veil-Walker medicine, dimensional wounds, hard to find/worth finding. Use where normal medicine cannot reach.
CHAR_DRAWN	The Drawn	active	39	B08-B15	devious_entity_group	Devious but not malicious by default. Feature swaps/dimensional activations have lasting bodily/social consequence.
CHAR_PETHRAN_ELVEN_RENATH	Pethran / Elven / Renath	active	37	B13-B25	worldbirth_logistics_cluster	Worldbirth architecture, agriculture, food security, supply chains, and non-spectacular survival competence.
CHAR_ITHREN_OLVATH	Ithren / Keeper Olvath	active	38	B13-B25	archive_authority_cluster	Ithren keeps living memory of sonomancy; Olvath keeps documented artifacts. Use disagreement between living memory and written record productively.
CHAR_DREST_PELN	High Warden Drest / Accord Chair Peln	active	35	B13-B25	governance_cost_cluster	Faction governance, survival math, guilt, apology limits, and council pressure.
CHAR_ALEX	Alex	active	35	B02	single_scene_entrustment_anchor	Entrusts Daisy May and Majiskii. Do not overextend; the entrustment is the whole function.
CHAR_LASSITH_DERRIS_TETH	Merchant Lassith / Vault Keeper Derris / Broker Teth	active	37	B02-B17	commerce_threshold_cluster	Markets, vault access, prices that are not money, resource brokerage, and threshold cost.
CHAR_KYREL_AENWYN_DAEVYN_SELWYN	Kyrel / Aenwyn / Daevyn / Selwyn	active	33	B14-post_B25	youth_cohort_cluster	Youth-cohort pressure: brave-wrong action, physical care, emotional aftermath, growth without shaming dependency.
