matrix_id	target_character_id	target_name	viewpoint_character_id	viewpoint_name	book	final_state_rule	death_resurrection_parity	viewpoint_requirement	required_consequence	anti_martyr_rule	source_resolution_status	prose_status
resurrection:wowas::pip_indalwin_willowjayce:wowas::pip_indalwin_willowjayce	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::pip_indalwin_willowjayce:wowas::mack_willow_father	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	wowas::mack_willow_father	Mack	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::pip_indalwin_willowjayce:wowas::xethrolund_papi	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	wowas::xethrolund_papi	Xethrolund	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::pip_indalwin_willowjayce:wowas::ursula_cosmic_mother	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	wowas::ursula_cosmic_mother	Ursula	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::pip_indalwin_willowjayce:wowas::neith_architect_mother	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	wowas::neith_architect_mother	Neith	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::pip_indalwin_willowjayce:wowas::rolzen_warrior_anchor	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	wowas::rolzen_warrior_anchor	Rolzen	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::pip_indalwin_willowjayce:wowas::rylos_vayne_johnson	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::pip_indalwin_willowjayce:wowas::dervish_cosmic_entity	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	wowas::dervish_cosmic_entity	Dervish	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::pip_indalwin_willowjayce:wowas::daisy_may_great_dane	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	wowas::daisy_may_great_dane	Daisy May	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::pip_indalwin_willowjayce:wowas::majiskii_great_dane	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	wowas::majiskii_great_dane	Majiskii	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::mack_willow_father:wowas::pip_indalwin_willowjayce	wowas::mack_willow_father	Mack	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::mack_willow_father:wowas::mack_willow_father	wowas::mack_willow_father	Mack	wowas::mack_willow_father	Mack	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::mack_willow_father:wowas::xethrolund_papi	wowas::mack_willow_father	Mack	wowas::xethrolund_papi	Xethrolund	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::mack_willow_father:wowas::ursula_cosmic_mother	wowas::mack_willow_father	Mack	wowas::ursula_cosmic_mother	Ursula	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
resurrection:wowas::mack_willow_father:wowas::neith_architect_mother	wowas::mack_willow_father	Mack	wowas::neith_architect_mother	Neith	25	source_resolution_required	required	distinct_main_party_viewpoint_required	relationship state, world state, self-understanding, and future action must change	return is not a reward for self-erasure; survival/resurrection must preserve agency and shared rebuilding	structured_requirement_not_scene_level_proof	no_generated_prose
