encounter_code	scene_window	book_range	specific_scene_ids	insertion_priority	phase_note
wowas::summit_county_abduction_approach_01	Rockies approach — 48 hours before capture	8	B08_seal_siege_pre; any Scene-Ladder slot in B08 Summit band	critical	Party should encounter Shell Coyote clicking before Ripper visual contact. The countdown starts here.
wowas::summit_county_abduction_approach_02	Summit high country — night before capture	8	B08_final_night_high; last B08 placed slot before capture sequence	critical	Selenite tagging event. One party member touches the stone. The 48-hour Ripper location window begins.
wowas::summit_county_abduction_approach_03	First dawn — capture morning	8-9	B09_C001_pre or B08 terminus	high	Ripper Crow mimicry with correct voice. Let a party member follow the call. This is what splits the party at the moment of capture.
wowas::crawford_county_siege_day_01	Onondaga cave entry — first six hours	10-11	B10_P or B11 Onondaga entry slot	critical	Cave-Bell Hellbender at the first cave water crossing. Pip's sonomancy responds involuntarily. This is the first sign the cave is preparing him.
wowas::crawford_county_siege_day_02	Onondaga cave — night of day one	10-11	First night slot inside cave	critical	Dragon-Egg Geodes begin vibrating at 42Hz in Pip's proximity. The siege has started but the transformation has also started. Let both be in the scene simultaneously.
wowas::crawford_county_siege_day_03	Onondaga cave — day two	10-11	Day-two siege slot	critical	Shell Coyote countdown becomes interpretable. The party understands it is a countdown. They do not yet know what it is counting.
wowas::crawford_county_siege_day_04	Onondaga cave — third day	10-11	Transformation onset slot	critical	Geode plates fly toward Pip at Ripper breakthrough. The transformation begins at the moment the siege fails to prevent it.
wowas::lincoln_county_ocean_pre_01	Oregon coast approach — day before wave-claim	11-12	B11 or B12 coast approach slot	high	Storm petrel column forms above Pip on the bluff approach. Visible from inland. The party can see it from behind him.
wowas::lincoln_county_ocean_01	Oregon coast — wave-claim scene	11-12	B11/B12 ocean-claim sequence	critical	Seals haul out around Pip specifically. Beauty before the wave. This is the last calm moment before the ocean takes him.
wowas::idaho_brochure_01	Idaho approach — Ada County rest stop	11-12	B11 or B12 Idaho corridor slot	moderate	Brochure coyote presents Meramec Caverns material. Let it be funny before it becomes necessary.
wowas::idaho_brochure_02	Idaho plateau — Bannock corridor	11-12	B11/B12 highway approach slot	moderate	Ruin fox begins visible course-correction. Party notices before they admit they are following it.
wowas::larimer_front_range_01	Front Range approach — Larimer entry	8-9	B08 approach slot / Larimer County threshold	high	Threshold Bear runs gating behavior. Party reroutes. The bear follows at distance for the rest of the day.
wowas::larimer_front_range_02	Front Range — Larimer to Summit transition	8-9	B08/B09 transition slot	high	Front-Range Hawk begins circling. Party navigates toward it without deciding to.
wowas::cleveland_okc_return_01	Cleveland County return buffer — final approach	13-14	B13 entry / afterwake return corridor	moderate	Return Deer appears and paces. Let it be quiet. Let it be witnessed. This is not an encounter — it is a scene.
wowas::oklahoma_city_return_01	Oklahoma City — urban entry	13-14	B13 afterwake OKC slot	moderate	Creek Bear first appearance post-return. The city has not become safer during the 400 years. The urban ecology has continued without the party.
