monster_code	common_name	neo_scientific_name	story_corridor	state	county_anchor	anchor_city	life_domain	base_american_anchor	anchor_scientific_name	wowas_zone_fit	landscape_pressure	american_myth_register	microbiology_register	source_media_register_1	source_media_register_2	source_media_register_3	source_media_register_4	source_trait_stack	pressure_split	encounter_threat_tier	fight_pattern	morph_description	behavior_in_world	ecological_function	danger_to_humans	edge_of_seat_hook	quest_or_scene_use	generator_notes
wowas::summit_county_mammal_01	Abduction Elk	Cervocapt ruptus	rockies_abduction_band	Colorado	Summit County	Breckenridge	mammal	Rocky Mountain elk	Cervus canadensis	zone::rockies_high	alpine cirques, talus slopes, abandoned ski infrastructure, ridge wind	wendigo horn-bearer	cryo-bacterial film on antler velvet	Nemesis	Jason Voorhees	Noelle Silva		relentless arrival and pressure escalation; implacable survival-force; power erupting to protect what cannot be lost	fear_by_stripping	severe	ridge-cut pursuit into exposed terrain	Bull elk whose antlers grow in locked downward angles like grasping hands, shedding velvet that moves against wind and clings to whoever it touches. The animal does not charge — it arrives, and arrival is enough.	It materializes upslope ahead of the party, forcing them off the safe line and into open talus where nothing is footed. The velvet clings and carries a slow cold that does not respond to warmth.	ridge sentinel and altitude pressure anchor; marks Ripper territory before any Ripper is visible	severe; the cold is cumulative and the terrain punishes hesitation	The party realizes this thing was not hunting them — it was driving them toward something that was	Use at the approach to the Rockies abduction corridor. This species should signal that the Rippers are already organized and watching before the party understands how organized.	Summit County, Colorado. The abduction band's primary ecological herald. Reuse as a range-marker for Ripper pre-positioning.
wowas::summit_county_mammal_02	Glass-Ridge Fox	Vulpeglaer altus	rockies_abduction_band	Colorado	Summit County	Breckenridge	mammal	red fox	Vulpes vulpes	zone::rockies_high	alpine cirques, talus slopes, abandoned ski infrastructure, ridge wind	silver fox omen	cold-specialist lactobacillus	Drizzt Do'Urden	Gray Fullbuster	Hermione Granger		underground precision and lonely honor; ice-veined control and restraint; analytic patterning and prepared response	wonder_from_wreckage	moderate	triangulation and ambush from above	Small fox with fur that refracts light rather than absorbing it, creating a shifting mirror-image displacement around its body. Moves in utter silence on ice surfaces that should not support its weight.	It scouts party composition before the Rippers arrive. Wherever it sits and watches without fleeing, something worse is already aware of the party's position.	pre-capture intelligence relay; ecological sentry for Ripper-controlled altitude zones	moderate; the fox itself cannot harm the party but what it signals can	The party notices the fox is not afraid of them — and then understands what that means	Use in the two days before Pip's abduction. Let it appear and vanish. Let someone notice it is not running.	Summit County, Colorado. The emotional foreshadow of capture. Reuse throughout the abduction band.
wowas::summit_county_bird_01	Ripper Crow	Corvorhaph capturans	rockies_abduction_band	Colorado	Summit County	Breckenridge	bird	common raven	Corvus corax	zone::rockies_high	alpine cirques, talus slopes, abandoned ski infrastructure, ridge wind	thunderbird register	cold-anaerobe gut flora	Gromph Baenre	Freddy Krueger	Jason Voorhees		cold shadow-intelligence and dangerous reach; dream-penetration and intimate personal threat; relentless arrival	fear_by_stripping	high	aerial coordination and alarm relay	Raven with oil-black feathers that show prismatic Ripper-purple iridescence at certain angles. Calls are perfect mimics of human distress sounds — not animal distress, specifically human. The mimicry is always two days ahead of the event it describes.	It circles above the party at a distance that feels safe and calls with the voice of something the party loves until someone follows the sound.	abduction coordination relay; long-range alarm system for Ripper hunting packs	high; the mimicry has killed more people than the Rippers have by drawing them off course	The voice it uses is always recognizable — and always wrong by two days	Use in the abduction approach. Let the mimicry work on a party member before the party understands what the bird is.	Summit County, Colorado. The abduction band's primary horror-bird species. Reuse as persistent aerial omen throughout Books 8–9.
wowas::summit_county_reptile_01	Cold-Crack Rattler	Pitvipalt rupturans	rockies_abduction_band	Colorado	Summit County	Breckenridge	reptile	timber rattlesnake	Crotalus horridus	zone::rockies_high	alpine cirques, talus slopes, abandoned ski infrastructure, ridge wind	canyon devil	cryo-thermophile exchange	Bad Santa	Erza Scarlet	Nemesis		profane tenderness under rot; armored love and overwhelming force; bulldozing pursuit through chaos	fear_by_stripping	severe	cold-shock paralysis before strike	Rattlesnake whose rattle sounds like breaking ice rather than bone. Body temperature runs thirty degrees below ambient. A bite does not inject venom — it injects cold that expands into the bloodstream and crystallizes at the joints within four minutes.	It hunts exclusively at the moment a person stops moving to rest. It has learned that human fatigue is a reliable hunting window.	altitude ambush predator for exhausted travelers; Ripper-adjacent species that benefits from abduction corridor disruption	severe; the cold crystallization is survivable only if treated within the four-minute window	The party cannot rest until they are below seven thousand feet — and they are not below seven thousand feet	Use to make the Rockies corridor actively deadly independent of Rippers. The party should never feel safe enough to sleep.	Summit County, Colorado. The abduction band's primary physical hazard species. Reuse throughout the high-altitude approach.
wowas::summit_county_stone_01	Capture Selenite	Selenocapt altus	rockies_abduction_band	Colorado	Summit County	Breckenridge	stone	selenite	Selenite	zone::rockies_high	alpine cirques, talus slopes, abandoned ski infrastructure, ridge wind	mountain witch glass	moonmilk bacterium	Freddy Krueger	The Dervish	Tasslehoff Burrfoot		dream-penetration and intimate threat; lattice-avatar and threshold cosmology; curiosity ignoring danger boundaries	wonder_from_wreckage	moderate	crystal resonance — amplifies sound into disorientation	Selenite plates that form naturally in the high talus but here grow in orientations that focus ambient sound into pressure points. Anyone who touches a plate hears a clear voice say their name once, then silence. The voice is always their own from a younger age.	It does not attack. It marks. Anyone who has heard their own name from the stone is locationally visible to Rippers within a radius of three miles for the next forty-eight hours.	Ripper location tagging via resonance imprint; one-touch marking system requiring no Ripper presence	moderate; the stone cannot injure but it announces	The party does not understand why the Rippers found them so quickly — until someone remembers touching the pretty crystal	Use in the final approach before Pip's abduction. Let one party member touch it.	Summit County, Colorado. The abduction band's stone-form tagging system. The most narratively important stone entry in the registry.
wowas::summit_county_flora_01	Ripper Willow-Weed	Salixcapt rupturans	rockies_abduction_band	Colorado	Summit County	Breckenridge	flora	mountain willow	Salix monticola	zone::rockies_high	alpine cirques, talus slopes, abandoned ski infrastructure, ridge wind	thorn mother	root-associated cryo-biofilm	Mack (inverted register)	Nemesis	Jason Voorhees		geometric geological patience inverted; bulldozing pursuit through chaos; relentless arrival	fear_by_stripping	high	root-snare at ankle height in moving water	Willow variety that has learned to run horizontal root threads at exactly ankle height through moving cold water. The threads do not look like vegetation — they look like current patterns. The snare locks on contact and tightens with body heat.	It grows densest at creek crossings on the abduction approach. It is not carnivorous — it does not feed. It simply stops movement at the moments when the party most needs to be moving.	creek-crossing route denial; Ripper-serving delay mechanism	high; the snare is not immediately dangerous but Rippers find the delayed party within the delay window	No one falls — they just stop, in cold water, three miles from where they wanted to be, at dusk	Use at every creek crossing in the Summit County approach. Let it happen to the rearmost party member first.	Summit County, Colorado. The abduction band's water-crossing trap. Mack's inverted register matters — this is willow that serves capture rather than protection.
wowas::crawford_county_mammal_01	Shell Coyote	Canioscuta rupturans	onondaga_shell_arc	Missouri	Crawford County	Steelville	mammal	coyote	Canis latrans	zone::onondaga_caves	karst sinkhole terrain, limestone bluffs, cave-mouth clearings, cedar glades	jackalope register	cave gut microbiome	Natsu	Tommy Pickles	Stitch		explosive heat and protective combustion; feral childhood nerve and opportunism; engineered ferocity choosing attachment	unstable_mixed_field	high	coordinated harassment at perimeter	Coyote variant with a partial calcium deposit across the shoulders and upper spine — not a full shell but a saddle of stone that rings like ceramic when struck. The pack coordinates by percussive clicks against each other's stone, producing a sound that carries three miles through limestone country.	When the party enters the cave perimeter, the pack begins clicking. The click pattern is a countdown. The party does not know what it is counting down to. It is always counting down to the same thing.	siege-signaling species for the Onondaga shell event; coordinates the three-day pressure surrounding Pip's transformation	high; the pack does not attack directly but calls in something that does	The clicking is always calming until the party figures out it is a countdown	Use throughout the three-day Onondaga siege. The coyotes should be visible and non-threatening for the first day. The countdown should only become interpretable on day two.	Crawford County, Missouri. The shell arc's primary coordination species. Let the clicking be the first sign of siege before any visual pressure appears.
wowas::crawford_county_amphibian_01	Cave-Bell Hellbender	Cryptotone spelaeus	onondaga_shell_arc	Missouri	Crawford County	Steelville	amphibian	Ozark hellbender	Cryptobranchus alleganiensis bishopi	zone::onondaga_caves	karst sinkhole terrain, limestone bluffs, cave-mouth clearings, cedar glades	mud-angel	skin symbiont bloom	Apocalyptica	The Dervish	Menolly		percussive cello violence and grave beauty; lattice-avatar and threshold cosmology; music as shelter and belonging	wonder_from_wreckage	moderate	subsonic pressure pulse from skin	Hellbender that has developed skin glands producing low-frequency vibration in the 38–44 Hz range — slightly below Mack's baseline frequency, close enough to be felt in the chest as wrongness rather than heard as sound. The body is translucent enough in the right cave-light to show its heartbeat.	It appears in still cave water and pulses. Anyone within fifteen feet feels their own heartbeat trying to synchronize with it. Pip's sonomancy responds to it involuntarily. The first day of the Onondaga siege, it is the only indication that the cave is doing something to him.	biological frequency-priming for Pip's transformation; the cave's living instrument preparing his physiology before the shell event	low direct danger, severe indirect consequence; the body-resonance is the priming mechanism for the geode event	Pip's magic starts responding to things he hasn't asked it to respond to — and this is why	Use in the cave approach and first night of the Onondaga siege. Let Pip hear it before he sees it. Let it be beautiful and then alarming.	Crawford County, Missouri. The shell arc's biological preparation mechanism. Pairs directly with the Onondaga stone forms.
wowas::crawford_county_stone_01	Dragon-Egg Geode	Geodraco spelaeus	onondaga_shell_arc	Missouri	Crawford County	Steelville	stone	Missouri geode	Quartz geode	zone::onondaga_caves	karst sinkhole terrain, limestone bluffs, cave-mouth clearings, cedar glades	dragon egg / cave heart	fluorescent cave biofilm	Dervish	Noelle Silva	Apocalyptica	Erza Scarlet	lattice-avatar and threshold cosmology; water nobility sharpened by pride; percussive cello violence; armored love and overwhelming force	wonder_from_wreckage	severe (as transformation material, not predator)	shard-burst under exterior fracture — interior reveals neon-pink crystal facing	Missouri geode whose outer calcite shell is identical to standard cave formation but whose interior crystal facing is neon-pink, geometric, and structured in feather-pattern lamina. The inner plates are the same material that Pip's shell and wings will be made from. These geodes are not randomly distributed — they are positioned in the cave by a logic the party cannot immediately read.	When touched by someone carrying unfinished metamorphosis, the geode begins vibrating at 42Hz. When broken near Pip during the siege, the interior plates fly to him rather than falling. The cave is full of them. The siege is using Rippers as pressure so the cave can finish what the Onondaga water started.	transformation material; the physical substance of Pip's shell and wings; the cave's active instrument	severe misread danger: the geodes look like treasure and they are, but prying them open without Pip's resonance causes explosive crystalline fragmentation	The Rippers are not trying to kill Pip during the siege. They are trying to stop the transformation. That is different.	Use throughout the three-day Onondaga siege. The geodes should become increasingly obvious as the siege continues. The party should understand what the cave is doing at approximately the same time Pip does.	Crawford County, Missouri. The shell arc's primary transformation material. The most narratively critical stone entry in the entire registry after Summit County selenite.
wowas::cleveland_county_mammal_01	Return Deer	Odocoelev vigil	okc_return_lane	Oklahoma	Cleveland County	Norman	mammal	white-tailed deer	Odocoileus virginianus	zone::okc_return_south	red-dirt suburb buffer, creek drainage, university grounds, highway grass margins	prairie ghost return	skin-dwelling staphylococcus	Stitch	Sam Gamgee (registered as Witness-Register)	F'nor		engineered ferocity choosing attachment; faithful witness who carries the story; the good man who saves everything without leading	wonder_from_wreckage	low	none — these animals do not fight	White-tailed deer in this corridor have learned to walk alongside parties approaching OKC from the south. They do not flee. They do not approach. They match pace for exactly as long as it takes to cross from the Cleveland County buffer into Oklahoma County proper, then stop and watch the party go without following.	They are not protective. They are not magical. They have done this for everyone who has survived to reach this buffer zone and they do not distinguish between who survives and who doesn't. They simply accompany the crossing.	emotional weight species — not a threat, not a resource, a witness; marks the transition from survival corridor into home territory	none; their danger is emotional	After everything — after the Rockies, the cave, Mississippi, all of it — a deer walks beside them in silence for twenty minutes and then stops	Use as the final ecological beat before the party re-enters Oklahoma City territory. Let it be quiet. Let it be witnessed.	Cleveland County, Oklahoma. The return lane's emotional punctuation. This species does not belong in an encounter table. It belongs in a scene.
