momentum_id	dynamic_id	from_character	to_character	relation_type	polarity	first_book	last_book	momentum_level	required_state_change	required_emotional_consequence	required_counteragency	required_lattice_carry_forward	prose_status	source_policy
momentum:00001	orbit:00001	Daisy May	Majiskii	pack_lineage	healing	1	25	medium	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
momentum:00002	orbit:00002	Dervish	Mack	lattice_avatar_support	mythic	1	25	medium	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
momentum:00003	orbit:00003	Indalwin Willowjayce	Mack	guardian_anchor	protective	1	25	high	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
momentum:00004	orbit:00004	Indalwin Willowjayce	Rylos (Rylos Vayne Johnson)	trust_bond_to_betrayal	corrosive	1	25	high	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
momentum:00005	orbit:00005	Indalwin Willowjayce	Solvaenkyr	attempted_reciprocal_support	healing	1	25	medium	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
momentum:00006	orbit:00006	Indalwin Willowjayce	Ursula	biological_parent	mythic	1	25	high	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
momentum:00007	orbit:00007	Indalwin Willowjayce	Xethrolund	distant_counsel_to_soulmate	healing	1	25	high	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
momentum:00008	orbit:00008	Mack	Dervish	book_copresence	mixed	1	24	medium	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
momentum:00009	orbit:00009	Mack	Solvaenkyr	book_copresence	mixed	1	9	medium	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
momentum:00010	orbit:00010	Mack	Xethrolund	book_copresence	mixed	1	10	medium	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
momentum:00011	orbit:00011	Pip (Indalwin Willowjayce)	Daisy May	healthy_loyal_bond	protective	1	25	medium	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
momentum:00012	orbit:00012	Pip (Indalwin Willowjayce)	Dervish	book_copresence	mixed	1	24	medium	yes	yes	yes	yes	no_generated_prose	source-backed relationship function only; no invented fate
