character_code	canonical_name	book_num	book_title	timeline_band_code	first_active_scene	last_active_scene	activity_mode	narrative_tier	quest_role	faction	role_summary	region_code	dimension_overlay	peril_state	transformation_state	book_function_notes	source_basis
wowas::arath_outer_nomadic	Arath Vel'Thane Dark-Current	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	The Unbound	Outer Territories — Unbound navigator / far-range scout	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::bael_ironmarsh_elder	Bael On'Rylder Ash-Cinder	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	The Iron Accord	Ironmarsh elder / pre-collapse settlement memory	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::caeln_basin_outpost	Caeln Vel'Thane Iron-Song	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	The Resonance	Still Water Basin knowledge outpost keeper	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::cevyn_ironmarsh_youth	Cevyn On'Rylder Willow-Jayce	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	The Iron Accord	Ironmarsh youth / marsh-born generation	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::daisy_may_great_dane	Daisy May	1	Choices Make World	B01			introduced	core	party_core	none	unconditional anchor	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	character_registry
wowas::dervish_cosmic_entity	Dervish	1	Choices Make World	B01			introduced	core	major_recurring	none	cosmic corrective force	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	placement_by_book
wowas::leven_thornridge_watch	Leven Ash'Koral Dark-Current	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	The Ash-Born	Thornridge watch station commander	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::lyren_gap_teacher	Lyren Vel'Thane Dark-Current	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	Unaffiliated	Gap District / Soleth's second classroom	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::mack_willow_father	Mack	1	Choices Make World	B01	B01_C001	B01_R0153	introduced	core	major_recurring	none	guardian / biological father / planetary anchor	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	placement_by_book
wowas::meven_outer_survivor	Meven Ash'Koral Iron-Song	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	Unaffiliated	Outer Territories — isolated survivor / collapse-era fragment	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::morn_ironmarsh_navigator	Morn On'Rylder Thorn-Grace	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	The Iron Accord	Ironmarsh navigator / marsh-route keeper	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::neith_architect_mother	Neith	1	Choices Make World	B01			active	core	opposition	none	foundational architect villain / Rylos' mother	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	character_registry
wowas::pelven_basin_agri	Pelven On'Rylder Stone-Hayne	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	The Iron Accord	Still Water Basin agricultural supervisor	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	1	Choices Make World	B01	B01_C001	B01_R0153	introduced	core	party_core	none	protagonist / sonomancer / world-maker	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	placement_by_book
wowas::reth_gap_craftworker	Reth Ash'Koral Willow-Jayce	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	Unaffiliated	Gap District craftworker / material specialist	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::reva_thornridge_severed	Reva Sol'Drel Ash-Cinder	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	The Severed	Thornridge — Severed administrative function	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	1	Choices Make World	B01	B01_C018	B01_R0153	introduced	core	opposition	none	primary antagonist / accountability arc / Xeth love interest	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	scene_index_inference
wowas::sael_ashfields_youth	Sael Ash'Koral Willow-Jayce	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	The Ash-Born	Ashfields — youth cohort / Dravan and Kaeven's generation	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::seren_deepwood_guardian	Seren Marso'len Iron-Song	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	Unaffiliated	Deepwood Remnant — informal guardian / long-term resident	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::solvaenkyr_faithfixer	Solvaenkyr	1	Choices Make World	B01			introduced	major_recurring	major_recurring	none (Diamond-era classmate)	Faith-Fixer / wraith-state endpoint	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	placement_by_book
wowas::theven_gap_unaffiliated	Theven On'Rylder Willow-Jayce	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	Unaffiliated	Gap District informal community organizer	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::toreth_ashfields_supply	Toreth Ash'Koral Iron-Song	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	The Ash-Born	Ashfields — resource management / internal supply	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::ursula_cosmic_mother	Ursula	1	Choices Make World	B01			active	core	major_recurring	none	biological mother / cosmic anchor	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	character_registry
wowas::veth_ashfields_healer	Veth Ash'Koral Still-Water	1	Choices Make World	B01			active	secondary_recurring	consultation_cast	The Ash-Born	Ashfields — secondary healer / Maeren's assistant	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	population_batch
wowas::xethrolund_papi	Xethrolund	1	Choices Make World	B01	B01_C020	B01_R0142	introduced	core	party_core	none	librarian / guide / love interest	diamond_world	none	active	stable	Mack confirms prophecy. 40Hz established. | Xethrolund: first telepathic contact. Blue light = his frequency. | Dervish: corrects time spell, creates silver second sun, leaves Cloak of Aetherion and three Gems. Departs.	placement_by_book
wowas::alex_market_guardian	Alex	2	The Diary and the Blue Light	B02			introduced	secondary_recurring	major_recurring	Unaffiliated	entrusts Daisy May and Majiskii to Pip	diamond_world	none	active	stable	Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash.	placement_by_book
wowas::daisy_may_great_dane	Daisy May	2	The Diary and the Blue Light	B02			introduced	core	party_core	none	unconditional anchor	diamond_world	none	active	stable	Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash.	placement_by_book
wowas::dervish_cosmic_entity	Dervish	2	The Diary and the Blue Light	B02			active	core	major_recurring	none	cosmic corrective force	diamond_world	none	active	stable	Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash.	character_registry
wowas::mack_willow_father	Mack	2	The Diary and the Blue Light	B02	B02_L009	B02_R0224	active	core	major_recurring	none	guardian / biological father / planetary anchor	diamond_world	none	active	stable	Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash.	placement_by_book
wowas::neith_architect_mother	Neith	2	The Diary and the Blue Light	B02			active	core	opposition	none	foundational architect villain / Rylos' mother	diamond_world	none	active	stable	Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash.	character_registry
wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	2	The Diary and the Blue Light	B02	B02_L010	B02_R0230	active	core	party_core	none	protagonist / sonomancer / world-maker	diamond_world	none	active	stable	Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash.	placement_by_book
wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	2	The Diary and the Blue Light	B02	B02_M002	B02_M059	active	core	opposition	none	primary antagonist / accountability arc / Xeth love interest	diamond_world	none	active	stable	Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash.	placement_by_book
wowas::ursula_cosmic_mother	Ursula	2	The Diary and the Blue Light	B02			active	core	major_recurring	none	biological mother / cosmic anchor	diamond_world	none	active	stable	Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash.	character_registry
wowas::xethrolund_papi	Xethrolund	2	The Diary and the Blue Light	B02	B02_L030	B02_R0207	active	core	party_core	none	librarian / guide / love interest	diamond_world	none	active	stable	Alex entrusts Daisy May and Majiskii to Pip at the floating market. | Boojay: wounded jackrabbit in the market. Healing that does not hold. | Boojay: first sign of trouble — cold cruelty flash.	placement_by_book
wowas::daisy_may_great_dane	Daisy May	3	The First Thread	B03			companion_presence	core	party_core	none	unconditional anchor	diamond_world	none	active	stable	"Xethrolund reveals himself. 7 feet. Red hair. Muscular librarian. P.A.P.I. | True name recognition: Indalwin Willowjayce. | ""You are not what was done to you."" — canon locked line."	character_registry
wowas::dervish_cosmic_entity	Dervish	3	The First Thread	B03			active	core	major_recurring	none	cosmic corrective force	diamond_world	none	active	stable	"Xethrolund reveals himself. 7 feet. Red hair. Muscular librarian. P.A.P.I. | True name recognition: Indalwin Willowjayce. | ""You are not what was done to you."" — canon locked line."	character_registry
wowas::mack_willow_father	Mack	3	The First Thread	B03	B03_L047	B03_M059	active	core	major_recurring	none	guardian / biological father / planetary anchor	diamond_world	none	active	stable	"Xethrolund reveals himself. 7 feet. Red hair. Muscular librarian. P.A.P.I. | True name recognition: Indalwin Willowjayce. | ""You are not what was done to you."" — canon locked line."	placement_by_book
wowas::neith_architect_mother	Neith	3	The First Thread	B03			active	core	opposition	none	foundational architect villain / Rylos' mother	diamond_world	none	active	stable	"Xethrolund reveals himself. 7 feet. Red hair. Muscular librarian. P.A.P.I. | True name recognition: Indalwin Willowjayce. | ""You are not what was done to you."" — canon locked line."	character_registry
wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	3	The First Thread	B03	B03_L003	B03_R0072	active	core	party_core	none	protagonist / sonomancer / world-maker	diamond_world	none	active	stable	"Xethrolund reveals himself. 7 feet. Red hair. Muscular librarian. P.A.P.I. | True name recognition: Indalwin Willowjayce. | ""You are not what was done to you."" — canon locked line."	placement_by_book
wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	3	The First Thread	B03	B03_M003	B03_M060	active	core	opposition	none	primary antagonist / accountability arc / Xeth love interest	diamond_world	none	active	stable	"Xethrolund reveals himself. 7 feet. Red hair. Muscular librarian. P.A.P.I. | True name recognition: Indalwin Willowjayce. | ""You are not what was done to you."" — canon locked line."	placement_by_book
wowas::ursula_cosmic_mother	Ursula	3	The First Thread	B03			active	core	major_recurring	none	biological mother / cosmic anchor	diamond_world	none	active	stable	"Xethrolund reveals himself. 7 feet. Red hair. Muscular librarian. P.A.P.I. | True name recognition: Indalwin Willowjayce. | ""You are not what was done to you."" — canon locked line."	character_registry
wowas::xethrolund_papi	Xethrolund	3	The First Thread	B03	B03_L002	B03_M058	introduced	core	party_core	none	librarian / guide / love interest	diamond_world	none	active	stable	"Xethrolund reveals himself. 7 feet. Red hair. Muscular librarian. P.A.P.I. | True name recognition: Indalwin Willowjayce. | ""You are not what was done to you."" — canon locked line."	placement_by_book
wowas::cockatrice_king	King of the Cockatrice	4	Crocodile Smile	B04	B04_003	B04_R0061	active	major_recurring	opposition	none	monster antagonist / corrupted wizard	diamond_world	none	active	stable	The smile across the crowd. First physical Boojay encounter. | Fleeing the Cockatrice. Boojay diagnoses Pip's magic correctly. | Pocket sanctuary (Void-Fold). Week of golden light. Trauma bond seeds.	scene_index_inference
wowas::daisy_may_great_dane	Daisy May	4	Crocodile Smile	B04			companion_presence	core	party_core	none	unconditional anchor	diamond_world	none	active	stable	The smile across the crowd. First physical Boojay encounter. | Fleeing the Cockatrice. Boojay diagnoses Pip's magic correctly. | Pocket sanctuary (Void-Fold). Week of golden light. Trauma bond seeds.	placement_by_book
wowas::dervish_cosmic_entity	Dervish	4	Crocodile Smile	B04			active	core	major_recurring	none	cosmic corrective force	diamond_world	none	active	stable	The smile across the crowd. First physical Boojay encounter. | Fleeing the Cockatrice. Boojay diagnoses Pip's magic correctly. | Pocket sanctuary (Void-Fold). Week of golden light. Trauma bond seeds.	character_registry
wowas::mack_willow_father	Mack	4	Crocodile Smile	B04	B04_L009	B04_L409	active	core	major_recurring	none	guardian / biological father / planetary anchor	diamond_world	none	active	stable	The smile across the crowd. First physical Boojay encounter. | Fleeing the Cockatrice. Boojay diagnoses Pip's magic correctly. | Pocket sanctuary (Void-Fold). Week of golden light. Trauma bond seeds.	placement_by_book
wowas::neith_architect_mother	Neith	4	Crocodile Smile	B04			active	core	opposition	none	foundational architect villain / Rylos' mother	diamond_world	none	active	stable	The smile across the crowd. First physical Boojay encounter. | Fleeing the Cockatrice. Boojay diagnoses Pip's magic correctly. | Pocket sanctuary (Void-Fold). Week of golden light. Trauma bond seeds.	character_registry
wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	4	Crocodile Smile	B04	B04_L002	B04_R0078	active	core	party_core	none	protagonist / sonomancer / world-maker	diamond_world	none	active	stable	The smile across the crowd. First physical Boojay encounter. | Fleeing the Cockatrice. Boojay diagnoses Pip's magic correctly. | Pocket sanctuary (Void-Fold). Week of golden light. Trauma bond seeds.	placement_by_book
wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	4	Crocodile Smile	B04			introduced	core	opposition	none	primary antagonist / accountability arc / Xeth love interest	diamond_world	none	active	stable	The smile across the crowd. First physical Boojay encounter. | Fleeing the Cockatrice. Boojay diagnoses Pip's magic correctly. | Pocket sanctuary (Void-Fold). Week of golden light. Trauma bond seeds.	placement_by_book
wowas::ursula_cosmic_mother	Ursula	4	Crocodile Smile	B04			active	core	major_recurring	none	biological mother / cosmic anchor	diamond_world	none	active	stable	The smile across the crowd. First physical Boojay encounter. | Fleeing the Cockatrice. Boojay diagnoses Pip's magic correctly. | Pocket sanctuary (Void-Fold). Week of golden light. Trauma bond seeds.	character_registry
