monster_code	corrected_morph_description
wowas::oklahoma_county_mammal_01	Black bear whose tissue density has reorganized: the fat layer has moved to the surface of the skin, creating a smooth, almost ceramic exterior that rings when struck. The eyes are functional but opaque white. It navigates primarily by atmospheric pressure sensing — it knows where the barometric low is before the storm, and moves toward it.
wowas::oklahoma_county_mammal_02	Coyote whose coat reads as solid rust-red until it moves, at which point it fragments into distinct color-fields that the eye cannot hold as a single animal. In packs, the fragmentation overlaps in ways that make it genuinely difficult to count how many are present.
wowas::oklahoma_county_bird_01	Red-tailed hawk with secondary feathers that have broadened into true blade geometry — not sharp, but stiff and directional in ways that redirect wind into precise channels. In flight it is surrounded by small vortices visible as dust columns in dry conditions.
wowas::oklahoma_county_arachnid_01	Wolf spider whose web silk conducts low-frequency vibration rather than trapping it — the web is a seismic instrument. The spider feels footfalls through the web at forty-meter range. The web itself is invisible in all light conditions except the moment before a lightning strike.
wowas::summit_county_mammal_01	Bull elk with antlers that have grown at a locked downward angle, each tine terminating in a widened flare like a hand. The velvet does not shed — it remains and moves independently of wind. Contact with the velvet produces a cold that does not respond to external warmth; it comes from inside the tissue it touches.
wowas::summit_county_stone_01	Selenite plate formation with a crystalline alignment that acts as a parabolic acoustic focus — ambient sound at conversation level is gathered and concentrated at the focal point. The focal point is always exactly where a person would stand to read the formation. Anyone at the focal point hears every conversation within thirty meters as if it were whispered directly into their ear.
wowas::crawford_county_stone_01	Missouri geode with an outer calcite shell indistinguishable from standard formation but with an interior crystal facing in neon-pink geometric lamina arranged in overlapping feather-pattern plates. The plates are directional — the feather geometry faces outward from the cave wall, toward the cave center. Each geode is positioned so its facing aims at a specific point in the chamber. All the facing points converge on the same location.
wowas::crawford_county_amphibian_01	Hellbender with translucent skin through which the heartbeat is visible as a slow amber pulse. The skin glands emit infrasonic vibration in the 38–44 Hz range — audible only as a felt pressure in the sternum, not as sound. In still cave water, the animal glows faintly when its pulse aligns with an external frequency source.
wowas::lincoln_county_mammal_01	Harbor seal with a secondary eyelid that refracts light into ultraviolet range, allowing it to see wave patterns fifteen minutes before they surface. The haul-out pattern of the colony is a predictive map of the shoreline for the next hour. The seals are not psychic; they have simply learned to read pressure signatures the ocean always makes before it commits to a wave.
wowas::idaho_ada_mammal_01	Standard coyote morphology except for the forelimb dexterity: the front paws have developed a pinch grip sufficient to carry flat objects without creasing them. The coyote shows no interest in food or territory. It shows intense interest in laminated documents, which it selects by some criterion that has not been identified, carries without damage, and delivers to the nearest resting human.
