serial	scene_id	book_num	event_beat_id	character_link	creature_link	quest_link	location_link	world_link	layers	status
MAP-SCENE-bc497d603092	B01_C001	B01	EB-RW-00001	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		Pip descends through the hovering amethyst ocean dream until beauty curdles into dread, the yellow eyes open below, the smoky arm rises, the dream-body is smashed and reworked into twisted Mack-like scaffolding, and the whole image refills into a looping prophecy-cycle that traps him inside repetition. Event beat EB-RW-00001: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-62f6be4e297a	B01_C002	B01	EB-RW-00002	wowas::pip_indalwin_willowjayce		Pip wakes in his bedroom under the force of the dream, refuses to let the imagery dissolve, and creates a hovering animated statue that reenacts the full prophetic cycle while the room, his belongings, and his morning state reveal who he is beneath the fear. Event beat EB-RW-00002: a relationship obligation becomes actionable.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-f12808457382	B01_C003	B01	EB-RW-00003	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		Pip leaves his bedroom and enters Mack’s greater interior world, bringing the dream into open relation with his guardian, where comfort, dread, prophecy, and the first question of what must be done begin to braid together. Event beat EB-RW-00003: the ecology pushes back against the plan.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-6ef196e495f3	B01_C004	B01	EB-RW-00004	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		In Mack’s living interior refuge-space, Pip finishes laying out the dream and Mack receives it not as childish fear but as a structurally meaningful vision, forcing both of them to confront the possibility that the future has already begun pressing back against the present. Event beat EB-RW-00004: a world introduction reveals a cost.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-cad04d2afe7c	B01_C005	B01	EB-RW-00005	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		Mack explains that the future is not a single locked rail but a braid of possible lines, and Pip learns that if the prophecy is to be disrupted at all, it will require a new thread—something the vision did not account for and therefore could not yet bind. Event beat EB-RW-00005: the quest objective changes after evidence.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-c0129589e857	B01_C006	B01	EB-RW-00006	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce		Mack grants Pip access to knowledge that had previously been withheld, marking a rite-of-passage turn in which trust, danger, maturity, and necessity all converge at once. Event beat EB-RW-00006: a character must trade certainty for movement.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
MAP-SCENE-14e942ce729d	B01_C007	B01	EB-RW-00007	wowas::pip_indalwin_willowjayce		Pip moves through the known library first, letting the ordinary surfaces of study and memory frame what is about to change, so that the descent into the restricted levels feels like a real set-shift from safety into perilous maturity. Event beat EB-RW-00007: a creature signal interrupts the obvious solution.		spine-derived-world-anchor	characters|creatures|world_introduction	linked
MAP-SCENE-9fb729dca1d6	B01_C008	B01	EB-RW-00008	wowas::pip_indalwin_willowjayce		The entrance to the deeper archive reveals itself as an intentionally sealed descent, and Pip crosses into a physically and spiritually different set whose architecture alone warns that not all knowledge here was meant to remain gently handled. Event beat EB-RW-00008: the group records a consequence before continuing.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-faaea56a4fc4	B01_C009	B01	EB-RW-00009	wowas::pip_indalwin_willowjayce		In the deeper archive, Pip encounters knowledge-objects that radiate containment, collapse, failed doctrines, imprisoned powers, and dead-end truths, proving that some dangers in this saga attack through contact, persuasion, or pattern rather than through claw and fang. Event beat EB-RW-00009: choice pressure changes the route.		spine-derived-world-anchor	characters|world_introduction|quests	linked
MAP-SCENE-1c68527ae3fa	B01_C010	B01	EB-RW-00010	wowas::pip_indalwin_willowjayce		Pip follows the one absence in the room that feels more structurally significant than every louder danger around it, discovering that true anomaly in this world may present itself not by hunger or spectacle but by impossible restraint. Event beat EB-RW-00010: a relationship obligation becomes actionable.		spine-derived-world-anchor	characters|creatures|world_introduction|quests	linked
