serial	creature_id	species_name	biome	scene_link_rule	status
MAP-CREATURE-b63dd81c0109	WR00001		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-a867e00364be	WR00002		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-64ee6c568074	WR00003		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b21a9852ba5b	WR00004		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-56e55d847628	WR00005		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-62137e0cbce9	WR00006		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-17fe734d7d0a	WR00007		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-4a5f62846632	WR00008		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-e85d1813e4c1	WR00009		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-3093bb738d92	WR00010		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b516ecedfe66	WR00011		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-79aeb2ee5bde	WR00012		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-bfc14f394fed	WR00013		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-3ffab5a11003	WR00014		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-8f6f68d0328a	WR00015		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-325c8a055ceb	WR00016		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-00ed76ddd017	WR00017		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-2c41d53e8dbe	WR00018		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-8a162470b0a7	WR00019		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b25b8fd24751	WR00020		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-7be26290ef2b	WR00021		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-db341d9cbe95	WR00022		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-8d33a0891fb1	WR00023		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-3730f47b26d7	WR00024		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-510e1d871c48	WR00025		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f2e1210cdf18	WR00026		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-6f03a7382da9	WR00027		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-5348611f3e80	WR00028		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-6e6141348743	WR00029		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-c3e1f5db879e	WR00030		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-29ce06a11311	WR00031		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-cca18adc67af	WR00032		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-1b01dc369102	WR00033		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-af591109826e	WR00034		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-af8a87189cf9	WR00035		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-7352c5b1433a	WR00036		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-74bdd831a845	WR00037		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-1a09d088807c	WR00038		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-7289ee05b7d8	WR00039		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-7bc99f0aa6ac	WR00040		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f6fdf79f94ba	WR00041		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f15301f6e2c7	WR00042		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-df1c7a812143	WR00043		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-eac70816aec8	WR00044		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-7cb2d40d2b72	WR00045		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-3deb072f785b	WR00046		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-43b2f506f369	WR00047		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f487fc5de859	WR00048		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-d743ebacc735	WR00049		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-26d85caaf0f2	WR00050		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-ba37d1590891	WR00051		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-255e961fe5b9	WR00052		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-41356de985a7	WR00053		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-86def0abe694	WR00054		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-8b6cb2d30bd2	WR00055		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-ec94394777d4	WR00056		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-e3c7f9095d3e	WR00057		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-488ec7cc8c34	WR00058		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-017674952529	WR00059		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-881a28d05a0a	WR00060		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-6d4b29f24cf6	WR00061		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-89bf33aba8a3	WR00062		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-18d95bb75b4b	WR00063		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-a202d0fc414f	WR00064		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-d2156abc710a	WR00065		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-3755d31c5ae8	WR00066		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-4e3bb50e4cdf	WR00067		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-fd5e63bffc6d	WR00068		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f2dedabdd74d	WR00069		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-93948f583f69	WR00070		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-3c97629e2d80	WR00071		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-1bb99795d02c	WR00072		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-0417ef8dcffd	WR00073		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-cdf824da788e	WR00074		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-2dee2c00af69	WR00075		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-9e476500ae08	WR00076		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-6d236903ba8d	WR00077		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-41f9c1bc90f2	WR00078		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-534e39c67273	WR00079		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-ec1fe34dca73	WR00080		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-23b87fdcbce2	WR00081		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-0ac5fbf37588	WR00082		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-269929c922d9	WR00083		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b22615c8f1ed	WR00084		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-29e65b0a2b9f	WR00085		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-666cb5573a74	WR00086		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-bb33fa5dc399	WR00087		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-4ec69ddcbfdb	WR00088		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b060935981ce	WR00089		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f2dcc95103c6	WR00090		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-fa374567779e	WR00091		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-1019c8614172	WR00092		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f235ef56eefb	WR00093		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-15d408b67053	WR00094		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-471eb53a35dc	WR00095		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-c3d4ab23d30f	WR00096		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-ba0160481e24	WR00097		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f9c8f78554ba	WR00098		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-663f4350fbfb	WR00099		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-121b236b83e7	WR00100		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-26417e4c1796	WR00101		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b2d0796f398f	WR00102		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-841b8863a365	WR00103		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-feed4f9bba36	WR00104		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-031815c7bd2e	WR00105		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-09b6b226dbce	WR00106		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-3c15195d21f2	WR00107		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-a2e694eaeb4e	WR00108		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-a58ce271335a	WR00109		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-7c1a65607bc7	WR00110		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-8dfcfd5ff806	WR00111		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-4628c4967063	WR00112		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-d83df67b3bf1	WR00113		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-9be7b822437e	WR00114		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-696839dd409d	WR00115		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-9728deb8292d	WR00116		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-1c850fb5f58a	WR00117		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-c0c9688726e4	WR00118		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-97428f52ef0e	WR00119		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-a110cb3e2789	WR00120		diamond breakland	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-b1ac35f1f16f	WR00121		black-heart ridge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-3270b607b484	WR00122		ash river	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-96cc724f6fe9	WR00123		morrow market	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f92307f81f62	WR00124		root vale	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-39bb3e0af031	WR00125		ripper tunnel	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-f26dc2c03fbf	WR00126		cello field	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-07d9ce0a8253	WR00127		blue-light road	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-251ccc2885b0	WR00128		xeth glyph yard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-67e8a0184067	WR00129		stone fen	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-9c8ad02e973b	WR00130		pocket sanctuary	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-9c456f44aa23	WR00131		glass orchard	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-883b6fbb8201	WR00132		neith edge	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-8d4160a7e472	WR00133		willow-stone county	ecology_pressure_mode|creature_refs	available_for_scene_linkage
MAP-CREATURE-e2690fd1f8d4	WR00134		last open gate	ecology_pressure_mode|creature_refs	available_for_scene_linkage
