scene_id	character_group_count	character_assignment_count	character_group_assignments	capacity_mode
B01_C001	20	20	WC00001:CG-b3a511b50876:introduction|WC00034:CG-e973bdba8a6c:introduction|WC00067:CG-bb46cbe06008:introduction|WC00100:CG-739d77b52be1:introduction|WC00133:CG-6ed1f4b6ec43:introduction|WC00166:CG-2611a6579b9e:introduction|WC00199:CG-728031c8601c:introduction|WC00232:CG-1e5f645c5cfc:introduction|WC00265:CG-2e8ee2d26a8f:introduction|WC00298:CG-ed298b5a8417:introduction|WC00331:CG-4200c1585aa6:introduction|WC00364:CG-ff1bc92781e3:introduction|WC00397:CG-47ad0c416381:introduction|WC00430:CG-60d4454e5c5c:introduction|WC00463:CG-f178b2db44da:introduction|WC00496:CG-35d06b571241:introduction|WC00529:CG-e0cfe8a2dbaa:introduction|WC00562:CG-98eab09df23e:introduction|WC00595:CG-bc1a6eec10a0:introduction|WC00628:CG-aa026c55863d:introduction	shared_existing_scene
B01_C002	20	20	WC00001:CG-b3a511b50876:development|WC00034:CG-e973bdba8a6c:development|WC00067:CG-bb46cbe06008:development|WC00100:CG-739d77b52be1:development|WC00133:CG-6ed1f4b6ec43:development|WC00166:CG-2611a6579b9e:development|WC00199:CG-728031c8601c:development|WC00232:CG-1e5f645c5cfc:development|WC00265:CG-2e8ee2d26a8f:development|WC00298:CG-ed298b5a8417:development|WC00331:CG-4200c1585aa6:development|WC00364:CG-ff1bc92781e3:development|WC00397:CG-47ad0c416381:development|WC00430:CG-60d4454e5c5c:development|WC00463:CG-f178b2db44da:development|WC00496:CG-35d06b571241:development|WC00529:CG-e0cfe8a2dbaa:development|WC00562:CG-98eab09df23e:development|WC00595:CG-bc1a6eec10a0:development|WC00628:CG-aa026c55863d:development	shared_existing_scene
B01_C003	20	20	WC00001:CG-b3a511b50876:relationship_consequence|WC00034:CG-e973bdba8a6c:relationship_consequence|WC00067:CG-bb46cbe06008:relationship_consequence|WC00100:CG-739d77b52be1:relationship_consequence|WC00133:CG-6ed1f4b6ec43:relationship_consequence|WC00166:CG-2611a6579b9e:relationship_consequence|WC00199:CG-728031c8601c:relationship_consequence|WC00232:CG-1e5f645c5cfc:relationship_consequence|WC00265:CG-2e8ee2d26a8f:relationship_consequence|WC00298:CG-ed298b5a8417:relationship_consequence|WC00331:CG-4200c1585aa6:relationship_consequence|WC00364:CG-ff1bc92781e3:relationship_consequence|WC00397:CG-47ad0c416381:relationship_consequence|WC00430:CG-60d4454e5c5c:relationship_consequence|WC00463:CG-f178b2db44da:relationship_consequence|WC00496:CG-35d06b571241:relationship_consequence|WC00529:CG-e0cfe8a2dbaa:relationship_consequence|WC00562:CG-98eab09df23e:relationship_consequence|WC00595:CG-bc1a6eec10a0:relationship_consequence|WC00628:CG-aa026c55863d:relationship_consequence	shared_existing_scene
B01_C004	20	20	WC00001:CG-b3a511b50876:return_or_resolution|WC00034:CG-e973bdba8a6c:return_or_resolution|WC00067:CG-bb46cbe06008:return_or_resolution|WC00100:CG-739d77b52be1:return_or_resolution|WC00133:CG-6ed1f4b6ec43:return_or_resolution|WC00166:CG-2611a6579b9e:return_or_resolution|WC00199:CG-728031c8601c:return_or_resolution|WC00232:CG-1e5f645c5cfc:return_or_resolution|WC00265:CG-2e8ee2d26a8f:return_or_resolution|WC00298:CG-ed298b5a8417:return_or_resolution|WC00331:CG-4200c1585aa6:return_or_resolution|WC00364:CG-ff1bc92781e3:return_or_resolution|WC00397:CG-47ad0c416381:return_or_resolution|WC00430:CG-60d4454e5c5c:return_or_resolution|WC00463:CG-f178b2db44da:return_or_resolution|WC00496:CG-35d06b571241:return_or_resolution|WC00529:CG-e0cfe8a2dbaa:return_or_resolution|WC00562:CG-98eab09df23e:return_or_resolution|WC00595:CG-bc1a6eec10a0:return_or_resolution|WC00628:CG-aa026c55863d:return_or_resolution	shared_existing_scene
B01_C005	20	20	WC00661:CG-b3a511b50876:introduction|WC00694:CG-e973bdba8a6c:introduction|WC00727:CG-bb46cbe06008:introduction|WC00760:CG-739d77b52be1:introduction|WC00793:CG-6ed1f4b6ec43:introduction|WC00826:CG-2611a6579b9e:introduction|WC00859:CG-728031c8601c:introduction|WC00892:CG-1e5f645c5cfc:introduction|WC00925:CG-2e8ee2d26a8f:introduction|WC00958:CG-ed298b5a8417:introduction|WC00991:CG-4200c1585aa6:introduction|WC01024:CG-ff1bc92781e3:introduction|WC01057:CG-47ad0c416381:introduction|WC01090:CG-60d4454e5c5c:introduction|WC01123:CG-f178b2db44da:introduction|WC01156:CG-35d06b571241:introduction|WC01189:CG-e0cfe8a2dbaa:introduction|WC01222:CG-98eab09df23e:introduction|WC01255:CG-bc1a6eec10a0:introduction|WC01288:CG-aa026c55863d:introduction	shared_existing_scene
B01_C006	20	20	WC00661:CG-b3a511b50876:development|WC00694:CG-e973bdba8a6c:development|WC00727:CG-bb46cbe06008:development|WC00760:CG-739d77b52be1:development|WC00793:CG-6ed1f4b6ec43:development|WC00826:CG-2611a6579b9e:development|WC00859:CG-728031c8601c:development|WC00892:CG-1e5f645c5cfc:development|WC00925:CG-2e8ee2d26a8f:development|WC00958:CG-ed298b5a8417:development|WC00991:CG-4200c1585aa6:development|WC01024:CG-ff1bc92781e3:development|WC01057:CG-47ad0c416381:development|WC01090:CG-60d4454e5c5c:development|WC01123:CG-f178b2db44da:development|WC01156:CG-35d06b571241:development|WC01189:CG-e0cfe8a2dbaa:development|WC01222:CG-98eab09df23e:development|WC01255:CG-bc1a6eec10a0:development|WC01288:CG-aa026c55863d:development	shared_existing_scene
B01_C007	20	20	WC00661:CG-b3a511b50876:relationship_consequence|WC00694:CG-e973bdba8a6c:relationship_consequence|WC00727:CG-bb46cbe06008:relationship_consequence|WC00760:CG-739d77b52be1:relationship_consequence|WC00793:CG-6ed1f4b6ec43:relationship_consequence|WC00826:CG-2611a6579b9e:relationship_consequence|WC00859:CG-728031c8601c:relationship_consequence|WC00892:CG-1e5f645c5cfc:relationship_consequence|WC00925:CG-2e8ee2d26a8f:relationship_consequence|WC00958:CG-ed298b5a8417:relationship_consequence|WC00991:CG-4200c1585aa6:relationship_consequence|WC01024:CG-ff1bc92781e3:relationship_consequence|WC01057:CG-47ad0c416381:relationship_consequence|WC01090:CG-60d4454e5c5c:relationship_consequence|WC01123:CG-f178b2db44da:relationship_consequence|WC01156:CG-35d06b571241:relationship_consequence|WC01189:CG-e0cfe8a2dbaa:relationship_consequence|WC01222:CG-98eab09df23e:relationship_consequence|WC01255:CG-bc1a6eec10a0:relationship_consequence|WC01288:CG-aa026c55863d:relationship_consequence	shared_existing_scene
B01_C008	20	20	WC00661:CG-b3a511b50876:return_or_resolution|WC00694:CG-e973bdba8a6c:return_or_resolution|WC00727:CG-bb46cbe06008:return_or_resolution|WC00760:CG-739d77b52be1:return_or_resolution|WC00793:CG-6ed1f4b6ec43:return_or_resolution|WC00826:CG-2611a6579b9e:return_or_resolution|WC00859:CG-728031c8601c:return_or_resolution|WC00892:CG-1e5f645c5cfc:return_or_resolution|WC00925:CG-2e8ee2d26a8f:return_or_resolution|WC00958:CG-ed298b5a8417:return_or_resolution|WC00991:CG-4200c1585aa6:return_or_resolution|WC01024:CG-ff1bc92781e3:return_or_resolution|WC01057:CG-47ad0c416381:return_or_resolution|WC01090:CG-60d4454e5c5c:return_or_resolution|WC01123:CG-f178b2db44da:return_or_resolution|WC01156:CG-35d06b571241:return_or_resolution|WC01189:CG-e0cfe8a2dbaa:return_or_resolution|WC01222:CG-98eab09df23e:return_or_resolution|WC01255:CG-bc1a6eec10a0:return_or_resolution|WC01288:CG-aa026c55863d:return_or_resolution	shared_existing_scene
B01_C009	20	20	WC01321:CG-b3a511b50876:introduction|WC01354:CG-e973bdba8a6c:introduction|WC01387:CG-bb46cbe06008:introduction|WC01420:CG-739d77b52be1:introduction|WC01453:CG-6ed1f4b6ec43:introduction|WC01486:CG-2611a6579b9e:introduction|WC01519:CG-728031c8601c:introduction|WC01552:CG-1e5f645c5cfc:introduction|WC01585:CG-2e8ee2d26a8f:introduction|WC01618:CG-ed298b5a8417:introduction|WC01651:CG-4200c1585aa6:introduction|WC01684:CG-ff1bc92781e3:introduction|WC01717:CG-47ad0c416381:introduction|WC01750:CG-60d4454e5c5c:introduction|WC01783:CG-f178b2db44da:introduction|WC01816:CG-35d06b571241:introduction|WC01849:CG-e0cfe8a2dbaa:introduction|WC01882:CG-98eab09df23e:introduction|WC01915:CG-bc1a6eec10a0:introduction|WC01948:CG-aa026c55863d:introduction	shared_existing_scene
B01_C010	20	20	WC01321:CG-b3a511b50876:development|WC01354:CG-e973bdba8a6c:development|WC01387:CG-bb46cbe06008:development|WC01420:CG-739d77b52be1:development|WC01453:CG-6ed1f4b6ec43:development|WC01486:CG-2611a6579b9e:development|WC01519:CG-728031c8601c:development|WC01552:CG-1e5f645c5cfc:development|WC01585:CG-2e8ee2d26a8f:development|WC01618:CG-ed298b5a8417:development|WC01651:CG-4200c1585aa6:development|WC01684:CG-ff1bc92781e3:development|WC01717:CG-47ad0c416381:development|WC01750:CG-60d4454e5c5c:development|WC01783:CG-f178b2db44da:development|WC01816:CG-35d06b571241:development|WC01849:CG-e0cfe8a2dbaa:development|WC01882:CG-98eab09df23e:development|WC01915:CG-bc1a6eec10a0:development|WC01948:CG-aa026c55863d:development	shared_existing_scene
