patch_id	source_path	book_or_scope	absorption_status	active_target	canonical_action	notes
V6_B18_P900	wowas_scene_patch_v6.tsv	Book_18_Strange_Gravity	absorbed	canon/active/scene_index.tsv	keep_active_scene	Ocean Calls Back placed as active scene index row B18_P900.
V6_B18_P901	wowas_scene_patch_v6.tsv	Book_18_Strange_Gravity	absorbed	canon/active/scene_index.tsv	keep_active_scene	Stones in Pip's back placed as active scene index row B18_P901.
V6_B18_P902	wowas_scene_patch_v6.tsv	Book_18_Strange_Gravity	absorbed	canon/active/scene_index.tsv	keep_active_scene	Cave dream / Onondaga not yet named placed as active scene index row B18_P902.
V6_B18_P903	wowas_scene_patch_v6.tsv	Book_18_Strange_Gravity	absorbed	canon/active/scene_index.tsv	keep_active_scene	Idaho brochure proof / Missouri-Onondaga route placed as active scene index row B18_P903.
V6_B19_P900	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/active/scene_index.tsv	keep_active_scene	Back stones protrude into geodes en route to Onondaga placed as B19_P900.
V6_B19_P901	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/active/scene_index.tsv	keep_active_scene	Onondaga neon-pink dragon egg shell placed as B19_P901.
V6_B19_P902	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/active/scene_index.tsv	keep_active_scene	Three-day shell siege placed as B19_P902.
V6_B19_P903	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/active/scene_index.tsv	keep_active_scene	Gemstorm emergence placed as B19_P903.
V6_B19_P904	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/active/scene_index.tsv	keep_active_scene	Zombie Mack attack after emergence placed as B19_P904.
V6_B19_P905	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/active/scene_index.tsv	keep_active_scene	Southbound pursuit to Mississippi placed as B19_P905.
V6_B19_P906	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/active/scene_index.tsv	keep_active_scene	Rylos shadow glass event placed as B19_P906.
V6_B19_P907	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/active/scene_index.tsv	keep_active_scene	Pip roar / knee-breaking pain / Rylos love confirmation placed as B19_P907.
V6_B19_P908	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/active/scene_index.tsv	keep_active_scene	Rylos lemon-sun countershot placed as B19_P908.
V10_KYREAL_BENCHMARK	wowas_scene_patch_v10.tsv	B01-B03	absorbed	canon/active/character_profile_scores.tsv	keep_character_rule	Kyreal bipedal wolf sword-user school benchmark carried into active character score.
V10_DIAMOND_POWER_LAW	wowas_scene_patch_v10.tsv	B02-B03	pending_book_carrier_absorption	canon/active/scene_index.tsv	retain_until_book_update	Diamond charged by Mack + Pip + Rylos and animalization/human-expression portal transition still needs direct book carrier rows.
V10_VAEDRIC_SEED	wowas_scene_patch_v10.tsv	B08-B09	partially_absorbed	canon/active/character_profile_scores.tsv	retain_until_book_update	Vaedric/Cockatrice profile active; early seed scenes still need direct B08/B09 carrier rows.
V10_DRAWN_KYREAL_ROLZEN	wowas_scene_patch_v10.tsv	B10-B11	absorbed	canon/active/scene_index.tsv	keep_active_scene	Drawn/Rolzen rearrangement search and Kyreal death placed as active scene row B10_B11_KYREAL_DRAWN.
V10_VAEDRIC_KYREAL	wowas_scene_patch_v10.tsv	B13-B14	absorbed	canon/active/scene_index.tsv	keep_active_scene	Vaedric seeks Rylos and encounters Pip/Kyreal placed as B13_B14_VAEDRIC_KYREAL.
V10_URSULA_CORE_REVEAL	wowas_scene_patch_v10.tsv	B14-B17	pending_book_carrier_absorption	canon/active/character_profile_scores.tsv	retain_until_book_update	Ursula profile active; full core reveal needs direct B14-B17 scene placement.
V10_NEAR_REWIND	wowas_scene_patch_v10.tsv	B17-B18	pending_scene_index	canon/active/scene_index.tsv	retain_until_book_update	Near-rewind law still needs active scene row and carrier placement.
V10_RYLOS_SHADOW_PRECURSOR	wowas_scene_patch_v10.tsv	B18-B24	absorbed	canon/active/scene_index.tsv	keep_active_scene	Rylos moving shadow precursor placed as B18_P904 and later payoff row.
V10_RYLOS_MORTAL_WOUND	wowas_scene_patch_v10.tsv	B24	absorbed	canon/active/scene_index.tsv	keep_active_scene	Pip pulls Rylos from wrongful shadow-threshold and Cockatrice-ripper mortal wound placed as B24_RYLOS_MORTAL_WOUND.
V10_BLOOD_CELLO_JUDGMENT	wowas_scene_patch_v10.tsv	B25	absorbed	canon/active/scene_index.tsv	keep_active_scene	Blood Cello judgment matrix placed as B25_BLOOD_CELLO_JUDGMENT.
V10_ANGEL_AFTERMATH	wowas_scene_patch_v10.tsv	B25	absorbed	canon/active/scene_index.tsv	keep_active_scene	Angel aftermath alignment weapon law placed as B25_ANGEL_AFTER.
V11_PIP_DIALOGUE	wowas_scene_patch_v11.tsv	global	absorbed	canon/active/canon_laws.tsv	create_or_update_needed	Pip dialogue pressure-state law must be active global law.
V11_ROLZEN_DISCOVERY	wowas_scene_patch_v11.tsv	Book_17_Black_Heart_Scar	pending_book_carrier_absorption	canon/active/scene_index.tsv	retain_until_book_update	Pip's 'that's what it looks like' moment still needs active Book 17 placement.
V11_DAISY_MAJISKII_AFTER_ESCAPE	wowas_scene_patch_v11.tsv	Book_17_Black_Heart_Scar	pending_book_carrier_absorption	canon/active/scene_index.tsv	retain_until_book_update	Post-clearance Daisy May/Majiskii hug and Pip talkative burst needs active placement.
V11_EGG_ROOM_LINE	wowas_scene_patch_v11.tsv	Book_17_Black_Heart_Scar	pending_book_carrier_absorption	canon/active/scene_index.tsv	retain_until_book_update	Rolzen first line to Majiskii must be placed.
V11_ESCAPE_GAUNTLET	wowas_scene_patch_v11.tsv	Book_17_Black_Heart_Scar	pending_book_carrier_absorption	canon/active/scene_index.tsv	retain_until_book_update	Dogs route law and escape gauntlet must be placed in Book 17.
V11_ROLZEN_BACKSTORY	wowas_scene_patch_v11.tsv	Book_17_Black_Heart_Scar	pending_book_carrier_absorption	canon/active/character_profile_scores.tsv	retain_until_book_update	Rolzen gymnast/performer/New York/zombie Mack lure backstory active in profile, still needs prose placement.
REVIEW_CHUNK_001	canon/review/wowas_profile_scores_chunk_001.tsv	review	absorbed	canon/active/character_profile_scores.tsv|canon/active/creature_profile_scores.tsv	delete_redundant_review_file	Contents condensed into active scoring files.
REVIEW_CHUNK_002	canon/review/wowas_profile_scores_chunk_002.tsv	review	absorbed	canon/active/character_profile_scores.tsv|canon/active/creature_profile_scores.tsv	delete_redundant_review_file	Contents condensed into active scoring files.
REVIEW_DIRECT_BATCH_001	canon/review/wowas_direct_review_apply_batch_001.tsv	review	absorbed	canon/active/scene_index.tsv|canon/active/patch_absorption.tsv|canon/active/character_profile_scores.tsv|canon/active/creature_profile_scores.tsv	delete_redundant_review_file	Actionable content condensed into active files.
