encounter_code	story_corridor	phase_window	state	county_anchor	anchor_city	encounter_title	involved_species_codes	primary_threat_tier	threat_signature	adventure_signature	why_edge_of_seat	scene_insertion_note
wowas::oklahoma_county_encounter_01	westward_solution_run	pre-capture westward solution run	Oklahoma	Oklahoma County	Oklahoma City	Storm-Drain Breach	wowas::oklahoma_county_microbe_01; wowas::oklahoma_county_arachnid_02; wowas::oklahoma_county_amphibian_01; wowas::oklahoma_county_mammal_02	severe	A hunting pack uses urban runoff, viaduct shadow, and sound bounce to force the party off the safe line.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Oklahoma County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / urban thunder-glass origin pressure / later return corridor. Keep survival uncertain until the final exchange.
wowas::oklahoma_county_encounter_02	westward_solution_run	pre-capture westward solution run	Oklahoma	Oklahoma County	Oklahoma City	Silo Ghost Run	wowas::oklahoma_county_arachnid_02; wowas::oklahoma_county_insect_02	severe	A roadside refuge turns into a multi-angle assault when hidden species wake under wind pressure.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Oklahoma County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / urban thunder-glass origin pressure / later return corridor. Keep survival uncertain until the final exchange.
wowas::oklahoma_county_encounter_03	westward_solution_run	pre-capture westward solution run	Oklahoma	Oklahoma County	Oklahoma City	Rail-Cut Pursuit	wowas::oklahoma_county_arachnid_02; wowas::oklahoma_county_flora_01; wowas::oklahoma_county_insect_02	severe	The road narrows to one survivable path and the monsters know it before the party does.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Oklahoma County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / urban thunder-glass origin pressure / later return corridor. Keep survival uncertain until the final exchange.
wowas::oklahoma_county_encounter_04	westward_solution_run	pre-capture westward solution run	Oklahoma	Oklahoma County	Oklahoma City	Underpass Choir	wowas::oklahoma_county_insect_02; wowas::oklahoma_county_bird_02; wowas::oklahoma_county_reptile_01	high	Sound-sensitive species turn the overpass into an arena where timing matters more than raw power.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Oklahoma County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / urban thunder-glass origin pressure / later return corridor. Keep survival uncertain until the final exchange.
wowas::oklahoma_county_encounter_05	westward_solution_run	pre-capture westward solution run	Oklahoma	Oklahoma County	Oklahoma City	Culvert Rescue	wowas::oklahoma_county_microbe_01; wowas::oklahoma_county_arachnid_02	severe	A trapped civilian cluster can only be reached by crossing active nests and contaminated footing.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Oklahoma County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / urban thunder-glass origin pressure / later return corridor. Keep survival uncertain until the final exchange.
wowas::oklahoma_county_encounter_06	westward_solution_run	pre-capture westward solution run	Oklahoma	Oklahoma County	Oklahoma City	Stormcell Night Push	wowas::oklahoma_county_mammal_01; wowas::oklahoma_county_fungus_01	severe	Lightning, standing water, and glassed asphalt let multiple species chain their attacks.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Oklahoma County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for major biome / urban thunder-glass origin pressure / later return corridor. Keep survival uncertain until the final exchange.
wowas::canadian_county_encounter_01	westward_solution_run	pre-capture westward solution run	Oklahoma	Canadian County	El Reno	Storm-Drain Breach	wowas::canadian_county_arthropod_01; wowas::canadian_county_flora_02	severe	A hunting pack uses urban runoff, viaduct shadow, and sound bounce to force the party off the safe line.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Canadian County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for prairie transition county west of OKC / wind and silo pressure. Keep survival uncertain until the final exchange.
wowas::canadian_county_encounter_02	westward_solution_run	pre-capture westward solution run	Oklahoma	Canadian County	El Reno	Silo Ghost Run	wowas::canadian_county_arachnid_01; wowas::canadian_county_microbe_01	severe	A roadside refuge turns into a multi-angle assault when hidden species wake under wind pressure.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Canadian County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for prairie transition county west of OKC / wind and silo pressure. Keep survival uncertain until the final exchange.
wowas::canadian_county_encounter_03	westward_solution_run	pre-capture westward solution run	Oklahoma	Canadian County	El Reno	Rail-Cut Pursuit	wowas::canadian_county_flora_01; wowas::canadian_county_reptile_01; wowas::canadian_county_microbe_01	severe	The road narrows to one survivable path and the monsters know it before the party does.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Canadian County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for prairie transition county west of OKC / wind and silo pressure. Keep survival uncertain until the final exchange.
wowas::canadian_county_encounter_04	westward_solution_run	pre-capture westward solution run	Oklahoma	Canadian County	El Reno	Underpass Choir	wowas::canadian_county_bird_01; wowas::canadian_county_fungus_01	moderate	Sound-sensitive species turn the overpass into an arena where timing matters more than raw power.	This encounter should force movement, route choice, or moral compromise rather than functioning as a static fight scene in Canadian County.	The monsters pressure terrain, visibility, timing, and group cohesion at the same time.	Use this as a hard encounter template for prairie transition county west of OKC / wind and silo pressure. Keep survival uncertain until the final exchange.
