=== Braxon branches ===
2026-08-17T05:17:41+00:00
origin/Maine\t3108b021d6eb6ebc6b74b5c02c63b3b7e67248d0\t2026-08-16 19:46:50 -0500\tNSQ: add exhaustive sectioned source-to-NSQ ingestion
origin/audit/diversity-transmedia-2026-08-09\t7804fcdccba12f814941a80cd1e9c0c578d4f004\t2026-05-09 05:43:11 -0500\tMerge pull request #3 from adriak85/phone/citadel699-route-gates-20260508_165115
origin/braxon-current-preserve-20260507-172011\tced6af253888bf194375692de86d0678dc70d847\t2026-05-07 19:31:54 -0500\tstage Android runtime gap surfaces
origin/braxon-dirty-preserve-20260507-172531\t92257c89b7bf034f2156f202b10ce8856ae0908e\t2026-05-07 17:25:32 -0500\tpreserve Braxon_Dirty internal state
origin/braxon-final-cohesive-stack-20260816\t3108b021d6eb6ebc6b74b5c02c63b3b7e67248d0\t2026-08-16 19:46:50 -0500\tNSQ: add exhaustive sectioned source-to-NSQ ingestion
origin/codex/seed-citadel-completion\t2253f590dabee6de9f3aa20dbb04e5e041ae2863\t2026-08-16 18:04:47 -0500\tdocs: add cross-language DAX-FULL intent extraction ledger
origin/main\t3108b021d6eb6ebc6b74b5c02c63b3b7e67248d0\t2026-08-16 19:46:50 -0500\tNSQ: add exhaustive sectioned source-to-NSQ ingestion
origin/nsq-cohesion-rebuild-20260816\tced6af253888bf194375692de86d0678dc70d847\t2026-05-07 19:31:54 -0500\tstage Android runtime gap surfaces
origin/nsq-cohesive-rebuild-20260816\te35e69729f4035aee59895345461cc0d2fd66c6a\t2026-08-16 19:40:42 -0500\tnsq: consolidate entire repository into one intent-addressed system
origin/nsq-final-reconstruction-20260816\t373fbba95919e618de0daa504f2ed9dda13f3905\t2026-08-16 19:39:30 -0500\tCreate canonical NSQ IR plane
origin/phone/citadel699-route-gates-20260508_165115\t06f7c9abe018aa5a14df4619fb4e0f64473773f0\t2026-05-09 02:19:41 -0500\tworking on eiring models
origin/reconstruction-final-20260816-worker-test\tb3741fabdac4c10f0ad7848c4e58594a6b58dac5\t2026-08-16 21:06:12 -0500\tAdd end-to-end NSQ/Braxon validation workflow
origin/reconstruction-final-20260816\t56abe679e12b75badd7bd9a63c5d06353c9cdda8\t2026-08-16 21:53:37 -0500\tdispatch full workspace implementation audit
origin/reconstruction\t4ad8793de373c6935bcd6b3ae0e8c95f51ad8086\t2026-08-17 05:11:57 +0000\tAdd reconstruction audit report
origin/triage\tb5cbe4f01ae2f48d7467652d20d7a83278d2f379\t2026-05-12 21:18:17 -0500\tInitial triage commit
origin/worker-execution-2\tb3741fabdac4c10f0ad7848c4e58594a6b58dac5\t2026-08-16 21:06:12 -0500\tAdd end-to-end NSQ/Braxon validation workflow
origin/worker-execution-3\tb3741fabdac4c10f0ad7848c4e58594a6b58dac5\t2026-08-16 21:06:12 -0500\tAdd end-to-end NSQ/Braxon validation workflow
