corridor_order	story_corridor	state	county	anchor_city	role_in_story	landscape	myth_register	microbiology_register	pressure_theme	zone_fit	monster_species_count
1	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	major biome / urban thunder-glass origin pressure / later return corridor	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	red-river devil / coyote sermon / prairie ghost-light	actinomycete rain-bloom / gut mutualism / asphalt biofilm	working-class endurance, armored love, thunderous aftermath force	zone::okc_return	20
2	westward_solution_run	Oklahoma	Canadian County	El Reno	prairie transition county west of OKC / wind and silo pressure	wheat flats, torn silos, rail sidings, tornado scars	dust saint / wheat angel / rail widow	grain mold drift / spore storms / root-fungal barter	stubborn practical care, irreverent survival humor, kinetic string weather	zone::prairie_transition	20
3	southbound_return_to_okc	Oklahoma	Cleveland County	Norman	southern return buffer before Oklahoma City concentration	red creekbeds, campus bones, mesquite lots, storm-gnawed suburbs	weather child / red-handed coyote / pond saint	warm-water algae / road-ditch biofilm / mold-fog in brick	chaotic loyalty, fiery protection, sincere emotional uplift	zone::okc_return	20
4	rocky_mountain_abduction_band	Colorado	Larimer County	Front Range	front-range approach before higher abduction territory	foothill granite, lodgepole stands, wind-carved passes	mountain lion omen / dead-road rider / thunderbird fracture	pine rust / lichen dust / iron bacteria in alpine seep	wilderness precision, relentless arrival, open-hearted lift against dread	zone::rocky_front	20
5	rocky_mountain_abduction_band	Colorado	Summit County	High Rockies	rippers first appear and abduct Pip	high snowfields, scree bowls, glacial lakes, lift towers gone dead	jackalope war-ghost / avalanche mouth / sky burial crow	snow algae / cryophilic biofilm / mineral-hot spring mats	explosive heat, dream-predation, percussive string catastrophe	zone::rocky_abduction	20
6	oregon_intuition_coast_return	Oregon	Polk County	Independence	major biome / pursuit target / valley refuge and cultivated wonder pressure	river bottoms, orchards, oak savanna, wet pasture, old campus bones	willamette river wife / orchard haint / blue dog warning	mycorrhizal root web / cider yeast bloom / pond biofilm	restless curiosity, music-born survival, impossible soul-broadcast grace	zone::independence_valley	20
7	oregon_intuition_coast_return	Oregon	Lincoln County	Oregon Coast	ocean-touch county where Pip is ripped into deep water	black surf, agate beaches, fog pines, slick basalt, tide caves	sea-witch warning / whale-road dead / drowned cathedral	salt biofilm / kelp rot bloom / luminous brine threads	oceanic lure, gothic split-beauty, razor-clean transition force	zone::oregon_coast_return	20
8	brochure_trace_inland	Idaho	Ada County	Boise Corridor	ruined pit-stop brochure discovery zone proving the cave image	interstate cutbanks, sage lots, dry river edge, suburban ruin pockets	jackrabbit preacher / road siren / brochure ghost	dust extremophiles / alkali crust films / fuel-slick bacterial mats	pattern-recognition, earnest appetite for life, blunt-force drive	zone::brochure_trace	20
9	brochure_trace_inland	Idaho	Bannock County	High Desert / Lava Corridor	Idaho continuation county for intuition and highway ruin passage	lava plains, drygrass ridges, rail spines, culvert camps	horned rabbit warning / fire-snake under basalt / freight phantom	cryptobiotic crust / lava-tube slime / iron-chelating bacteria	grit, metamorphosis logic, violent string propulsion	zone::idaho_lava	20
10	brochure_trace_inland	Idaho	Bonneville County	Snake River / Falls Corridor	Idaho proof-to-pursuit handoff county	cold river cuts, basalt falls, reed beds, shuttered overlooks	water panther / sainted trout / canyon choir	cold-current biofilm / mineral seeps / sulfur edge mats	music as belonging, body-forward sincerity, open-throated country rise	zone::idaho_handoff	20
11	onondaga_shell_arc	Missouri	Phelps County	Rolla	major biome / cave-state entry and institutional waypoint	karst ridges, sinkholes, oak-hickory forest, highway cuts, quarry scars	ozark cave haint / hill mother / lantern wolf	cave biofilm / guano bacteria / calcite slime threads	underground precision, bright disarming intelligence, electric broadcast	zone::rolla_entry	20
12	onondaga_shell_arc	Missouri	Crawford County	Onondaga Cave State Park	cave dream realization / dragon-shell eruption / siege corridor	stone lily-pad caverns, giant chambers, spring water, moonmilk walls, dark river veins	under-river dragon / cave broadcaster / horned saint of light	moonmilk bacterium / cave-lake bloom / fungal drip logic	gothic beauty, cutting transitions, crushing symphonic force	zone::onondaga_threshold	20
13	mississippi_retreat	Mississippi	Hinds County	Jackson / Retreat Basin	southbound retreat, crater memory, and shadow-glass pressure	river mud flats, half-sunken roads, kudzu wreckage, levee cuts, concrete basins	sun-cut underworld / yellow ghost fish / graveyard trumpet	sugar-film bacteria / floodplain slime / algae blackwater mats	survival after shock, witness pressure, yellow-light awakening	zone::retreat_basin	20
14	mississippi_retreat	Mississippi	Warren County	Vicksburg / Crater Reach	crater-return lane and visible aftermath basin	bluff roads, cratered earth, river fog, artillery scars, drowned hardwoods	glass ferryman / hill-ghost gunner / swamp angel	silt fungi / anaerobic bloom / iron-red river bacteria	shadow ordeal, forced self-recognition, grim persistence	zone::crater_return	20
15	east_coast_harvest_front	New Jersey	Atlantic County	Atlantic City / Marsh Front	one of the early visible Neith-harvest fronts	boardwalk rot, salt marsh channels, casino skeletons, stormwater tunnels	boardwalk widow / sea-devil preacher / lamp-eyed gull	brine mold / tunnel biofilm / salt-rim extremophiles	glamour stripped to hunger, false safety collapsing under pressure	zone::harvest_front	20
16	east_coast_harvest_front	New York	Suffolk County	Long Island / Outer Harvest Front	outer east-coast harvest corridor and refugee memory source	dune grass, snapped suburb lines, ferry slips, pine barrens ash	drowned commuter saint / surf revenant / pine barrens devil	brackish film / ferry rust bacteria / marsh yeasts	mass loss, refugee memory, thin beauty under extermination pressure	zone::harvest_front	19
