entity_code	common_name	neo_scientific_name	base_american_anchor	anchor_scientific_name	life_domain	american_range_or_anchor	wowas_zone_fit	myth_register	microbiology_register	source_media_register_1	source_media_register_2	source_media_register_3	source_trait_stack	pressure_split	morph_description	behavior_in_world	ecological_function	danger_to_humans	quest_or_scene_use	generator_notes	county_anchor	story_corridor_phase
wowas::mammal_001	Dust-moth American Black Bear	Ursus ferrosonus	American black bear	Ursus americanus	mammal	Heartland / Deepwood	zone::ashfields	jackalope-register	mycorrhizal exchange	Tasslehoff Burrfoot	Ares	Apocalyptica	curiosity ignoring the danger boundary; war-beauty and grievance; percussive cello ferocity	fear_by_stripping	American American black bear reimagined through Tasslehoff Burrfoot, Ares, and Apocalyptica; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	mid-to-large fauna pressure anchor	high; contact usually extracts something vital	Use in The Ashfields to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::mammal_002	Choir-hunger Coyote	Canis umbraecallis	coyote	Canis latrans	mammal	Outer Territories / Thornridge	zone::still_water_basin	thunderbird-register	slime mold logic	Jason Stackhouse	Professor McGonagall	Metallica	earnest body-forward warmth; identity-through-transformation; storm-weight aggression	unstable_mixed_field	American coyote reimagined through Jason Stackhouse, Professor McGonagall, and Metallica; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	mid-to-large fauna pressure anchor	variable; safe to approach only when the surrounding field reads coherent	Use in The Still Water Basin to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::mammal_003	Furnace-jaw White-Tailed Deer	Odocoileus sylvata	white-tailed deer	Odocoileus virginianus	mammal	Heartland / Ashfields	zone::ironmarsh	mothman-register	gut mutualism	Charmy	Freddy Krueger	Sara Evans	emotional volatility with nourishment drive; dream-penetration and intimate threat; open-hearted country lift	wonder_from_wreckage	American white-tailed deer reimagined through Charmy, Freddy Krueger, and Sara Evans; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	mid-to-large fauna pressure anchor	moderate if cornered; high only when its repair pattern is interrupted	Use in The Ironmarsh to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::mammal_004	Hollow-wing Gray Wolf	Canis threnodia	gray wolf	Canis lupus	mammal	Outer Territories	zone::thornridge	coyote-trickster	none	Natsu Dragneel	Jason Voorhees	Michael Jackson	explosive protectiveness and heat-hunger; relentless arrival; precision broadcast and impossible rhythm	fear_by_stripping	American gray wolf reimagined through Natsu Dragneel, Jason Voorhees, and Michael Jackson; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	mid-to-large fauna pressure anchor	high; contact usually extracts something vital	Use in The Thornridge to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::mammal_005	Thorn-coil Mountain Lion	Puma quoralis	mountain lion	Puma concolor	mammal	Thornridge / Outer Territories	zone::deepwood_remnant	dust-bowl ghost-light	mycorrhizal exchange	Noelle Silva	Bad Santa	Lacuna Coil	pride under terror becoming force; profane tenderness under rot; gothic split-voice atmosphere	unstable_mixed_field	American mountain lion reimagined through Noelle Silva, Bad Santa, and Lacuna Coil; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	mid-to-large fauna pressure anchor	variable; safe to approach only when the surrounding field reads coherent	Use in The Deepwood Remnant to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::mammal_006	Lantern-antler Raccoon	Procyon mimetica	raccoon	Procyon lotor	mammal	Heartland / Basin	zone::saltflat_crossing	railroad phantom	slime mold logic	Drizzt Do'Urden	Elle Woods	American jackalope	precision exile ethics; disarming genius; false-rabbit trickster uncanniness	wonder_from_wreckage	American raccoon reimagined through Drizzt Do'Urden, Elle Woods, and American jackalope; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	mid-to-large fauna pressure anchor	moderate if cornered; high only when its repair pattern is interrupted	Use in The Saltflat Crossing to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::mammal_007	Storm-veil Virginia Opossum	Didelphis arcovita	Virginia opossum	Didelphis virginiana	mammal	Heartland / Ashfields	zone::outer_territories	blue-dog warning	gut mutualism	Gromph Baenre	Lindsey Stirling	Thunderbird register	ruthless hidden calculation; kinetic string-line motion; storm-borne sacred scale	fear_by_stripping	American Virginia opossum reimagined through Gromph Baenre, Lindsey Stirling, and Thunderbird register; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	mid-to-large fauna pressure anchor	high; contact usually extracts something vital	Use in The Outer Territories to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::mammal_008	Rib-harp Bobcat	Lynx corticata	bobcat	Lynx rufus	mammal	Deepwood / Thornridge	zone::heartland	hodag-register	none	Ares	Apocalyptica	Mothman register	war-beauty and grievance; percussive cello ferocity; warning apparition pressure	unstable_mixed_field	American bobcat reimagined through Ares, Apocalyptica, and Mothman register; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	creates attraction and dread together; its presence can rescue one layer of the world while endangering another	mid-to-large fauna pressure anchor	variable; safe to approach only when the surrounding field reads coherent	Use in The Heartland to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::mammal_009	Grain-web American Bison	Bison fulgora	American bison	Bison bison	mammal	Ashfields / Saltflat	zone::ashfields	none	mycorrhizal exchange	Professor McGonagall	Metallica	Hodag register	identity-through-transformation; storm-weight aggression; ridged forest menace	wonder_from_wreckage	American American bison reimagined through Professor McGonagall, Metallica, and Hodag register; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	builds livable beauty from damage, leaves repair-signs or navigable patterns in its wake	mid-to-large fauna pressure anchor	moderate if cornered; high only when its repair pattern is interrupted	Use in The Ashfields to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
wowas::mammal_010	Mourn-drift Beaver	Castor mirabilis	beaver	Castor canadensis	mammal	Still Water Basin / Ironmarsh	zone::still_water_basin	jackalope-register	slime mold logic	Freddy Krueger	Sara Evans	Coyote-trickster register	dream-penetration and intimate threat; open-hearted country lift; clever hunger and misdirection	fear_by_stripping	American beaver reimagined through Freddy Krueger, Sara Evans, and Coyote-trickster register; its body keeps the native silhouette but carries altered tissue, display, or behavior that makes it read as WoWaS-native rather than imported.	removes shelter, warmth, memory, or surface coherence wherever it feeds or nests	mid-to-large fauna pressure anchor	high; contact usually extracts something vital	Use in The Still Water Basin to make the environment feel inhabited by consequence: tracking, omen, obstacle, resource, or moral mirror for Pip's party.	Keep American naming forward in prose. Source-media names remain generator-side only; never surface them in final narrative description.		
