mg: mg
al: mono
ts: moreutils
lz: mtools
mu: mu
mr: myrepos
sc: n-t-roff-sc
ne: ne
ex: neovim,neovim-nightly
nc: netcat-openbsd
nc: nmap
pp: nss-utils
nu: nushell
nx: nxengine
ol: ol
iv: openimageio
o: orbiton
7z: p7zip
gp: pari
pb: pb
ps: procps
pd: proot-distro
pv: pv
q: q-dns-client
r2: radare2
rc: rc
ci: rcs
rg: ripgrep
rq: rq
ri: ruby-ri
sv: runit
sd: sd
ag: silversearcher-ag
sl: sl
st: st
sr: surfraw
pt: tcllib
am: termux-am
df: termux-tools
ht: texlive-bin
sn: tin-summer
tf: tinyfugue
ug: ugrep
up: up
ul: util-linux
cu: uucp
uv: uv
ex: vim,vim-gtk
vt: virustotal-cli
vi: vis
wg: wireguard-tools
xh: xh
X: xorg-server
xz: xz-utils
ya: yazi
yq: yq
z3: z3
zk: zk
