merge_serial	book_num	dropped_scene_id	event_beat_id	beat_kind	character_links	relationship_links	anchor_scene_id	merge_reason	source_trace
CMP-BEAT-b900a86981ae	1	B01_M021	EB-00086	creature_signal	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce	15300	B01_C002	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:23|event_beat:EB-00086
CMP-BEAT-3a74e960165a	1	B01_M022	EB-00087	consequence_record	wowas::rylos_vayne_johnson | wowas::mack_willow_father	15300	B01_C003	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:24|event_beat:EB-00087
CMP-BEAT-ce1c32dd5f06	1	B01_M023	EB-00088	choice_pressure	wowas::xethrolund_papi | wowas::rylos_vayne_johnson	15300	B01_C004	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:25|event_beat:EB-00088
CMP-BEAT-beeeb39cecb6	1	B01_M024	EB-00089	relationship_obligation	wowas::xethrolund_papi | wowas::pip_indalwin_willowjayce	15300	B01_C005	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:26|event_beat:EB-00089
CMP-BEAT-0207abe195a0	1	B01_M025	EB-00090	ecology_response	wowas::xethrolund_papi | wowas::mack_willow_father | wowas::pip_indalwin_willowjayce	15300	B01_C006	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:27|event_beat:EB-00090
CMP-BEAT-12774d6580e8	1	B01_M026	EB-00091	world_cost	wowas::rylos_vayne_johnson | wowas::mack_willow_father	15300	B01_C007	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:28|event_beat:EB-00091
CMP-BEAT-32f3fc14ab9c	1	B01_M027	EB-00092	quest_revision	wowas::xethrolund_papi | wowas::rylos_vayne_johnson	15300	B01_C008	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:29|event_beat:EB-00092
CMP-BEAT-c5f3c7492a29	1	B01_M028	EB-00093	certainty_trade	wowas::xethrolund_papi | wowas::pip_indalwin_willowjayce	15300	B01_C009	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:30|event_beat:EB-00093
CMP-BEAT-450ac36dcfd2	1	B01_M029	EB-00094	creature_signal	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce	15300	B01_C010	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:31|event_beat:EB-00094
CMP-BEAT-faab93aedd91	1	B01_M030	EB-00095	consequence_record	wowas::rylos_vayne_johnson | wowas::mack_willow_father	15300	B01_C011	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:32|event_beat:EB-00095
CMP-BEAT-289fea4f2c0c	1	B01_M031	EB-00096	choice_pressure	wowas::xethrolund_papi | wowas::rylos_vayne_johnson	15300	B01_C012	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:33|event_beat:EB-00096
CMP-BEAT-b65663160053	1	B01_M052	EB-00117	certainty_trade	wowas::xethrolund_papi | wowas::rylos_vayne_johnson | wowas::pip_indalwin_willowjayce	15300	B01_C013	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:54|event_beat:EB-00117
CMP-BEAT-2b4965aed845	1	B01_M053	EB-00118	creature_signal	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce	15300	B01_C014	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:55|event_beat:EB-00118
CMP-BEAT-d90c5d3e54d5	1	B01_M054	EB-00119	consequence_record	wowas::rylos_vayne_johnson | wowas::mack_willow_father	15300	B01_C015	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:56|event_beat:EB-00119
CMP-BEAT-329df2653190	1	B01_M055	EB-00120	choice_pressure	wowas::xethrolund_papi | wowas::rylos_vayne_johnson	15300	B01_C016	generated beat merged into existing scene anchor; no scene target inflation	Arc_01_Books_01_03_blob.txt:57|event_beat:EB-00120
