canonical_id	canonical_name	source_reference	abstract_mechanisms	originality_rule	disallowed_copying	realization_use
wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)	Stitch | Tasslehoff | Barefoot | Asta | Yuno | Gray Fullbuster | Lucy Heartfilia | Drizzt | Menolly | Hermione Granger | F'nor | Erza Scarlet	embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::mack_willow_father	Mack	Treebeard | Groot | Yggdrasil	protective_care | embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::xethrolund_papi	Xethrolund	Giles | Remus Lupin | Librarian/Pratchett	moral_pressure | precision_memory | relationship_ambivalence	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::ursula_cosmic_mother	Ursula	Galadriel | Lady of the Lake | Yennefer | Flemeth	threshold_wonder | embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::neith_architect_mother	Neith	Cersei Lannister | White Queen | Morgan le Fay	transformation_pressure | embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::rolzen_warrior_anchor	Rolzen	Jason Stackhouse | Charmy | Natsu | Noelle Silva	protective_care | relationship_ambivalence	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)	Ares (VERY VERY primary) | Queen of the Damned | Uncle Jesse | Professor McGonagall (transmutation) | Yuno (secondary)	moral_pressure | transformation_pressure | relationship_ambivalence	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::dervish_cosmic_entity	Dervish		threshold_wonder | embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::daisy_may_great_dane	Daisy May		moral_pressure	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::majiskii_great_dane	Majiskii		unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::solvaenkyr_faithfixer	Solvaenkyr	Giles inverse | Susan Pevensie inverse	protective_care | threshold_wonder | embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::wrenath_velthane_stillwater	Wrenath Vel'Thane Still-Water	Sam Gamgee | Bilbo Baggins | Maester Luwin	precision_memory | embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::corveth_ashkoral_darkcurrent	Corveth Ash'Koral Dark-Current	Boromir | Jaime Lannister inverse | Nick Fury	strategic_conflict	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::sorra_marsoLen_thorngrace	Sorra Marso'len Thorn-Grace	Madam Pomfrey | Dr. Crusher | Hawkeye Pierce	protective_care	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::oswyn	Oswyn	Sam Gamgee | Neville Longbottom	voice_restraint	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::thorn_ashkoral	Thorn Ash'Koral	Banquo's ghost | Fred Weasley inverse	unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::kyrel_onrylder_ironsong	Kyrel On'Rylder Iron-Song	Neville Longbottom | Ginny Weasley	unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::daevyn_onrylder_ironsong	Daevyn On'Rylder Iron-Song	Hawkeye Pierce young | Bones McCoy	unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::elven_onrylder_stonehayne	Elven On'Rylder Stone-Hayne		protective_care	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::verath_onrylder_ashcinder	Verath On'Rylder Ash-Cinder		unclassified_source_mechanism	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::calla_onrylder_willowjayce	Calla On'Rylder Willow-Jayce	Minerva McGonagall | Olenna Tyrell	precision_memory	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
wowas::loreth_velthane_darkcurrent	Loreth Vel'Thane Dark-Current		embodied_place	Use mechanisms as constraints on pressure, voice, relationship, and choice; invent new names, events, imagery, and dialogue.	Do not reproduce source character identity, plot, scene order, dialogue, distinctive phrasing, or protected setting expression.	Select a subset by book state, scene pressure, relationship state, and character history; never clone the source stack as a personality.
