alignment_serial	source_serial	source_name	source_type	scene_id	event_beat_id	book_num	beat_kind	wowas_transform_options	transform_status	fact_status	citation_url	reader_projection	attention_triggers	digital_variance_policy	max_reader_detail	provenance_status
RWA-9d5924305c9e	RWS-b52496069301	London	city	B01_C001	EB-RW-00001	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q84	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-0ff82b5d9ba8	RWS-a21d08dba9ce	Tokyo	city	B01_C002	EB-RW-00002	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q1490	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-ff56da036d4a	RWS-c868beff0eaa	New York City	city	B01_C003	EB-RW-00003	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q60	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-9bf4d1df4b4f	RWS-aa689239665d	Paris	city	B01_C004	EB-RW-00004	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q90	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-e44c953fa217	RWS-5f628d869166	Mumbai	city	B01_C005	EB-RW-00005	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q1156	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-390550cb7e22	RWS-1345bf7cf1fa	Buenos Aires	city	B01_C006	EB-RW-00006	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q1486	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-f2fa81a603ee	RWS-d44da2366087	Cairo	city	B01_C007	EB-RW-00007	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q85	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-1ec3b4d733bd	RWS-1b96781732f3	Nairobi	city	B01_C008	EB-RW-00008	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q3870	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-307f92e27469	RWS-e609f5ae6bf2	Lagos	city	B01_C009	EB-RW-00009	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q8673	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
RWA-364bb240d5ab	RWS-ee8b1ca8f4d5	Johannesburg	city	B01_C010	EB-RW-00010	1		arrival_context|landmark_observation|history_question|quest_hook|world_system_echo	WOWAS_TRANSFORM_SEED_REVIEW_REQUIRED	source_fact_not_rewritten	https://www.wikidata.org/wiki/Q34647	promote_only_when_relevant	user_preference|active_quest|scene_relevance|character_world_role	presentation_may_vary; source_fact_and_canon_immutable	one_source_detail_per_scene	linked_source_to_scene_beat_event
