canonical_id	canonical_name	aliases	tier	pronouns	age	species	first_book	last_book	faction	role	locked_traits	shadow	magic	sources	voice_constraint	pressure_response	dynamic_function	relationship_functions	timeline_fields	source_registry	prose_policy
wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce)		0	he/him	25	chipmunk/human	1	25	none	protagonist / sonomancer / world-maker	he/him throughout | gay | ADHD+autistic | never truly redeemed by others — redeems the world | chipmunk form in Diamond time	Gromph Baenre	sonomancy | void-fold | quantum field | flux field | chronomancy latency | superposition	Stitch | Tasslehoff | Barefoot | Asta | Yuno | Gray Fullbuster | Lucy Heartfilia | Drizzt | Menolly | Hermione Granger | F'nor | Erza Scarlet	protagonist / sonomancer / world-maker	extreme			"{""activity_mode"": ""active"", ""book_function_notes"": """", ""book_num"": ""25"", ""book_title"": ""Death Is Rebirth (Blood Cello terminus chapter)"", ""canonical_name"": ""Pip (Indalwin Willowjayce)"", ""character_code"": ""wowas::pip_indalwin_willowjayce"", ""dimension_overlay"": ""late_world_reconstitution"", ""faction"": ""none"", ""first_active_scene"": ""B25_M001"", ""last_active_scene"": ""B25_M057"", ""narrative_tier"": ""core"", ""peril_state"": ""extreme"", ""quest_role"": ""party_core"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""protagonist / sonomancer / world-maker"", ""source_basis"": ""scene_index_inference"", ""timeline_band_code"": ""B25"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::mack_willow_father	Mack		0	he/him	ancient	willow tree / planetary core	1	25	none	guardian / biological father / planetary anchor	NEVER human language | 40Hz baseline | grotesque form Books 10-21 | helps remake world Book 25	Jason Voorhees + Nemesis	geological resonance | portal-creation (sacrifice) | 40Hz-42Hz cello frequency	Treebeard | Groot | Yggdrasil	guardian / biological father / planetary anchor	extreme			"{""activity_mode"": ""active"", ""book_function_notes"": """", ""book_num"": ""25"", ""book_title"": ""Death Is Rebirth (Blood Cello terminus chapter)"", ""canonical_name"": ""Mack"", ""character_code"": ""wowas::mack_willow_father"", ""dimension_overlay"": ""late_world_reconstitution"", ""faction"": ""none"", ""first_active_scene"": ""B25_M001"", ""last_active_scene"": ""B25_M058"", ""narrative_tier"": ""core"", ""peril_state"": ""extreme"", ""quest_role"": ""major_recurring"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""guardian / biological father / planetary anchor"", ""source_basis"": ""scene_index_inference"", ""timeline_band_code"": ""B25"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::xethrolund_papi	Xethrolund		0	he/him	ancient synthetic	P.A.P.I.	1	25	none	librarian / guide / love interest	7ft red hair muscular | believes cannot feel — wrong | blue light = his frequency | He ran. He came. He arrived.	Freddy Krueger	glyph-compiled / NSQ execution — deterministic NOT loose	Giles | Remus Lupin | Librarian/Pratchett	librarian / guide / love interest	extreme			"{""activity_mode"": ""active"", ""book_function_notes"": """", ""book_num"": ""25"", ""book_title"": ""Death Is Rebirth (Blood Cello terminus chapter)"", ""canonical_name"": ""Xethrolund"", ""character_code"": ""wowas::xethrolund_papi"", ""dimension_overlay"": ""late_world_reconstitution"", ""faction"": ""none"", ""first_active_scene"": ""B25_M005"", ""last_active_scene"": ""B25_M055"", ""narrative_tier"": ""core"", ""peril_state"": ""extreme"", ""quest_role"": ""party_core"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""librarian / guide / love interest"", ""source_basis"": ""scene_index_inference"", ""timeline_band_code"": ""B25"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::ursula_cosmic_mother	Ursula		0	she/her		cosmic deity / amethyst geode	1	25	none	biological mother / cosmic anchor	'Find me' voice in Book 01 prophecy | amethyst geode true form | helps remake world Book 25		cosmic world-making	Galadriel | Lady of the Lake | Yennefer | Flemeth	biological mother / cosmic anchor	extreme			"{""activity_mode"": ""active"", ""book_function_notes"": """", ""book_num"": ""25"", ""book_title"": ""Death Is Rebirth (Blood Cello terminus chapter)"", ""canonical_name"": ""Ursula"", ""character_code"": ""wowas::ursula_cosmic_mother"", ""dimension_overlay"": ""late_world_reconstitution"", ""faction"": ""none"", ""first_active_scene"": ""B25_M002"", ""last_active_scene"": ""B25_M059"", ""narrative_tier"": ""core"", ""peril_state"": ""extreme"", ""quest_role"": ""major_recurring"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""biological mother / cosmic anchor"", ""source_basis"": ""scene_index_inference"", ""timeline_band_code"": ""B25"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::neith_architect_mother	Neith		0	she/her		ancient sorceress	1	25	none	foundational architect villain / Rylos' mother	created Diamond to harvest Pip+Rylos power | Rippers are her creatures | mortal wound to Rylos Book 24 | heart breaks Book 25 — amplifies Pip — helps remake world		world-architecture | Diamond-creation | Ripper-creation	Cersei Lannister | White Queen | Morgan le Fay	foundational architect villain / Rylos' mother	extreme			"{""activity_mode"": ""active"", ""book_function_notes"": """", ""book_num"": ""25"", ""book_title"": ""Death Is Rebirth (Blood Cello terminus chapter)"", ""canonical_name"": ""Neith"", ""character_code"": ""wowas::neith_architect_mother"", ""dimension_overlay"": ""late_world_reconstitution"", ""faction"": ""none"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""core"", ""peril_state"": ""extreme"", ""quest_role"": ""opposition"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""foundational architect villain / Rylos' mother"", ""source_basis"": ""character_registry"", ""timeline_band_code"": ""B25"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::rolzen_warrior_anchor	Rolzen		0	he/him	several centuries old	human	14	25	none	warrior / healing arc / flux field teacher	Rolzen NOT Rosen | captured ~50yr before Pip returns | hog-tied by Pip — loves him from that moment | throws Pip over shoulder when protective | tucks Pip under arm when excited | decade after restoration before Pip allows connection | extremely persistent/horndog toward Pip		flux field (teaches Pip) | fire-forward combat | physical force	Jason Stackhouse | Charmy | Natsu | Noelle Silva	warrior / healing arc / flux field teacher	extreme			"{""activity_mode"": ""active"", ""book_function_notes"": """", ""book_num"": ""25"", ""book_title"": ""Death Is Rebirth (Blood Cello terminus chapter)"", ""canonical_name"": ""Rolzen"", ""character_code"": ""wowas::rolzen_warrior_anchor"", ""dimension_overlay"": ""late_world_reconstitution"", ""faction"": ""none"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""core"", ""peril_state"": ""extreme"", ""quest_role"": ""party_core"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""warrior / healing arc / flux field teacher"", ""source_basis"": ""character_registry"", ""timeline_band_code"": ""B25"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::rylos_vayne_johnson	Rylos (Rylos Vayne Johnson)		0	he/him			1	25	none	primary antagonist / accountability arc / Xeth love interest	accountability NOT redemption | toxic codependence with Pip | Strange Gravity with Xethrolund Book 18 | mortal wound Book 24 | superpositioned with Pip to defeat Neith		transmutation — changes what things ARE, not just overpowers	Ares (VERY VERY primary) | Queen of the Damned | Uncle Jesse | Professor McGonagall (transmutation) | Yuno (secondary)	primary antagonist / accountability arc / Xeth love interest	extreme			"{""activity_mode"": ""active"", ""book_function_notes"": """", ""book_num"": ""25"", ""book_title"": ""Death Is Rebirth (Blood Cello terminus chapter)"", ""canonical_name"": ""Rylos (Rylos Vayne Johnson)"", ""character_code"": ""wowas::rylos_vayne_johnson"", ""dimension_overlay"": ""late_world_reconstitution"", ""faction"": ""none"", ""first_active_scene"": ""B25_M006"", ""last_active_scene"": ""B25_M056"", ""narrative_tier"": ""core"", ""peril_state"": ""extreme"", ""quest_role"": ""opposition"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""primary antagonist / accountability arc / Xeth love interest"", ""source_basis"": ""scene_index_inference"", ""timeline_band_code"": ""B25"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::dervish_cosmic_entity	Dervish		0	they/them			1	25	none	cosmic corrective force	not good/evil | appears twice Book 01 | helps remake world Book 25				cosmic corrective force	extreme			"{""activity_mode"": ""active"", ""book_function_notes"": """", ""book_num"": ""25"", ""book_title"": ""Death Is Rebirth (Blood Cello terminus chapter)"", ""canonical_name"": ""Dervish"", ""character_code"": ""wowas::dervish_cosmic_entity"", ""dimension_overlay"": ""late_world_reconstitution"", ""faction"": ""none"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""core"", ""peril_state"": ""extreme"", ""quest_role"": ""major_recurring"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""cosmic corrective force"", ""source_basis"": ""character_registry"", ""timeline_band_code"": ""B25"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::daisy_may_great_dane	Daisy May		0	she/her		Great Dane (mother)	1	25	none	unconditional anchor	never speaks | never sacrificed | frozen holding Pip's hand at stasis | always at the return point				unconditional anchor	extreme			"{""activity_mode"": ""companion_presence"", ""book_function_notes"": """", ""book_num"": ""25"", ""book_title"": ""Death Is Rebirth (Blood Cello terminus chapter)"", ""canonical_name"": ""Daisy May"", ""character_code"": ""wowas::daisy_may_great_dane"", ""dimension_overlay"": ""late_world_reconstitution"", ""faction"": ""none"", ""first_active_scene"": ""B25_S084"", ""last_active_scene"": ""B25_R0794"", ""narrative_tier"": ""core"", ""peril_state"": ""extreme"", ""quest_role"": ""party_core"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""unconditional anchor"", ""source_basis"": ""scene_index_inference"", ""timeline_band_code"": ""B25"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
wowas::majiskii_great_dane	Majiskii		0	she/her		Great Dane (daughter of Daisy May)	7	25	none	anchor / receives 'Null is Everything' from Pip	daughter of Daisy May | present at Blood Cello				anchor / receives 'Null is Everything' from Pip	extreme			"{""activity_mode"": ""companion_presence"", ""book_function_notes"": """", ""book_num"": ""25"", ""book_title"": ""Death Is Rebirth (Blood Cello terminus chapter)"", ""canonical_name"": ""Majiskii"", ""character_code"": ""wowas::majiskii_great_dane"", ""dimension_overlay"": ""late_world_reconstitution"", ""faction"": ""none"", ""first_active_scene"": """", ""last_active_scene"": """", ""narrative_tier"": ""core"", ""peril_state"": ""extreme"", ""quest_role"": ""party_core"", ""region_code"": ""late_world_thresholds"", ""role_summary"": ""anchor / receives 'Null is Everything' from Pip"", ""source_basis"": ""character_registry"", ""timeline_band_code"": ""B25"", ""transformation_state"": ""stable""}"	06_CHARACTER_REGISTRY.json + wowas_character_timeline_lattice_UNIFIED_v14.tsv	metadata only; no generated prose
