book_num	character	encounter_count
1	Daisy May	3
1	Dervish	3
1	MAJISKII	3
1	Mack	3
1	NEITH	3
1	Pip	3
1	ROLZEN	3
1	Rylos Vayne Johnson / Boojay	3
1	Solvaenkyr	4
1	URSULA	3
1	Xethrolund	3
1	book_25	3
1	canonical_id	4
1	first_appears	4
1	role	3
1	source_stack	4
1	the Cockatrice	4
1	unnoticed)	4
2	Alex	4
2	Boojay	3
2	DERVISH	3
2	Daisy May	3
2	Daisy May + Majiskii formally entrusted at floating market	3
2	Daisy May formally	3
2	Mack	3
2	Majiskii	3
2	Merchant Lassith	4
2	Pip	3
2	Rylos Vayne Johnson / Boojay	3
2	Vault Keeper Derris	4
2	Xethrolund	3
2	book_25	4
2	canonical_id	3
2	first_appears	3
2	role	4
2	source_stack	4
3	DAISY MAY	3
3	DERVISH	3
3	MAJISKII	3
3	Mack	3
3	NEITH	3
3	P.A.P.I. reveal — Xethrolund's physical form described through diary	3
3	Pip	3
3	ROLZEN	3
3	RYLOS / BOOJAY	3
3	Rylos Vayne Johnson / Boojay	3
3	URSULA	3
3	Xethrolund	3
3	book_25	7
3	canonical_id	8
3	first_appears	9
3	pre_pip_role	3
3	role	8
3	source_stack	7
4	Boojay	3
4	Boojay as full physical presence	3
4	DERVISH	3
4	Daisy May	3
4	Mack	3
4	Majiskii	3
4	NEITH	3
4	Pip	3
4	ROLZEN	3
4	Rylos Vayne Johnson / Boojay	3
4	URSULA	3
4	Xethrolund	3
4	book_25	6
4	canonical_id	6
4	first_appears	6
4	predatory force	6
4	role	6
4	source_stack	6
5	Boojay	3
5	DERVISH	3
5	Daisy May	3
5	Glass Forge / Glass Palace	6
5	Mack	3
5	Majiskii	3
5	NEITH	3
5	Pip	3
5	ROLZEN	3
5	RYLOS / BOOJAY	3
5	URSULA	3
5	Xethrolund	3
5	book_25	6
5	canonical_id	6
5	first_appears	6
5	pre_pip_role	3
5	role	6
5	source_stack	6
6	Boojay	3
6	DERVISH	3
6	Daisy May	3
6	MAJISKII	3
6	Mack	3
6	NEITH	3
6	Pip	3
6	ROLZEN	3
6	RYLOS / BOOJAY	3
6	Solvaenkyr	6
6	URSULA	3
6	Xethrolund	3
6	book_25	6
6	canonical_id	6
6	first_appears	6
6	pre_pip_role	3
6	role	6
6	source_stack	6
7	Boojay	3
7	Cockatrice	6
7	DERVISH	3
7	Daisy May	3
7	Mack	3
7	Majiskii	3
7	NEITH	3
7	Pip	3
7	ROLZEN	3
7	RYLOS / BOOJAY	3
7	URSULA	3
7	XETHROLUND	3
7	book_25	6
7	canonical_id	6
7	first_appears	6
7	pre_pip_role	3
7	role	6
7	source_stack	6
8	Boojay	3
8	DERVISH	3
8	Daisy May	3
