book_num	title	target_scenes	accepted_lock_count_used_for_gap_fill	invented_missing_count
01	Choices Make World	340	34	306
02	The Diary and the Blue Light	420	13	407
03	The First Thread	520	10	510
04	Crocodile Smile	520	10	510
05	Runes and Wound	560	13	547
06	The Refusal and the Wound	500	10	490
07	The Rift Widens	480	10	470
08	The Trap Tightens	620	5	615
09	The Diamond Breaks	650	7	643
10	Mack Falls	740	10	730
11	The Portal Opens	620	10	610
12	Stasis	380	10	370
13	The Afterwake	460	10	450
14	The Long Reorientation	560	10	550
15	Suffocating in Silence	680	10	670
16	The Deepening World	560	10	550
17	Black Heart Scar	720	10	710
18	Strange Gravity	640	10	630
19	The Cracking Core	620	10	610
20	The Beforemath	500	10	490
21	The Final Descent	660	10	650
22	The Last Open Gate	620	10	610
23	The Final Resonance	700	10	690
24	Born To Die	760	10	750
25	Death Is Rebirth	900	10	890
