creature_id	species_name	base_form	primary_trait	secondary_trait	biome	danger_band	ecology_role	candidate_draws	selection_score	generation_law	visual_spec	visual_status
WR00001	Aerfiradion1	ribbon serpent	horrific	beautiful	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ribbon serpent-horrific-black-heart ridge	procedural_visual_spec_v1
WR00002	Aerdalenavel2	mirror lynx	diamond-scarred	glyph-touched	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-mirror lynx-diamond-scarred-ash river	procedural_visual_spec_v1
WR00003	Aermaelorevaraiven3	fern mantis	verdant	sanitized	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-fern mantis-verdant-morrow market	procedural_visual_spec_v1
WR00004	Aerfiraluthaelen4	marrow crane	beautiful	gross	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-marrow crane-beautiful-root vale	procedural_visual_spec_v1
WR00005	Aeranoramarelle5	quartz ram	glyph-touched	resonant	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-quartz ram-glyph-touched-ripper tunnel	procedural_visual_spec_v1
WR00006	Aeranorion6	song beetle	sanitized	chaotic	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-song beetle-sanitized-cello field	procedural_visual_spec_v1
WR00007	Aermaeloriven7	moth-deer	gross	weird	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moth-deer-gross-blue-light road	procedural_visual_spec_v1
WR00008	Aerdalencoriaavel8	root hound	resonant	unbrictionable	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-root hound-resonant-xeth glyph yard	procedural_visual_spec_v1
WR00009	Aeranoramarael9	glass heron	chaotic	elegant	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-glass heron-chaotic-stone fen	procedural_visual_spec_v1
WR00010	Aeranoraen10	basalt hare	weird	cello-woken	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-basalt hare-weird-pocket sanctuary	procedural_visual_spec_v1
WR00011	Aermaeloramariel11	orchard eel	unbrictionable	unibreccianated	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-orchard eel-unbrictionable-glass orchard	procedural_visual_spec_v1
WR00012	Ashajoramossaen12	lantern fox	elegant	horrific	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-lantern fox-elegant-neith edge	procedural_visual_spec_v1
WR00013	Aerfirabelldion13	cinder elk	cello-woken	diamond-scarred	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-cinder elk-cello-woken-willow-stone county	procedural_visual_spec_v1
WR00014	Aerindraaria14	moss bear	unibreccianated	verdant	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moss bear-unibreccianated-last open gate	procedural_visual_spec_v1
WR00015	Ashaavelavel15	willow crab	horrific	beautiful	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-willow crab-horrific-diamond breakland	procedural_visual_spec_v1
WR00016	Aerfiraevaraavel16	stonefin bird	diamond-scarred	glyph-touched	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-stonefin bird-diamond-scarred-black-heart ridge	procedural_visual_spec_v1
WR00017	Aerdalenaen17	thorn whale	verdant	sanitized	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-thorn whale-verdant-ash river	procedural_visual_spec_v1
WR00018	Aerfiraael18	ash otter	beautiful	gross	morrow market	predatory	carrion recycler	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ash otter-beautiful-morrow market	procedural_visual_spec_v1
WR00019	Aermaeloravel19	ribbon serpent	glyph-touched	resonant	root vale	sacred-dangerous	glass cleaner	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-ribbon serpent-glyph-touched-root vale	procedural_visual_spec_v1
WR00020	Aeranorluthashdria20	mirror lynx	sanitized	chaotic	ripper tunnel	gentle	pollinator	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-mirror lynx-sanitized-ripper tunnel	procedural_visual_spec_v1
WR00021	Aerindraael21	fern mantis	gross	weird	cello field	watchful	root spreader	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-fern mantis-gross-cello field	procedural_visual_spec_v1
WR00022	Ashagaleniel22	marrow crane	resonant	unbrictionable	blue-light road	hazardous	pack companion	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-marrow crane-resonant-blue-light road	procedural_visual_spec_v1
WR00023	Aerdalenamarlarkion23	quartz ram	chaotic	elegant	xeth glyph yard	predatory	memory mimic	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-quartz ram-chaotic-xeth glyph yard	procedural_visual_spec_v1
WR00024	Aerindrariveraria24	song beetle	weird	cello-woken	stone fen	sacred-dangerous	weather listener	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-song beetle-weird-stone fen	procedural_visual_spec_v1
WR00025	Aerdalenamarlarken25	moth-deer	unbrictionable	unibreccianated	pocket sanctuary	gentle	burrow architect	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moth-deer-unbrictionable-pocket sanctuary	procedural_visual_spec_v1
WR00026	Aeranorevaraaeliven26	root hound	elegant	horrific	glass orchard	watchful	soil restorer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-root hound-elegant-glass orchard	procedural_visual_spec_v1
WR00027	Aerfiraaen27	glass heron	cello-woken	diamond-scarred	neith edge	hazardous	apex grazer	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-glass heron-cello-woken-neith edge	procedural_visual_spec_v1
WR00028	Aeranoramaraelen28	basalt hare	unibreccianated	verdant	willow-stone county	predatory	song amplifier	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-basalt hare-unibreccianated-willow-stone county	procedural_visual_spec_v1
WR00029	Aeranorianmossiel29	orchard eel	horrific	beautiful	last open gate	sacred-dangerous	healing symbiote	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-orchard eel-horrific-last open gate	procedural_visual_spec_v1
WR00030	Aeranorcoriaiven30	lantern fox	diamond-scarred	glyph-touched	diamond breakland	gentle	gate sentinel	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-lantern fox-diamond-scarred-diamond breakland	procedural_visual_spec_v1
WR00031	Ashaelionen31	cinder elk	verdant	sanitized	black-heart ridge	watchful	warning species	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-cinder elk-verdant-black-heart ridge	procedural_visual_spec_v1
WR00032	Aerfiraorcharddion32	moss bear	beautiful	gross	ash river	hazardous	river filter	90	77	mutative_post_diamond_5000_creature_registry	procedural-creature-moss bear-beautiful-ash river	procedural_visual_spec_v1
