book_num	book_title	encounter_id	core_character	satellite_character	satellite_score	source_profiles	source_traits	event_shape	stakes	memorable_hook	plot_incorporation	coverage_rule
1	Choices Make World	WE01_00001	Dervish	canonical_id	171	SRC0001+SRC0002+SRC0003	engineered weapon who chooses love and family / chosen family as absolute law / unpredictable; physically excessive; emotionally precise || curious heart with no fear and little fear-wisdom / attaches fully and expects motion / breaks systems by not recognizing them as systems || intuitive bodily magic and path-reading through lived body / bonds through touch, rhythm, proximity, shared movement / intuitive embodied reading; nonverbal path sense	small ridiculous task that reveals serious loyalty	relationship, pressure, humor, and future obligation	high-score satellite gets recurring callback seed	encounter may remain local unless later scene pressure calls it back	core_minimum_three
1	Choices Make World	WE01_00002	Dervish	source_stack	123	SRC0001+SRC0002+SRC0003	engineered weapon who chooses love and family / chosen family as absolute law / unpredictable; physically excessive; emotionally precise || curious heart with no fear and little fear-wisdom / attaches fully and expects motion / breaks systems by not recognizing them as systems || intuitive bodily magic and path-reading through lived body / bonds through touch, rhythm, proximity, shared movement / intuitive embodied reading; nonverbal path sense	rescue attempt that goes socially wrong before it goes right	relationship, pressure, humor, and future obligation	small event must leave a visible mark	encounter may remain local unless later scene pressure calls it back	core_minimum_three
1	Choices Make World	WE01_00003	Dervish	unnoticed)	120	SRC0001+SRC0002+SRC0003	engineered weapon who chooses love and family / chosen family as absolute law / unpredictable; physically excessive; emotionally precise || curious heart with no fear and little fear-wisdom / attaches fully and expects motion / breaks systems by not recognizing them as systems || intuitive bodily magic and path-reading through lived body / bonds through touch, rhythm, proximity, shared movement / intuitive embodied reading; nonverbal path sense	market pressure scene with a hidden consequence	relationship, pressure, humor, and future obligation	small event must leave a visible mark	encounter may remain local unless later scene pressure calls it back	core_minimum_three
1	Choices Make World	WE01_00004	Mack	the Cockatrice	120	SRC0001+SRC0002+SRC0003	engineered weapon who chooses love and family / chosen family as absolute law / unpredictable; physically excessive; emotionally precise || curious heart with no fear and little fear-wisdom / attaches fully and expects motion / breaks systems by not recognizing them as systems || intuitive bodily magic and path-reading through lived body / bonds through touch, rhythm, proximity, shared movement / intuitive embodied reading; nonverbal path sense	quiet care scene interrupted by external danger	relationship, pressure, humor, and future obligation	small event must leave a visible mark	encounter may remain local unless later scene pressure calls it back	core_minimum_three
1	Choices Make World	WE01_00005	Mack	first_appears	99	SRC0001+SRC0002+SRC0003	engineered weapon who chooses love and family / chosen family as absolute law / unpredictable; physically excessive; emotionally precise || curious heart with no fear and little fear-wisdom / attaches fully and expects motion / breaks systems by not recognizing them as systems || intuitive bodily magic and path-reading through lived body / bonds through touch, rhythm, proximity, shared movement / intuitive embodied reading; nonverbal path sense	comic misunderstanding that exposes a true wound	relationship, pressure, humor, and future obligation	small event must leave a visible mark	encounter may remain local unless later scene pressure calls it back	core_minimum_three
1	Choices Make World	WE01_00006	Mack	Solvaenkyr	350	SRC0001+SRC0002+SRC0003	engineered weapon who chooses love and family / chosen family as absolute law / unpredictable; physically excessive; emotionally precise || curious heart with no fear and little fear-wisdom / attaches fully and expects motion / breaks systems by not recognizing them as systems || intuitive bodily magic and path-reading through lived body / bonds through touch, rhythm, proximity, shared movement / intuitive embodied reading; nonverbal path sense	training failure that becomes a better method	relationship, pressure, humor, and future obligation	high-score satellite gets recurring callback seed	encounter may remain local unless later scene pressure calls it back	core_minimum_three
1	Choices Make World	WE01_00007	Pip	book_25	87	SRC0001+SRC0002+SRC0003+SRC0008+SRC0024	engineered weapon who chooses love and family / chosen family as absolute law / unpredictable; physically excessive; emotionally precise || curious heart with no fear and little fear-wisdom / attaches fully and expects motion / breaks systems by not recognizing them as systems || intuitive bodily magic and path-reading through lived body / bonds through touch, rhythm, proximity, shared movement / intuitive embodied reading; nonverbal path sense	shared meal that turns into a strategic decision	relationship, pressure, humor, and future obligation	small event must leave a visible mark	encounter may remain local unless later scene pressure calls it back	core_minimum_three
1	Choices Make World	WE01_00008	Pip	canonical_id	171	SRC0001+SRC0002+SRC0003+SRC0008+SRC0024	engineered weapon who chooses love and family / chosen family as absolute law / unpredictable; physically excessive; emotionally precise || curious heart with no fear and little fear-wisdom / attaches fully and expects motion / breaks systems by not recognizing them as systems || intuitive bodily magic and path-reading through lived body / bonds through touch, rhythm, proximity, shared movement / intuitive embodied reading; nonverbal path sense	route negotiation where the weak detail saves everyone	relationship, pressure, humor, and future obligation	high-score satellite gets recurring callback seed	encounter may remain local unless later scene pressure calls it back	core_minimum_three
1	Choices Make World	WE01_00009	Pip	source_stack	123	SRC0001+SRC0002+SRC0003+SRC0008+SRC0024	engineered weapon who chooses love and family / chosen family as absolute law / unpredictable; physically excessive; emotionally precise || curious heart with no fear and little fear-wisdom / attaches fully and expects motion / breaks systems by not recognizing them as systems || intuitive bodily magic and path-reading through lived body / bonds through touch, rhythm, proximity, shared movement / intuitive embodied reading; nonverbal path sense	unexpected kindness that creates a later obligation	relationship, pressure, humor, and future obligation	small event must leave a visible mark	encounter may remain local unless later scene pressure calls it back	core_minimum_three
1	Choices Make World	WE01_00010	Xethrolund	role	123	SRC0001+SRC0002+SRC0003	engineered weapon who chooses love and family / chosen family as absolute law / unpredictable; physically excessive; emotionally precise || curious heart with no fear and little fear-wisdom / attaches fully and expects motion / breaks systems by not recognizing them as systems || intuitive bodily magic and path-reading through lived body / bonds through touch, rhythm, proximity, shared movement / intuitive embodied reading; nonverbal path sense	public embarrassment that becomes witness	relationship, pressure, humor, and future obligation	small event must leave a visible mark	encounter may remain local unless later scene pressure calls it back	core_minimum_three
