book	marker	title
Book_01_Choices_Make_World	B01_000	The Shattered Song Prophecy
Book_01_Choices_Make_World	B01_001	The Fifteenth Birthday
Book_01_Choices_Make_World	B01_002	Mack And The Oasis
Book_01_Choices_Make_World	B01_002A	The Quicksilver Test
Book_01_Choices_Make_World	B01_003	The Restricted Section
Book_01_Choices_Make_World	B01_003A	The Travellers Codex
Book_01_Choices_Make_World	B01_004	The Blank Diary And Blue Light
Book_01_Choices_Make_World	B01_004A	Find The Wound That Does Not Heal
Book_01_Choices_Make_World	B01_005	Xethrolund The First True Thread
Book_01_Choices_Make_World	B01_006	The Slow Dehumanization
Book_01_Choices_Make_World	B01_007	The Betrayal Seed
Book_01_Choices_Make_World	B01_008	The First Threshold
Book_01_Choices_Make_World	B01.17	The Sanctuary Is Real Enough to Hurt
Book_01_Choices_Make_World	B01.18	The Last Push Before Shelter
Book_01_Choices_Make_World	B01.19	Crossing into Mack
Book_01_Choices_Make_World	B01.20	The Wounded Guest of the Oasis
Book_01_Choices_Make_World	B01.21	The Dream Returns Under Sanctuary Light
Book_01_Choices_Make_World	B01.22	The Oasis Learns a New Orbit
Book_01_Choices_Make_World	B01.23	The World Outside Keeps Building
Book_01_Choices_Make_World	B01.24	The First Book Finds Its Larger Shape
Book_01_Choices_Make_World	B01.25	The Outside World Demands Him Back
Book_01_Choices_Make_World	B01.26	A World of Duties, A Heart of Threads
Book_01_Choices_Make_World	B01.27	The Warden Walks with Witnesses Now
Book_01_Choices_Make_World	B01.28	The Future Starts Answering Back
Book_01_Choices_Make_World	B01.29	Rylos Vayne Johnson Is Waiting Inside the Next Choice
Book_01_Choices_Make_World	B01.30	The World Wants More Than One Boy Can Hold
Book_01_Choices_Make_World	B01.31	The Blue Thread Wants a Place in the Day
Book_01_Choices_Make_World	B01.32	The Oasis Has a Daily Life Worth Defending
Book_01_Choices_Make_World	B01.33	Pip Is Not the Only One Who Changes the Room
Book_01_Choices_Make_World	B01.34	The Prophecy Wants More Than Fear
Book_01_Choices_Make_World	B01.35	The Wounded World Still Needs a Warden
Book_01_Choices_Make_World	B01.36	Rylos Vayne Johnson's Story Does Not End at Rescue
Book_01_Choices_Make_World	B01.37	The Future Starts Looking at the Pair
Book_01_Choices_Make_World	B01.38	Book One Locks the First Great Constellation
Book_01_Choices_Make_World	B01.39	The Sanctuary Becomes a Launch Point Again
Book_01_Choices_Make_World	B01.40	Book One Learns to Hold a Broader Cast
Book_01_Choices_Make_World	B01.41	The First Book Prepares Its Exit Velocity
Book_02_The_Diary_And_The_Blue_Light	B02_000	Vault Of Whispers
Book_02_The_Diary_And_The_Blue_Light	B02_001	The Rift Escalates
Book_02_The_Diary_And_The_Blue_Light	B02_001A	The Wounded Rabbit In The Market
Book_02_The_Diary_And_The_Blue_Light	B02_001B	The Healing That Does Not Hold
Book_02_The_Diary_And_The_Blue_Light	B02_001C	The First Sign Of Trouble At The Market
Book_02_The_Diary_And_The_Blue_Light	B02_002	The Betrayal Executes
Book_02_The_Diary_And_The_Blue_Light	B02_003	The Diamond Break Window
Book_02_The_Diary_And_The_Blue_Light	B02_004	Mack Sacrifice
Book_02_The_Diary_And_The_Blue_Light	B02_005	Xethrolund Portal Arrival
Book_02_The_Diary_And_The_Blue_Light	B02_006	Stasis
