book_num	book_title	era_band	slot_in_book	scene_id	source_layer	source_type	old_title	clean_title	title_status	brief_scene_description	inferred_character_names	inferred_character_ids	book_active_cast	book_key_pressure	source_trace	corridor_region_anchor	county_anchor	ecology_pressure_mode	creature_refs	transformation_notes
18	Strange Gravity	Era IV — Return, Threshold, and Inland Pursuit	900	B18_P900	THREAD_LOCK_PATCH	USER_CORRECTION	The Oceanic Dream Returns	The Ocean Calls Back	new_lock	After surviving Neith’s realm, the party reaches the Oregon coast by intuition shaped by Pip’s recurring oceanic dream; when Pip touches the water, the sea takes only him, leaving the others staring at the surf in disbelief after everything they did to get him back.	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	wowas::pip_indalwin_willowjayce | wowas::rolzen_warrior_anchor | wowas::xethrolund_papi | wowas::rylos_vayne_johnson | wowas::daisy_may_great_dane | wowas::majiskii_great_dane	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	Only Pip is taken by the sea. The others are forced into witness-role, not co-capture. This locks the corridor back to Pip’s intuition and the cost of his singular pull toward solution.	THREAD_LOCK: oceanic dream correction / user April 18	Independence, Oregon corridor	Polk County, OR	oceanic_intuition_pressure	wowas::county_polk_stone_002 | wowas::county_polk_arthropod_001	Pip is removed by water-pressure alone; party remains outside the pull.
18	Strange Gravity	Era IV — Return, Threshold, and Inland Pursuit	901	B18_P901	THREAD_LOCK_PATCH	USER_CORRECTION	Pip Returns With Stones	Two Rough Stones No One Can Draw	new_lock	About an hour later the ocean ejects Pip back onto the beach drowning and humiliated; the gravity-time healer pulls the water from him, but two rough stones remain painfully embedded in his back, unmoved by healing, force, or ordinary extraction.	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii	wowas::pip_indalwin_willowjayce | wowas::rolzen_warrior_anchor | wowas::xethrolund_papi | wowas::rylos_vayne_johnson | wowas::daisy_may_great_dane | wowas::majiskii_great_dane	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii	The sea gives Pip back changed but unexplained. The stones behave like a delayed command rather than a wound.	THREAD_LOCK: ocean-pull aftermath / user April 18	Independence, Oregon corridor	Polk County, OR	oceanic_intuition_pressure	wowas::county_polk_stone_002	Two embedded stones later become geodes and then wing-roots.
18	Strange Gravity	Era IV — Return, Threshold, and Inland Pursuit	902	B18_P902	THREAD_LOCK_PATCH	USER_CORRECTION	The Cave Dream Sharpens	Lily Pads of Stone in the Night Vision	new_lock	At camp the dream returns: not explanation but sensation — stone lily pads, cavern water, giant chambers, and a place Pip does not yet know is Onondaga. The image is directional enough that the party starts hunting for old brochures and highway remnants to test it against the waking world.	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson)	wowas::pip_indalwin_willowjayce | wowas::rolzen_warrior_anchor | wowas::xethrolund_papi | wowas::rylos_vayne_johnson	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii	Dream becomes navigational evidence. Missouri begins as intuition plus image-checking, not exposition.	THREAD_LOCK: Onondaga dream / user April 18	Inland brochure corridor	Ada County, ID	brochure_trace_inland	wowas::county_ada_cicada_001 | wowas::county_ada_stone_001	The dream is sensory and spatial, not a lecture.
18	Strange Gravity	Era IV — Return, Threshold, and Inland Pursuit	903	B18_P903	THREAD_LOCK_PATCH	USER_CORRECTION	The Idaho Proof	Idaho Gives the Dream a Photograph	new_lock	In Idaho the party finds brochures at ruined highway stops and finally matches Pip’s impossible cave-vision to a real image, proving the dream is not metaphor and forcing a Missouri route.	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	wowas::pip_indalwin_willowjayce | wowas::rolzen_warrior_anchor | wowas::xethrolund_papi | wowas::rylos_vayne_johnson | wowas::daisy_may_great_dane | wowas::majiskii_great_dane	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	The world confirms the dream through surviving infrastructure, not convenient oracle speech.	THREAD_LOCK: brochure confirmation / user April 18	Idaho brochure corridor	Ada County, ID	brochure_trace_inland	wowas::county_ada_cicada_001 | wowas::county_ada_stone_001 | wowas::county_ada_lichen_001	Idaho validates the route before Missouri unlocks the metamorphosis.
19	The Cracking Core	Era IV — Return, Threshold, and Inland Pursuit	900	B19_P900	THREAD_LOCK_PATCH	USER_CORRECTION	The Stones Rise	The Geodes Become a Burden	new_lock	As they travel toward Onondaga, the stones in Pip’s back slowly protrude into geodes. What starts as a worry becomes cumbersome and frightening; everyone but Zaz, Daisy May, and Majiskii treats it as a worsening emergency.	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	wowas::pip_indalwin_willowjayce | wowas::rolzen_warrior_anchor | wowas::xethrolund_papi | wowas::rylos_vayne_johnson | wowas::daisy_may_great_dane | wowas::majiskii_great_dane	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	The calm of Zaz and the dogs marks this as transformation rather than infection. The human panic still remains warranted.	THREAD_LOCK: geode protrusion / user April 18	Rolla / Onondaga approach	Phelps County, MO	cave_resonance_pressure	wowas::county_phelps_stone_002 | wowas::county_phelps_arthropod_001	Wings are not yet visible; shell-material is gestating.
19	The Cracking Core	Era IV — Return, Threshold, and Inland Pursuit	901	B19_P901	THREAD_LOCK_PATCH	USER_CORRECTION	The Dragon Shell	The Onondaga Geode Shell Closes	new_lock	By the time they reach Onondaga, the geodes erupt into a neon-pink glowing gemstone shell around Pip like a dragon egg; every attempt to break it only makes it brighter and harder.	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	wowas::pip_indalwin_willowjayce | wowas::rolzen_warrior_anchor | wowas::xethrolund_papi | wowas::rylos_vayne_johnson | wowas::daisy_may_great_dane | wowas::majiskii_great_dane	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	The shell is not a prison they can solve with force. Their failure to crack it becomes part of its maturing logic.	THREAD_LOCK: geode shell / user April 18	Rolla / Onondaga approach	Phelps County, MO	cave_resonance_pressure	wowas::county_phelps_stone_002 | wowas::county_phelps_microbe_001	Shell responds to attack by hardening and brightening.
19	The Cracking Core	Era IV — Return, Threshold, and Inland Pursuit	902	B19_P902	THREAD_LOCK_PATCH	USER_CORRECTION	Three Days Under Pink Light	The Party Holds a Siege Around Pip	new_lock	For three days they defend the shell against ripper waves without being able to move or free Pip. Zaz and the dogs remain eerily untroubled. As the defense begins to fail, the shell-light intensifies and starts ruining ripper eyes without harming the party.	Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	wowas::rolzen_warrior_anchor | wowas::xethrolund_papi | wowas::rylos_vayne_johnson | wowas::daisy_may_great_dane | wowas::majiskii_great_dane	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	The shell becomes battlefield weather. The dogs and Zaz function as silent confirmation that the transformation is dangerous but right.	THREAD_LOCK: three-day shell siege / user April 18	Rolla / Onondaga approach	Phelps County, MO	cave_resonance_pressure	wowas::county_phelps_arthropod_001 | wowas::county_phelps_stone_002	Front-wave rippers lose sight first.
19	The Cracking Core	Era IV — Return, Threshold, and Inland Pursuit	903	B19_P903	THREAD_LOCK_PATCH	USER_CORRECTION	The Gemstorm Birth	Pip Breaks Out in a Storm of Gemstones	new_lock	The shell detonates into a spiraling gemstone vortex and Pip emerges with one silver dragon-striped eye and one pink-gold eye. He enters the battlefield in a storm of living gem-fragments, snaps his light staff in half, and answers converging enemies with shadow whips and shield-sword wings grown from the same gemstone substrate as the shell.	Pip (Indalwin Willowjayce)	wowas::pip_indalwin_willowjayce	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	Pip’s wings are not feather or bat; they are articulated gemstone pinions whose exact energy color and pressure follow what he is actively incorporating.	THREAD_LOCK: geode wing emergence / user April 18	Rolla / Onondaga approach	Phelps County, MO	cave_resonance_pressure	wowas::county_phelps_stone_002	Wings consist of flat geometric glasslike sheets shaped in feather logic; same substrate as dragon shell.
19	The Cracking Core	Era IV — Return, Threshold, and Inland Pursuit	904	B19_P904	THREAD_LOCK_PATCH	USER_CORRECTION	No Time to Celebrate	Zombie Mack Attacks at the Cave Threshold	new_lock	The Onondaga emergence becomes immediately punitive when zombie Mack attacks before the party can stabilize. Even with Pip’s new powers they can barely evade and survive, which keeps the cave event from reading like a clean victory-state.	Mack | Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson)	wowas::mack_willow_father | wowas::pip_indalwin_willowjayce | wowas::rolzen_warrior_anchor | wowas::xethrolund_papi | wowas::rylos_vayne_johnson	Pip (Indalwin Willowjayce) | Mack | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	Transformation is stress-tested at once. New power does not cancel Mack’s horror or the cost of still loving him.	THREAD_LOCK: zombie Mack follows Onondaga / user April 18	Missouri to Mississippi retreat	Phelps County, MO	cracking_core_escape_pressure	wowas::county_phelps_arthropod_001	Escape, not dominance, is the result.
19	The Cracking Core	Era IV — Return, Threshold, and Inland Pursuit	905	B19_P905	THREAD_LOCK_PATCH	USER_CORRECTION	Southbound Under Pursuit	They Lose Mack Down to Mississippi	new_lock	The party breaks south and bleeds ground all the way to Mississippi before they finally lose zombie Mack. Exhaustion, relief, and dread remain mixed because everyone knows a pursuit that strong can recur.	Pip (Indalwin Willowjayce) | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz | Mack	wowas::pip_indalwin_willowjayce | wowas::rolzen_warrior_anchor | wowas::xethrolund_papi | wowas::rylos_vayne_johnson | wowas::daisy_may_great_dane | wowas::majiskii_great_dane | wowas::mack_willow_father	Pip (Indalwin Willowjayce) | Mack | Rolzen | Xethrolund | Rylos (Rylos Vayne Johnson) | Daisy May | Majiskii | Zaz	The corridor must feel like survival travel, not scene teleportation. Mississippi becomes a retreat-basin, not just a map marker.	THREAD_LOCK: Mississippi retreat / user April 18	Mississippi retreat basin	Hinds County, MS	retreat_basin_pressure	wowas::county_hinds_stone_001 | wowas::county_hinds_arthropod_001	This corridor should feel road-burned, crater-haunted, and still emotionally unfinished.
