item	classification	action
qsort_r	compat_yes	use gnulib qsort compatibility path; do not force native yes
selinux/getfilecon_raw/lgetfilecon_raw	disabled_by_design	Android libselinux lacks required raw path; keep disabled unless Braxon provides complete shim contract
priv.h	android_boundary	Solaris/Illumos privilege API; do not build unless Braxon designs equivalent privilege contract
getexecname	android_boundary	non-Bionic process-name API; use existing program-name compat path
secure_getenv/__secure_getenv	compat_yes	use gnulib/controlled fallback; do not fake glibc semantics
glibc sys/cdefs	android_boundary	Bionic is not glibc; do not force glibc identity
sys/inttypes.h sys/bitypes.h	android_boundary	legacy system headers absent; stdint/inttypes path is valid
CoreFoundation APIs	android_boundary	Apple-only APIs; disabled by design
program_invocation_name/program_invocation_short_name	compat_yes	use gnulib program name fallback
rawmemchr	compat_yes	use gnulib replacement unless Braxon native bridge is explicitly provided
rpmatch	compat_yes	use gnulib/locale fallback unless Braxon locale contract is added
timezone_t	android_boundary	not Bionic public API; use gnulib time_rz fallback
getppriv	android_boundary	Solaris privilege API; not Android native
struct random_data/random_r	compat_yes	use gnulib random_r compatibility path
sys/mnttab.h sys/mntio.h sys/ucred.h sys/fs_types.h	android_boundary	BSD/Solaris/Darwin mount/cred headers; classify, do not fake
pthread robust mutex	unresolved_blocker_or_android_boundary	build only if Braxon needs exact robust mutex contract; otherwise document disabled boundary
