source_serial	source_type	source_name	source_id	source_url	gazetteer_url	source_claim	source_status	citation_required	pass_1_identity	pass_2_source_claim	pass_3_cross_source_normalization	pass_4_wowas_alignment	pass_5_reader_load	fact_fiction_boundary	seriel_footnote
RWS-b52496069301	city	London	Q84	https://www.wikidata.org/wiki/Q84	https://www.geonames.org/search.html?q=London	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-b52496069301
RWS-a21d08dba9ce	city	Tokyo	Q1490	https://www.wikidata.org/wiki/Q1490	https://www.geonames.org/search.html?q=Tokyo	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-a21d08dba9ce
RWS-c868beff0eaa	city	New York City	Q60	https://www.wikidata.org/wiki/Q60	https://www.geonames.org/search.html?q=New%20York%20City	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-c868beff0eaa
RWS-aa689239665d	city	Paris	Q90	https://www.wikidata.org/wiki/Q90	https://www.geonames.org/search.html?q=Paris	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-aa689239665d
RWS-5f628d869166	city	Mumbai	Q1156	https://www.wikidata.org/wiki/Q1156	https://www.geonames.org/search.html?q=Mumbai	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-5f628d869166
RWS-1345bf7cf1fa	city	Buenos Aires	Q1486	https://www.wikidata.org/wiki/Q1486	https://www.geonames.org/search.html?q=Buenos%20Aires	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-1345bf7cf1fa
RWS-d44da2366087	city	Cairo	Q85	https://www.wikidata.org/wiki/Q85	https://www.geonames.org/search.html?q=Cairo	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-d44da2366087
RWS-1b96781732f3	city	Nairobi	Q3870	https://www.wikidata.org/wiki/Q3870	https://www.geonames.org/search.html?q=Nairobi	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-1b96781732f3
RWS-e609f5ae6bf2	city	Lagos	Q8673	https://www.wikidata.org/wiki/Q8673	https://www.geonames.org/search.html?q=Lagos	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-e609f5ae6bf2
RWS-ee8b1ca8f4d5	city	Johannesburg	Q34647	https://www.wikidata.org/wiki/Q34647	https://www.geonames.org/search.html?q=Johannesburg	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-ee8b1ca8f4d5
RWS-3b802b010cf6	city	Cape Town	Q5465	https://www.wikidata.org/wiki/Q5465	https://www.geonames.org/search.html?q=Cape%20Town	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-3b802b010cf6
RWS-50aef7261475	city	Sydney	Q3130	https://www.wikidata.org/wiki/Q3130	https://www.geonames.org/search.html?q=Sydney	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-50aef7261475
RWS-d0c7e274119b	city	Melbourne	Q3141	https://www.wikidata.org/wiki/Q3141	https://www.geonames.org/search.html?q=Melbourne	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-d0c7e274119b
RWS-63375eff5fcc	city	Singapore	Q334	https://www.wikidata.org/wiki/Q334	https://www.geonames.org/search.html?q=Singapore	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-63375eff5fcc
RWS-8c25ea70e311	city	Bangkok	Q1861	https://www.wikidata.org/wiki/Q1861	https://www.geonames.org/search.html?q=Bangkok	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-8c25ea70e311
RWS-6ab20b5bd386	city	Jakarta	Q3630	https://www.wikidata.org/wiki/Q3630	https://www.geonames.org/search.html?q=Jakarta	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-6ab20b5bd386
RWS-16d8a3032d1a	city	Seoul	Q8684	https://www.wikidata.org/wiki/Q8684	https://www.geonames.org/search.html?q=Seoul	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-16d8a3032d1a
RWS-4bea0700f49a	city	Beijing	Q956	https://www.wikidata.org/wiki/Q956	https://www.geonames.org/search.html?q=Beijing	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-4bea0700f49a
RWS-d90712596b7c	city	Mexico City	Q1489	https://www.wikidata.org/wiki/Q1489	https://www.geonames.org/search.html?q=Mexico%20City	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-d90712596b7c
RWS-f0e14c70e8c1	city	São Paulo	Q174	https://www.wikidata.org/wiki/Q174	https://www.geonames.org/search.html?q=S%C3%A3o%20Paulo	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-f0e14c70e8c1
RWS-86b0a21efd87	city	Toronto	Q172	https://www.wikidata.org/wiki/Q172	https://www.geonames.org/search.html?q=Toronto	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-86b0a21efd87
RWS-ccd49923d9b4	city	New Delhi	Q987	https://www.wikidata.org/wiki/Q987	https://www.geonames.org/search.html?q=New%20Delhi	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-ccd49923d9b4
RWS-6101ccd47bb8	city	Istanbul	Q406	https://www.wikidata.org/wiki/Q406	https://www.geonames.org/search.html?q=Istanbul	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-6101ccd47bb8
RWS-33a583f20aa5	city	Rome	Q220	https://www.wikidata.org/wiki/Q220	https://www.geonames.org/search.html?q=Rome	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-33a583f20aa5
RWS-46eea12e7e88	city	Berlin	Q64	https://www.wikidata.org/wiki/Q64	https://www.geonames.org/search.html?q=Berlin	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-46eea12e7e88
RWS-d8e88c01ec00	city	Madrid	Q280	https://www.wikidata.org/wiki/Q280	https://www.geonames.org/search.html?q=Madrid	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-d8e88c01ec00
RWS-05d6adfacee7	city	Moscow	Q649	https://www.wikidata.org/wiki/Q649	https://www.geonames.org/search.html?q=Moscow	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-05d6adfacee7
RWS-ec7c27ccda23	city	Dubai	Q612	https://www.wikidata.org/wiki/Q612	https://www.geonames.org/search.html?q=Dubai	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-ec7c27ccda23
RWS-946164ffe75c	city	Lima	Q2868	https://www.wikidata.org/wiki/Q2868	https://www.geonames.org/search.html?q=Lima	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-946164ffe75c
RWS-feb128274578	city	Bogotá	Q2841	https://www.wikidata.org/wiki/Q2841	https://www.geonames.org/search.html?q=Bogot%C3%A1	city identity and stable entity identifier only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-feb128274578
RWS-d005a5afa3aa	landmark	Great Barrier Reef	UNESCO-154	https://whc.unesco.org/en/list/154		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-d005a5afa3aa
RWS-6c14fcc1b51b	landmark	Kakadu National Park	UNESCO-147	https://whc.unesco.org/en/list/147		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-6c14fcc1b51b
RWS-b760b5585d64	landmark	Uluru-Kata Tjuta National Park	UNESCO-447	https://whc.unesco.org/en/list/447		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-b760b5585d64
RWS-faeb64b65584	landmark	Sydney Opera House	UNESCO-166	https://whc.unesco.org/en/list/166		heritage-list identity and official listing membership only	FACT	true	complete	complete	complete	complete	bounded	FACT_SOURCE_ONLY	bottom-footnote:RWS-faeb64b65584
