node_type	node_id	volume	book	role	source
book	B01	1	1	origin_diamond_world	canon/active/book_spine_33.tsv
book	B02	1	2	origin_diamond_world	canon/active/book_spine_33.tsv
book	B03	1	3	origin_diamond_world	canon/active/book_spine_33.tsv
book	B04	1	4	origin_diamond_world	canon/active/book_spine_33.tsv
book	B05	1	5	forge_wound	canon/active/book_spine_33.tsv
book	B06	1	6	forge_wound	canon/active/book_spine_33.tsv
book	B07	1	7	forge_wound	canon/active/book_spine_33.tsv
book	B08	1	8	forge_wound	canon/active/book_spine_33.tsv
book	B09	1	9	diamond_break	canon/active/book_spine_33.tsv
book	B10	1	10	diamond_break	canon/active/book_spine_33.tsv
book	B11	1	11	diamond_break	canon/active/book_spine_33.tsv
book	B12	2	12	portal_stasis	canon/active/book_spine_33.tsv
book	B13	2	13	portal_stasis	canon/active/book_spine_33.tsv
book	B14	2	14	portal_stasis	canon/active/book_spine_33.tsv
book	B15	2	15	post_stasis_world	canon/active/book_spine_33.tsv
book	B16	2	16	post_stasis_world	canon/active/book_spine_33.tsv
book	B17	2	17	post_stasis_world	canon/active/book_spine_33.tsv
book	B18	2	18	post_stasis_world	canon/active/book_spine_33.tsv
book	B19	2	19	post_stasis_world	canon/active/book_spine_33.tsv
book	B20	2	20	pre_endgame	canon/active/book_spine_33.tsv
book	B21	2	21	pre_endgame	canon/active/book_spine_33.tsv
book	B22	2	22	pre_endgame	canon/active/book_spine_33.tsv
book	B23	3	23	endgame_resonance	canon/active/book_spine_33.tsv
book	B24	3	24	endgame_resonance	canon/active/book_spine_33.tsv
book	B25	3	25	endgame_resonance	canon/active/book_spine_33.tsv
book	B26	3	26	rebirth_aftermath	canon/active/book_spine_33.tsv
book	B27	3	27	rebirth_aftermath	canon/active/book_spine_33.tsv
book	B28	3	28	rebirth_aftermath	canon/active/book_spine_33.tsv
book	B29	3	29	rebirth_aftermath	canon/active/book_spine_33.tsv
book	B30	3	30	new_world_expansion	canon/active/book_spine_33.tsv
book	B31	3	31	new_world_expansion	canon/active/book_spine_33.tsv
book	B32	3	32	new_world_expansion	canon/active/book_spine_33.tsv
book	B33	3	33	final_integration	canon/active/book_spine_33.tsv
