book_num	book_title	encounter_id	character_anchor	creature_id	species_name	biome	danger	ecology_role	event_shape	plot_use
1	Choices Make World	WW01_00001	Mack	WR03587	Aeranoraen3587	ash river	hazardous	river filter	creature comedy turns into ecological warning	wildlife encounter may carry humor, ecology, or local culture
1	Choices Make World	WW01_00002	Pip	WR04654	Aeranoraen4654	root vale	sacred-dangerous	glass cleaner	small species reacts to magic before people understand the threat	wildlife pressure should expose hidden route, social cost, or magical imbalance
1	Choices Make World	WW01_00003	Xethrolund	WR04454	Aeranoramaraeldion4454	last open gate	sacred-dangerous	healing symbiote	pack behavior mirrors the cast relationship under pressure	wildlife pressure should expose hidden route, social cost, or magical imbalance
1	Choices Make World	WW01_00004	Solvaenkyr	WR02020	Aeranoramaraeliven2020	pocket sanctuary	gentle	burrow architect	predator encounter reveals a hidden wounded character	wildlife encounter may carry humor, ecology, or local culture
2	The Diary and the Blue Light	WW02_00005	Pip	WR04961	Aeranoraen4961	glass orchard	watchful	soil restorer	small species reacts to magic before people understand the threat	wildlife encounter may carry humor, ecology, or local culture
2	The Diary and the Blue Light	WW02_00006	Xethrolund	WR04043	Aeranoramaraelel4043	xeth glyph yard	predatory	memory mimic	pack behavior mirrors the cast relationship under pressure	wildlife pressure should expose hidden route, social cost, or magical imbalance
2	The Diary and the Blue Light	WW02_00007	Majiskii	WR00580	Aeranoramaraeliven580	pocket sanctuary	gentle	burrow architect	predator encounter reveals a hidden wounded character	wildlife encounter may carry humor, ecology, or local culture
2	The Diary and the Blue Light	WW02_00008	Mack	WR04036	Aeranoramarbellael4036	black-heart ridge	watchful	warning species	symbiotic creature creates a temporary shelter or bridge	wildlife encounter may carry humor, ecology, or local culture
3	The First Thread	WW03_00009	Rylos Vayne Johnson / Boojay	WR03407	Aeranoramaraelen3407	ash river	hazardous	river filter	pack behavior mirrors the cast relationship under pressure	wildlife encounter may carry humor, ecology, or local culture
3	The First Thread	WW03_00010	canonical_id	WR04013	Aeranoramarashael4013	xeth glyph yard	predatory	memory mimic	predator encounter reveals a hidden wounded character	wildlife pressure should expose hidden route, social cost, or magical imbalance
3	The First Thread	WW03_00011	P.A.P.I. reveal — Xethrolund's physical form described through diary	WR04449	Aeranoramarbellavel4449	stone fen	sacred-dangerous	weather listener	symbiotic creature creates a temporary shelter or bridge	wildlife pressure should expose hidden route, social cost, or magical imbalance
3	The First Thread	WW03_00012	role	WR04922	Aeranoramarbrinarel4922	ash river	hazardous	river filter	migration pattern exposes political or magical disruption	wildlife encounter may carry humor, ecology, or local culture
4	Crocodile Smile	WW04_00013	Majiskii	WR01154	Aeranoramarashelle1154	last open gate	sacred-dangerous	healing symbiote	predator encounter reveals a hidden wounded character	wildlife pressure should expose hidden route, social cost, or magical imbalance
4	Crocodile Smile	WW04_00014	Rylos Vayne Johnson / Boojay	WR00539	Aeranoramarbellelle539	last open gate	sacred-dangerous	healing symbiote	symbiotic creature creates a temporary shelter or bridge	wildlife pressure should expose hidden route, social cost, or magical imbalance
4	Crocodile Smile	WW04_00015	canonical_id	WR00284	Aeranoramarbrindion284	last open gate	sacred-dangerous	healing symbiote	migration pattern exposes political or magical disruption	wildlife pressure should expose hidden route, social cost, or magical imbalance
4	Crocodile Smile	WW04_00016	Boojay as full physical presence	WR00576	Aeranoramarbrookiel576	cello field	watchful	root spreader	wildlife panic signals a concealed ripper or Drawn pressure	wildlife encounter may carry humor, ecology, or local culture
5	Runes and Wound	WW05_00017	Xethrolund	WR04906	Aeranoramarbellion4906	black-heart ridge	watchful	warning species	symbiotic creature creates a temporary shelter or bridge	wildlife encounter may carry humor, ecology, or local culture
5	Runes and Wound	WW05_00018	canonical_id	WR02011	Aeranoramarbrinel2011	black-heart ridge	watchful	warning species	migration pattern exposes political or magical disruption	wildlife encounter may carry humor, ecology, or local culture
5	Runes and Wound	WW05_00019	role	WR01991	Aeranoramarcinderen1991	glass orchard	watchful	soil restorer	wildlife panic signals a concealed ripper or Drawn pressure	wildlife encounter may carry humor, ecology, or local culture
5	Runes and Wound	WW05_00020	Daisy May	WR03172	Aeranoramaremberaen3172	blue-light road	hazardous	pack companion	animal blocks the obvious path and saves the party from a worse route	wildlife encounter may carry humor, ecology, or local culture
6	The Refusal and the Wound	WW06_00021	canonical_id	WR00603	Aeranoramarbriniel603	morrow market	predatory	carrion recycler	migration pattern exposes political or magical disruption	wildlife pressure should expose hidden route, social cost, or magical imbalance
6	The Refusal and the Wound	WW06_00022	role	WR00290	Aeranoramardion290	ripper tunnel	gentle	pollinator	wildlife panic signals a concealed ripper or Drawn pressure	wildlife encounter may carry humor, ecology, or local culture
6	The Refusal and the Wound	WW06_00023	Pip	WR00315	Aeranoramaren315	diamond breakland	gentle	gate sentinel	animal blocks the obvious path and saves the party from a worse route	wildlife encounter may carry humor, ecology, or local culture
6	The Refusal and the Wound	WW06_00024	Solvaenkyr	WR02540	Aeranoramarforgeen2540	ripper tunnel	gentle	pollinator	creature comedy turns into ecological warning	wildlife encounter may carry humor, ecology, or local culture
7	The Rift Widens	WW07_00025	role	WR00306	Aeranoramardria306	cello field	watchful	root spreader	wildlife panic signals a concealed ripper or Drawn pressure	wildlife encounter may carry humor, ecology, or local culture
7	The Rift Widens	WW07_00026	Daisy May	WR00656	Aeranoramarendaren656	glass orchard	watchful	soil restorer	animal blocks the obvious path and saves the party from a worse route	wildlife encounter may carry humor, ecology, or local culture
7	The Rift Widens	WW07_00027	Mack	WR03558	Aeranoramarglassiel3558	morrow market	predatory	carrion recycler	creature comedy turns into ecological warning	wildlife pressure should expose hidden route, social cost, or magical imbalance
