patch_code	target_file	book_band	scene_anchor	action	instruction	reason
v10_scene_001	wowas_clean_scene_index_v2.tsv	B01-B03	School / Diamond origin corridor	insert	Add Kyreal as school-era visible benchmark: wolf, sword, stone-control, strongest in class other than Pip, shaping Pip effort and Rylos shadow-compensation.	Restores early hierarchy and makes later Kyreal scenes land harder.
v10_scene_002	wowas_clean_scene_index_v2.tsv	B02-B03	Diamond explanation cluster	modify	Clarify Diamond power law: Mack + Pip + Rylos charge the Diamond; trapped people receive power and animalization inside it; Pip/Rylos regain human expression through portal transition.	Corrects core cosmology and species-state logic.
v10_scene_003	wowas_clean_scene_index_v2.tsv	B08-B09	Rockies / abduction corridor	insert	Seed Vaedric / origin-truth influence in Rylos path without exposing full intent toward Pip.	Supports later recurring-villain reveal.
v10_scene_004	wowas_clean_scene_index_v2.tsv	B10-B11	Onondaga / dragon-shell sequence	modify	Mark the gemstone dragon-egg event as Pip-only and initially unexplained to everyone present.	Prevents accidental spread of the transformation law.
v10_scene_005	wowas_clean_scene_index_v2.tsv	B10-B11	Rolzen rearrangement and Drawn search	insert	After the group learns the Drawn could reverse Rolzen's rearrangement, have Kyreal lead the search, freeze, collapse into sliced remains when Pip touches him, and trigger Pip's first quantum kill-before-tears scene.	Major emotional and unlock corridor.
v10_scene_006	wowas_clean_scene_index_v2.tsv	B11-B12	Oregon coast / ocean claim	modify	Ensure glide is unavailable in the Silence but regains meaningful use in Lucent/Ursula surface-state after the rewind.	Traversal law correction.
v10_scene_007	wowas_clean_scene_index_v2.tsv	B13-B14	Afterwake / OKC return	insert	After Garden of Glass, Vaedric seeks Rylos and encounters Pip + Kyreal; Pip ignores him until Vaedric demands to know where Rylos is; Pip hurls the ice-mallet strike; Kyreal calls him chicken; Vaedric retorts bitch.	Locks Vaedric/Pip/Kyreal confrontation beat.
v10_scene_008	wowas_clean_scene_index_v2.tsv	B14-B17	Silence / Lucent / Ursula	modify	Relocate the relevant join point so the whole party is present after Silence/Lucent/Ursula instead of after Neith-escape.	Improves party geometry and reveal timing.
v10_scene_009	wowas_clean_scene_index_v2.tsv	B14-B17	Ursula core reveal	insert	Reveal Ursula as amethyst geode around the ice core, Mack as hot ice core, Pip as their child, and the amethyst crystal / creation-song / seed logic.	Turns symbolic geology into explicit family cosmology.
v10_scene_010	wowas_clean_scene_index_v2.tsv	B17-B18	Lucent stone break / rewind	insert	Implement the near-rewind: items/scars reverse, Kyreal remains dead, Rolzen trust/Flux consequence persists, Silence people can drop the ground if trust failed.	Critical branch law.
v10_scene_011	wowas_clean_scene_index_v2.tsv	B18-B24	Rylos shadow escalation	insert	Add precursor beats where Rylos questions his moving shadow; shadow gains autonomy; use threshold mechanics in the Cockatrice-ripper mortal-wound scene.	Builds the later death logic.
v10_scene_012	wowas_clean_scene_index_v2.tsv	B24	Rylos mortal-wound sequence	insert	Pip pulls Rylos back from wrongful shadow-threshold draw; Cockatrice-ripper runs him through in that instant.	Pays off Rylos/Cockatrice line personally.
v10_scene_013	wowas_clean_scene_index_v2.tsv	B25	Blood Cello judgment corridor	insert	Implement branching judgment matrix: no-song world-stasis, love song with support/world-remake, lonely love blackout, mockery corruption, old-man marionette-cello ending, undead punishment, false-victory total fatality.	Turns endgame into moral-resonance audit.
v10_scene_014	wowas_clean_scene_index_v2.tsv	B25	Angel aftermath transfiguration	insert	After angel-diamond compression, let the amethyst judge alignment, drain the old staff to inert twig, and return weapon form based on alignment.	Integrates story, game, and alignment law.
