canon_key	layer	scope	active_law	implementation_note	status
commerce_source_rule	commerce	all_source_commerce_signals	Commerce should be drawn from every commerce signal already present in source files, but only after transformation into Whispers of Willow and Stone-exclusive form. Valid signals include markets, vendors, farms, trade, craft, guilds, routes, tolls, stock, caravans, barter, quality, scarcity, price, repair, food, animals, medicines, tools, textiles, metal, stone, song, glass, glyph-work, and local trust.	Use this as active crawl/scoring law. Do not treat source commercial signals as usable canon until transformed into world-native WoWaS commerce.	active_constraint
commerce_exclusivity_ip_rule	commerce	legal_and_canon_cleanliness	No brands, franchise goods, trademarked names, recognizable commercial product identities, or thinly disguised outside commercial IP may enter active canon unless the result is fully Whispers of Willow and Stone-exclusive and no longer depends on the outside identity. Generic roles, materials, goods, trade behaviors, farm functions, craft systems, and scarcity patterns are allowed. Borrowed commercial identities are blocked.	Reject borrowed commercial identity. Permit transformed generic trade function, material pressure, scarcity pattern, or world-native craft equivalent.	active_constraint
commerce_unresolved_layer_rule	commerce	unfinished_registry_layer	The commerce layer is not finished yet. Do not pretend it is final, and do not write final commerce prose from this layer alone. Use it as active constraints for crawling, scoring, and later registry construction.	This file is a constraint layer, not the final commerce registry or prose authority by itself.	active_constraint
pip_commerce_gravity_rule	commerce	selection_scoring	Commerce must not collapse into Pip attraction logic. Pip may overpay or revisit a hot male merchant when quality is close, but better quality, rarer goods, higher trust, or stronger craft wins even when the merchant is female or not Pip's preferred type. Quality, trust, rarity, fair price, region fit, and Pip-gravity must remain separate scored fields.	Generator/scoring fields required: quality_score, trust_score, rarity_score, fair_price_score, region_fit_score, pip_gravity_score, final_selection_reason.	active_constraint
chow_species_rule	creature_livestock	origin_and_species_identity	Add Chow as chicken-cows, cow-chickens, and every stable or unstable stage between. They formed because chickens and cows were kept together long enough under post-Diamond pressure that they heavily played on each other's psyche and morphology until the boundary became a full livestock spectrum.	Chow are a livestock-spectrum species category, not a one-off gag creature.	active_canon
chow_form_spectrum	creature_livestock	morphology	Chow can range from cow-to-chicken, chicken-to-cow, clean blend, ugly blend, hysterical mismatch, useful farm breed, dangerous barn mutant, sacred rural omen, or intelligent near-person. Saved Chow entries still need ecology, farm use, temperament, and visual silhouette.	Every saved Chow must include ecology, farm use, temperament, and visual silhouette. Do not save form-only novelty entries.	active_constraint
chow_intelligence_rule	creature_livestock	behavior_and_social_pressure	Most Chow are livestock-level creatures. A few walk around intelligent, socially aware, stubborn, trade-aware, or nearly conversational. Intelligent Chow should be uncommon and should create farm politics, inheritance disputes, labor ethics, market scandal, or rural comedy instead of becoming random mascots.	Intelligent Chow are uncommon plot/commerce/social pressure. Do not overpopulate them or mascot-flatten them.	active_canon
chow_commerce_rule	commerce_creature_livestock	farm_and_market_value	Chow are a major farm-and-commerce animal category, not just a joke creature. Their eggs, milk, meat, feathers, hide, manure, labor, alarm behavior, and rare intelligence can create trade value, taboo, theft, quality grades, and local law.	Chow goods and Chow personhood edge-cases should drive farm law, market scandal, theft, taboo, grades, and local disputes.	active_canon
politics_root_model	politics	post_diamond_social_order	WoWaS politics should use a post-world-apocalypse hybrid pressure: Germanic tribal conversion point into more formal structure, Mongolian raider mobility and oath pressure, Chinese house-system hierarchy, and early Gaelic representation, all transformed into world-native post-Diamond social order. This is inspiration logic only, not direct historical copy or real-world naming dump.	Use as transformed inspiration pressure only. Do not import real-world naming dumps or direct historical copies.	active_constraint
political_unit_rule	politics	unit_taxonomy	Political units should include houses, clans, mobile oath-bands, farm holds, gate-toll families, market circles, healer circles, raider-converted protectors, and rebuilt councils. A house is not only a noble family; it can be craft, bloodline, oath, route-control, ecological duty, old survival debt, or post-Blood-Cello accountability.	Use these unit types in political/commerce scene placement and future registry construction.	active_canon
