monster_code	common_name	neo_scientific_name	story_corridor	state	county_anchor	anchor_city	life_domain	base_american_anchor	anchor_scientific_name	wowas_zone_fit	landscape_pressure	american_myth_register	microbiology_register	source_media_register_1	source_media_register_2	source_media_register_3	source_media_register_4	source_trait_stack	pressure_split	encounter_threat_tier	fight_pattern	morph_description	behavior_in_world	ecological_function	danger_to_humans	edge_of_seat_hook	quest_or_scene_use	generator_notes
wowas::oklahoma_county_mammal_01	Creek Bear	Fulgorarcov cerula	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	mammal	American black bear	Ursus americanus	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	mountain lion omen	biofilm persistence	Joey Tribbiani	Professor McGonagall	Nemesis		social boldness and shameless appetite; identity-through-transformation discipline; bulldozing pursuit through chaos	fear_by_stripping	severe	territorial charge through cover	American American black bear reimagined through Joey Tribbiani, Professor McGonagall, and Nemesis; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It attacks by taking away footing, light, heat, memory, or shelter before closing for the kill.	mid-to-large fauna pressure anchor	severe; the fight changes terrain and can break a party if they hesitate	The species attacks by taking away shelter, memory, footing, or coherence before the killing blow.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_mammal_02	Red-Dust Coyote	Ardorciner tenebris	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	mammal	coyote	Canis latrans	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	jackalope register	biofilm persistence	Kimmy Gibbler	Yuno	Joey Tribbiani		chaotic familiarity and offbeat warmth; cold precision under grace; social boldness and shameless appetite	unstable_mixed_field	high	pack misdirection and pounce	American coyote reimagined through Kimmy Gibbler, Yuno, and Joey Tribbiani; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It helps and harms at once, drawing one survivor toward clarity while exposing another to worse danger.	mid-to-large fauna pressure anchor	high; a single mistake can cost blood, sight, mobility, or route integrity	The encounter can help one member survive while putting another in worse danger.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_bird_01	Rail Hawk	Arcovalbae lucens	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	bird	red-tailed hawk	Buteo jamaicensis	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	dust-bowl ghost-light	gut mutualism	Lucy Heartfilia	Lacuna Coil	Professor McGonagall		radiant summoning poise; gothic split-voice beauty and dread; identity-through-transformation discipline	wonder_from_wreckage	moderate	aerial feint then puncture	American red-tailed hawk reimagined through Lucy Heartfilia, Lacuna Coil, and Professor McGonagall; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It turns wreckage into temporary shelter, omen, or navigable pattern, but that gift can shift into danger if misread.	skyline omen and aerial pressure	moderate; survivable with coordination, but punishing to the careless	The danger comes from beauty turning decisive at the worst possible moment.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_bird_02	Overpass Crow	Albaeglaer sinuata	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	bird	barn owl	Tyto alba	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	thunderbird register	phage burst cycle	Sarah Evans	Bad Santa	Nemesis		open-throated country ache and lift; profane tenderness under rot; bulldozing pursuit through chaos	fear_by_stripping	moderate	circling omen strike pattern	American barn owl reimagined through Sarah Evans, Bad Santa, and Nemesis; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It attacks by taking away footing, light, heat, memory, or shelter before closing for the kill.	skyline omen and aerial pressure	moderate; survivable with coordination, but punishing to the careless	The species attacks by taking away shelter, memory, footing, or coherence before the killing blow.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_reptile_01	Storm-Dust Alligator	Viperdraco tenebris	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	reptile	American alligator	Alligator mississippiensis	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	river devil	thermophile film	Menolly	Kimmy Gibbler	Stitch		music as shelter and belonging; chaotic familiarity and offbeat warmth; engineered ferocity choosing attachment	wonder_from_wreckage	high	armor-plate siege	American American alligator reimagined through Menolly, Kimmy Gibbler, and Stitch; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It turns wreckage into temporary shelter, omen, or navigable pattern, but that gift can shift into danger if misread.	threshold heat and patience pressure	high; a single mistake can cost blood, sight, mobility, or route integrity	The danger comes from beauty turning decisive at the worst possible moment.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_amphibian_01	Lemon-scorch Salamander	Pluviaatlant vigil	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	amphibian	American bullfrog	Lithobates catesbeianus	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	pond saint	skin symbiont bloom	Zohan	Noelle Silva	Drizzt Do'Urden	Menolly	foolish swagger covering real care; water nobility sharpened by pride; underground precision and lonely honor; music as shelter and belonging	unstable_mixed_field	moderate	swarm-fog confusion	American American bullfrog reimagined through Zohan, Noelle Silva, Drizzt Do'Urden, and Menolly; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It helps and harms at once, drawing one survivor toward clarity while exposing another to worse danger.	water-edge swarm and slick pressure	moderate; survivable with coordination, but punishing to the careless	The encounter can help one member survive while putting another in worse danger.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_fish_01	Rail-Maw Catfish	Pelagsilur cantor	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	fish	channel catfish	Ictalurus punctatus	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	water panther	cold-current consortium	Drizzt Do'Urden	Metallica	Hermione Granger		underground precision and lonely honor; storm-weight aggression and crushing drive; analytic patterning and prepared response	wonder_from_wreckage	moderate	water burst and drag-down	American channel catfish reimagined through Drizzt Do'Urden, Metallica, and Hermione Granger; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It turns wreckage into temporary shelter, omen, or navigable pattern, but that gift can shift into danger if misread.	current and undertow pressure	moderate; survivable with coordination, but punishing to the careless	The danger comes from beauty turning decisive at the worst possible moment.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_insect_01	Creek-Veil Butterfly	Acridacicad cantor	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	insect	monarch butterfly	Danaus plexippus	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	road ghost	pollen yeasts	Lacuna Coil	Roseanne	Joey Tribbiani		gothic split-voice beauty and dread; working-class endurance and hard humor; social boldness and shameless appetite	fear_by_stripping	moderate	cloud harassment and sensory overload	American monarch butterfly reimagined through Lacuna Coil, Roseanne, and Joey Tribbiani; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It attacks by taking away footing, light, heat, memory, or shelter before closing for the kill.	swarm, pollination, and sensory harassment pressure	moderate; survivable with coordination, but punishing to the careless	The species attacks by taking away shelter, memory, footing, or coherence before the killing blow.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_insect_02	Glaer-riddle Bee	Lampyumbr ferox	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	insect	honey bee	Apis mellifera	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	road ghost	pollen yeasts	Sarah Evans	Gromph Baenre	Lucy Heartfilia		open-throated country ache and lift; cold shadow-intelligence and dangerous reach; radiant summoning poise	wonder_from_wreckage	moderate	strobe-swarm around weak points	American honey bee reimagined through Sarah Evans, Gromph Baenre, and Lucy Heartfilia; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It turns wreckage into temporary shelter, omen, or navigable pattern, but that gift can shift into danger if misread.	swarm, pollination, and sensory harassment pressure	moderate; survivable with coordination, but punishing to the careless	The danger comes from beauty turning decisive at the worst possible moment.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
wowas::oklahoma_county_arachnid_01	Dragon-creek Spider	Araneasalti sinuata	westward_solution_run	Oklahoma	Oklahoma County	Oklahoma City	arachnid	wolf spider	Lycosidae	zone::okc_return	red-dirt city grid, storm drains, overpasses, creekbeds, rail spines	grave silk watcher	silk-associated biofilm	Roseanne	Drizzt Do'Urden	Erza Scarlet		working-class endurance and hard humor; underground precision and lonely honor; armored love and overwhelming force	unstable_mixed_field	high	web geometry and vision trap	American wolf spider reimagined through Roseanne, Drizzt Do'Urden, and Erza Scarlet; it keeps the native silhouette but mutates tissue, movement, or signaling so it reads as WoWaS-native monster species rather than imported fauna.	It helps and harms at once, drawing one survivor toward clarity while exposing another to worse danger.	web, ceiling, and ambush pressure	high; a single mistake can cost blood, sight, mobility, or route integrity	The encounter can help one member survive while putting another in worse danger.	Use in the pre-abduction westward pursuit so travel never relaxes into filler.	Focus hardcore on Oklahoma County, Oklahoma travel scenes; keep this species reusable as mob, omen, pursuit pressure, or set-piece threat.
