schedule_serial	character_id	character_name	book_num	character_group_id	group_basis	timeline_phase	assigned_scene_id	event_beat_id	relationship_layer	capacity_mode	target_policy
CTS-22563e9ab860	WC00232	Aeranororcharddion232	B01	CG-1e5f645c5cfc	book|tier|role|region	introduction	B01_C001	EB-RW-00001	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-da0ab7c67cda	WC00232	Aeranororcharddion232	B01	CG-1e5f645c5cfc	book|tier|role|region	development	B01_C002	EB-RW-00002	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-da0c2c6a818a	WC00232	Aeranororcharddion232	B01	CG-1e5f645c5cfc	book|tier|role|region	relationship_consequence	B01_C003	EB-RW-00003	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-cdd605fb34ce	WC00232	Aeranororcharddion232	B01	CG-1e5f645c5cfc	book|tier|role|region	return_or_resolution	B01_C004	EB-RW-00004	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-25a40af2e4e9	WC00892	Ashajoramaeloraen892	B01	CG-1e5f645c5cfc	book|tier|role|region	introduction	B01_C005	EB-RW-00005	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-099c7aba3e10	WC00892	Ashajoramaeloraen892	B01	CG-1e5f645c5cfc	book|tier|role|region	development	B01_C006	EB-RW-00006	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-808140340e9e	WC00892	Ashajoramaeloraen892	B01	CG-1e5f645c5cfc	book|tier|role|region	relationship_consequence	B01_C007	EB-RW-00007	relationship_obligation	shared_existing_scene	no_new_scene_created
CTS-87c297b66d9a	WC00892	Ashajoramaeloraen892	B01	CG-1e5f645c5cfc	book|tier|role|region	return_or_resolution	B01_C008	EB-RW-00008	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-d1114e82f76b	WC01552	Aerfiraorchardiel1552	B01	CG-1e5f645c5cfc	book|tier|role|region	introduction	B01_C009	EB-RW-00009	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
CTS-54c53cc9a65a	WC01552	Aerfiraorchardiel1552	B01	CG-1e5f645c5cfc	book|tier|role|region	development	B01_C010	EB-RW-00010	characters|world|creatures|quests	shared_existing_scene	no_new_scene_created
