record_id	source_path	scope	status	active_target	canonical_action
V6_B18_P900	wowas_scene_patch_v6.tsv	Book_18_Strange_Gravity	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B18_P901	wowas_scene_patch_v6.tsv	Book_18_Strange_Gravity	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B18_P902	wowas_scene_patch_v6.tsv	Book_18_Strange_Gravity	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B18_P903	wowas_scene_patch_v6.tsv	Book_18_Strange_Gravity	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B19_P900	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B19_P901	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B19_P902	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B19_P903	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B19_P904	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B19_P905	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B19_P906	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B19_P907	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V6_B19_P908	wowas_scene_patch_v6.tsv	Book_19_The_Cracking_Core	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V10_KYREAL_BENCHMARK	wowas_scene_patch_v10.tsv	B01-B03	absorbed	canon/active/character_profile_scores.tsv	keep_character_rule
V10_DRAWN_KYREAL_ROLZEN	wowas_scene_patch_v10.tsv	B10-B11	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V10_VAEDRIC_KYREAL	wowas_scene_patch_v10.tsv	B13-B14	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V10_RYLOS_SHADOW_PRECURSOR	wowas_scene_patch_v10.tsv	B18-B24	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V10_RYLOS_MORTAL_WOUND	wowas_scene_patch_v10.tsv	B24	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V10_BLOOD_CELLO_JUDGMENT	wowas_scene_patch_v10.tsv	B25	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V10_ANGEL_AFTERMATH	wowas_scene_patch_v10.tsv	B25	absorbed	canon/wowas_clean_scene_index_v2.tsv	keep_active_scene
V11_PIP_DIALOGUE	wowas_scene_patch_v11.tsv	global	absorbed	canon/active/canon_laws.tsv	keep_active_law
REVIEW_CHUNK_001	canon/review/wowas_profile_scores_chunk_001.tsv	review	absorbed	canon/active/character_profile_scores.tsv|canon/active/creature_profile_scores.tsv	delete_redundant_review_file
REVIEW_CHUNK_002	canon/review/wowas_profile_scores_chunk_002.tsv	review	absorbed	canon/active/character_profile_scores.tsv|canon/active/creature_profile_scores.tsv	delete_redundant_review_file
REVIEW_DIRECT_BATCH_001	canon/review/wowas_direct_review_apply_batch_001.tsv	review	absorbed	canon/active/scene_index.tsv|canon/active/character_profile_scores.tsv|canon/active/creature_profile_scores.tsv	delete_redundant_review_file
